t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0500,5251,0,105000,0.0500,0.0000,,,,,,
1.50,0.2060,21635,0,105000,0.2060,0.0000,,,,,,
2.00,0.2841,29827,0,105000,0.2841,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
2.50,0.3121,32768,0,105000,0.3121,0.0000,0.3548,71677,1,202000,0.3548,0.0000
3.00,0.3385,35547,0,105000,0.3385,0.0000,0.3288,66413,1,202000,0.3288,0.0000
3.50,0.3847,40390,0,105000,0.3847,0.0000,0.3020,60998,1,202000,0.3020,0.0000
4.00,0.3847,40390,0,105000,0.3847,0.0000,0.3020,60998,1,202000,0.3020,0.0000
4.50,0.4109,43140,0,105000,0.4109,0.0000,0.3020,60998,1,202000,0.3020,0.0000
5.00,0.4571,47992,0,105000,0.4571,0.0000,0.3290,66448,1,202000,0.3290,0.0000
5.50,0.4911,51566,0,105000,0.4911,0.0000,0.3396,68606,1,202000,0.3396,0.0000
6.00,0.5569,58473,0,105000,0.5569,0.0000,0.3336,67382,1,202000,0.3336,0.0000
6.50,0.5589,58684,0,105000,0.5589,0.0000,0.3336,67382,1,202000,0.3336,0.0000
7.00,0.5599,58785,0,105000,0.5599,0.0000,0.3144,63508,1,202000,0.3144,0.0000
7.50,0.5731,60180,0,105000,0.5731,0.0000,0.3144,63508,1,202000,0.3144,0.0000
8.00,0.5745,60322,0,105000,0.5745,0.0000,0.3144,63508,1,202000,0.3144,0.0000
8.50,0.5752,60398,0,105000,0.5752,0.0000,0.3321,67090,1,202000,0.3321,0.0000
9.00,0.6075,63789,0,105000,0.6075,0.0000,0.3321,67090,1,202000,0.3321,0.0000
9.50,0.6073,63769,0,105000,0.6073,0.0000,0.3324,67136,1,202000,0.3324,0.0000
10.00,0.5569,58476,0,105000,0.5569,0.0000,0.3324,67136,1,202000,0.3324,0.0000
10.50,0.5569,58476,0,105000,0.5569,0.0000,0.3160,63838,1,202000,0.3160,0.0000
11.00,0.5656,59389,0,105000,0.5656,0.0000,0.3160,63838,1,202000,0.3160,0.0000
11.50,0.5972,62704,0,105000,0.5972,0.0000,0.3322,67106,1,202000,0.3322,0.0000
12.00,0.5972,62704,0,105000,0.5972,0.0000,0.3384,68359,1,202000,0.3384,0.0000
12.50,0.5998,62978,0,105000,0.5998,0.0000,0.3384,68359,1,202000,0.3384,0.0000
13.00,0.5574,58525,0,105000,0.5574,0.0000,0.3067,61951,1,202000,0.3067,0.0000
13.50,0.6092,63964,0,105000,0.6092,0.0000,0.3067,61951,1,202000,0.3067,0.0000
14.00,0.5886,61800,0,105000,0.5886,0.0000,0.3607,72858,1,202000,0.3607,0.0000
14.50,0.5886,61800,0,105000,0.5886,0.0000,0.3336,67382,1,202000,0.3336,0.0000
15.00,0.5641,59229,0,105000,0.5641,0.0000,0.3441,69502,1,202000,0.3441,0.0000
15.50,0.5641,59229,0,105000,0.5641,0.0000,0.3441,69502,1,202000,0.3441,0.0000
16.00,0.5659,59418,0,105000,0.5659,0.0000,0.3208,64795,1,202000,0.3208,0.0000
16.50,0.5670,59539,0,105000,0.5670,0.0000,0.3353,67735,1,202000,0.3353,0.0000
17.00,0.5804,60946,0,105000,0.5804,0.0000,0.3187,64371,1,202000,0.3187,0.0000
17.50,0.5820,61110,0,105000,0.5820,0.0000,0.3458,69854,1,202000,0.3458,0.0000
18.00,0.6252,65644,0,105000,0.6252,0.0000,0.3197,64574,1,202000,0.3197,0.0000
18.50,0.6252,65644,0,105000,0.6252,0.0000,0.3197,64574,1,202000,0.3197,0.0000
19.00,0.6252,65644,0,105000,0.6252,0.0000,0.3197,64574,1,202000,0.3197,0.0000
19.50,0.5878,61723,0,105000,0.5878,0.0000,0.3326,67189,1,202000,0.3326,0.0000
20.00,0.6085,63895,0,105000,0.6085,0.0000,0.3596,72642,1,202000,0.3596,0.0000
20.50,0.6085,63895,0,105000,0.6085,0.0000,0.3596,72642,1,202000,0.3596,0.0000
21.00,0.6066,63691,0,105000,0.6066,0.0000,0.3433,69340,1,202000,0.3433,0.0000
21.50,0.6066,63691,0,105000,0.6066,0.0000,0.3321,67094,1,202000,0.3321,0.0000
22.00,0.5447,57189,0,105000,0.5447,0.0000,0.3101,62643,1,202000,0.3101,0.0000
22.50,0.5673,59567,0,105000,0.5673,0.0000,0.3386,68401,2,202000,0.3386,0.0000
