elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,140618.0,70206.0,70412.0,20679.3,17219.2,6802.2,5848.9,0.0,262538.3,0.0,27117.0,275070.4,187792.4,462862.8,837579.3,1031900.8,283217.6,42
1.1,141720.0,71306.0,70414.0,21787.5,17215.9,7910.1,5845.6,0.0,262538.3,0.0,27227.4,275072.3,188742.4,463814.8,836629.3,1031900.8,284325.8,42
2.1,141724.0,71308.0,70416.0,22448.1,17240.9,8570.1,5870.6,0.0,262538.3,0.0,26817.8,275073.4,188958.7,464032.1,836413.0,1031900.8,284986.4,42
3.1,141730.0,71312.0,70418.0,23967.2,17235.2,10089.3,5864.9,0.0,262538.3,0.0,26758.0,275077.7,190693.6,465771.3,834678.1,1031900.8,286505.6,42
4.1,141734.0,71314.0,70420.0,25240.1,17197.4,11362.1,5827.1,0.0,262538.3,0.0,26539.6,275080.2,191594.6,466674.8,833777.1,1031900.8,287778.4,42
5.1,141744.0,71320.0,70424.0,26404.0,17201.9,12526.0,5831.6,0.0,262538.3,0.0,26502.4,275083.8,193037.8,468121.6,832333.9,1031900.8,288942.3,42
6.1,141748.0,71322.0,70426.0,27942.1,17204.0,14064.2,5833.8,0.0,262538.3,0.0,26594.6,275086.8,194608.7,469695.5,830763.0,1031900.8,290480.5,42
7.1,141752.0,71324.0,70428.0,29464.4,17190.3,15586.5,5820.1,0.0,262538.3,0.0,26796.2,275090.4,196294.1,471384.5,829077.6,1031900.8,292002.8,42
8.1,141760.0,71328.0,70432.0,30821.2,17221.9,16938.3,5851.6,0.0,262538.3,0.0,26939.5,275093.1,197675.5,472768.5,827696.2,1031900.8,293359.5,42
9.1,141768.0,71332.0,70436.0,33089.9,17226.7,19207.0,5856.5,0.0,262538.1,0.0,27118.3,275096.3,199485.2,474581.5,825886.5,1031900.8,295628.0,42
10.1,141772.0,71334.0,70438.0,34120.2,17233.0,20237.3,5862.7,0.0,262538.1,0.0,27228.8,275100.3,201396.2,476496.5,823975.5,1031900.8,296658.2,42
11.1,141776.0,71336.0,70440.0,35656.6,17233.2,21773.7,5863.0,0.0,262538.1,0.0,27164.8,275103.7,202853.3,477957.1,822518.4,1031900.8,298194.6,42
12.1,141784.0,71340.0,70444.0,37129.4,17219.7,23246.5,5849.4,0.0,262538.1,0.0,27302.6,275106.8,204557.4,479664.1,820814.3,1031900.8,299667.4,42
13.1,141788.0,71342.0,70446.0,38687.0,17191.7,24804.1,5821.4,0.0,262538.1,0.0,27344.4,275111.0,206311.6,481422.6,819060.1,1031900.8,301225.1,42
14.1,141796.0,71346.0,70450.0,40188.3,17093.9,26305.4,5723.6,0.0,262538.1,0.0,27276.4,275114.0,207669.9,482783.8,817701.9,1031900.8,302726.4,42
15.1,141800.0,71348.0,70452.0,41575.6,17008.2,27692.6,5638.0,0.0,262538.1,0.0,27276.7,275117.7,209419.4,484537.2,815952.3,1031900.8,304113.6,42
16.1,141810.0,71352.0,70458.0,43053.4,16902.7,29170.5,5532.4,0.0,262538.0,0.0,27304.1,275121.3,210960.4,486081.7,814411.3,1031900.8,305591.4,42
17.1,141818.0,71356.0,70462.0,44562.8,16865.3,30679.9,5495.0,0.0,262538.0,0.0,27305.0,275124.8,212601.9,487726.7,812769.8,1031900.8,307100.8,42
18.1,141826.0,71362.0,70464.0,46226.5,16833.3,32343.6,5463.1,0.0,262538.0,0.0,27387.9,275128.7,214245.8,489374.5,811125.9,1031900.8,308764.6,42
19.1,141830.0,71364.0,70466.0,48041.8,16829.4,34158.9,5459.1,0.0,262538.1,0.0,27544.0,275132.2,216168.7,491300.9,809203.0,1031900.8,310579.9,42
20.1,141838.0,71368.0,70470.0,49449.4,16819.4,35566.5,5449.1,0.0,262538.1,0.0,27649.4,275135.7,217798.0,492933.8,807573.7,1031900.8,311987.4,42
