t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,416216,0.0000,0.0000,,,,,,
0.50,0.0131,5442,0,416216,0.0131,0.0000,,,,,,
1.06,0.0131,5442,0,416216,0.0131,0.0000,,,,,,
1.56,0.0326,13564,0,416216,0.0326,0.0168,,,,,,
2.06,0.0326,13564,0,416216,0.0326,0.0168,,,,,,
2.56,0.0326,13564,0,416216,0.0326,0.0168,,,,,,
3.06,0.0521,21669,0,416216,0.0521,0.0188,,,,,,
3.56,0.0717,29844,0,416216,0.0717,0.0168,,,,,,
4.06,0.0717,29844,0,416216,0.0717,0.0168,,,,,,
4.56,0.0717,29844,0,416216,0.0717,0.0168,,,,,,
5.06,0.0914,38036,0,416216,0.0914,0.0208,,,,,,
5.56,0.0914,38036,0,416216,0.0914,0.0208,,,,,,
6.06,0.1111,46228,0,416216,0.1111,0.0188,,,,,,
6.56,0.1111,46228,0,416216,0.1111,0.0188,,,,,,
7.06,0.1308,54420,0,416216,0.1307,0.0188,,,,,,
7.56,0.1308,54420,0,416216,0.1307,0.0188,,,,,,
8.06,0.1308,54420,0,416216,0.1307,0.0188,,,,,,
8.56,0.1504,62612,0,416216,0.1504,0.0188,,,,,,
9.06,0.1504,62612,0,416216,0.1504,0.0188,,,,,,
9.56,0.1701,65449,0,416216,0.1572,0.0228,,,,,,
10.06,0.1701,65449,0,416216,0.1572,0.0228,,,,,,
10.56,0.1898,73641,0,416216,0.1769,0.0085,,,,,,
11.06,0.1898,73641,0,416216,0.1769,0.0085,,,,,,
11.56,0.2095,81833,0,416216,0.1966,0.0188,,,,,,
12.06,0.2292,90025,0,416216,0.2163,0.0224,,,,,,
12.56,0.2292,90025,0,416216,0.2163,0.0224,,,,,,
13.06,0.2292,90025,0,416216,0.2163,0.0224,,,,,,
13.56,0.2489,98217,0,416216,0.2360,0.0085,,,,,,
14.06,0.2489,98217,0,416216,0.2360,0.0085,,,,,,
14.56,0.2489,98217,0,416216,0.2360,0.0085,,,,,,
15.06,0.2685,106409,0,416216,0.2557,0.0329,,,,,,
15.56,0.2882,114601,0,416216,0.2753,0.0105,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
16.06,0.2882,114601,0,416216,0.2753,0.0105,0.3840,145718,1,379461,0.3840,0.0000
16.56,0.2882,114601,0,416216,0.2753,0.0105,0.3840,145718,1,379461,0.3840,0.0000
17.06,0.3079,117467,0,416216,0.2822,0.0189,0.3840,145718,1,379461,0.3840,0.0000
17.56,0.3276,136340,0,416216,0.3276,0.6133,0.3840,145718,1,379461,0.3840,0.0000
18.06,0.3276,136340,0,416216,0.3276,0.6133,0.3840,145718,1,379461,0.3840,0.0000
18.56,0.3276,136340,0,416216,0.3276,0.6133,0.3840,145718,1,379461,0.3840,0.0000
19.06,0.3276,136340,0,416216,0.3276,0.6133,0.3840,145718,1,379461,0.3840,0.0000
19.56,0.3276,136340,0,416216,0.3276,0.6133,0.3840,145718,1,379461,0.3840,0.0000
20.06,0.3276,136340,0,416216,0.3276,0.6133,0.3840,145718,1,379461,0.3840,0.0000
20.56,0.3276,136340,0,416216,0.3276,0.6133,0.3840,145718,1,379461,0.3840,0.0000
21.06,0.3276,136340,0,416216,0.3276,0.6133,0.3842,145785,1,379461,0.3842,0.0000
21.56,0.3276,136340,0,416216,0.3276,0.6133,0.3842,145785,1,379461,0.3842,0.0000
22.06,0.3442,136740,0,416216,0.3285,0.9803,0.3843,145835,2,379461,0.3843,0.0000
22.56,0.3444,143331,0,416216,0.3444,0.9809,0.3843,145835,2,379461,0.3843,0.0000
23.06,0.3444,143331,0,416216,0.3444,0.9809,0.3843,145835,2,379461,0.3843,0.0000
23.56,0.3444,143331,0,416216,0.3444,0.9809,0.3848,146014,1,379461,0.3848,0.0000
24.06,0.3447,143461,0,416216,0.3447,0.9864,0.3848,146014,1,379461,0.3848,0.0000
24.56,0.3447,143461,0,416216,0.3447,0.9864,0.3848,146014,1,379461,0.3848,0.0000
25.06,0.3449,143534,0,416216,0.3449,0.9778,0.3850,146100,1,379461,0.3850,0.0000
25.56,0.3450,143609,0,416216,0.3450,0.9779,0.3850,146100,1,379461,0.3850,0.0000
26.06,0.3450,143609,0,416216,0.3450,0.9779,0.3850,146100,1,379461,0.3850,0.0000
26.57,0.3450,143609,0,416216,0.3450,0.9779,0.3854,146239,1,379461,0.3854,0.0000
27.07,0.3452,143684,0,416216,0.3452,0.9835,0.3856,146319,1,379461,0.3856,0.0000
