elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74988.0,31304.0,43684.0,36585.7,33231.0,22568.1,21720.1,0.0,264135.0,0.0,40205.2,277501.0,306646.2,584147.3,718725.5,1031900.8,300720.7,42
1.1,75664.0,31980.0,43684.0,36668.1,33308.1,22650.3,21797.2,0.0,264135.0,0.0,40336.2,277501.1,306771.1,584272.3,718600.6,1031900.8,300803.1,42
2.1,75664.0,31980.0,43684.0,36668.2,33308.2,22650.4,21797.3,0.0,264135.0,0.0,40364.1,277501.3,306786.7,584288.0,718585.0,1031900.8,300803.3,42
3.1,75664.0,31980.0,43684.0,36694.3,33333.4,22675.9,21822.5,0.0,264135.0,0.0,40417.0,277502.1,306976.3,584478.4,718395.4,1031900.8,300829.3,42
4.1,75664.0,31980.0,43684.0,36697.6,33336.7,22679.2,21825.8,0.0,264135.0,0.0,40396.6,277506.1,307485.1,584991.2,717886.6,1031900.8,300832.7,42
5.1,75664.0,31980.0,43684.0,36687.9,33326.9,22669.5,21816.1,0.0,264135.0,0.0,40396.9,277506.1,307508.1,585014.2,717863.6,1031900.8,300822.9,42
6.1,75666.0,31982.0,43684.0,36680.4,33319.5,22662.0,21808.6,0.0,264135.0,0.0,40405.3,277506.2,307555.1,585061.2,717816.6,1031900.8,300815.4,42
7.1,75666.0,31982.0,43684.0,36678.5,33317.6,22660.1,21806.7,0.0,264135.0,0.0,40406.3,277513.3,308497.4,586010.6,716874.4,1031900.8,300813.5,42
8.1,75666.0,31982.0,43684.0,36678.5,33317.6,22660.1,21806.7,0.0,264135.0,0.0,40406.4,277513.5,308498.5,586012.1,716873.2,1031900.8,300813.5,42
9.1,75666.0,31982.0,43684.0,36676.6,33315.7,22658.2,21804.8,0.0,264135.0,0.0,40433.9,277514.2,308694.1,586208.3,716677.6,1031900.8,300811.6,42
