elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,101446.0,31034.0,70412.0,20454.3,16995.5,6512.6,5559.5,0.0,218189.3,0.0,18621.9,232571.7,437721.1,670292.8,587650.6,1031900.8,238643.7,42
1.1,102640.0,32208.0,70432.0,20703.8,17071.3,6761.3,5635.3,0.0,218189.4,0.0,18727.7,232571.7,438089.2,670660.9,587282.6,1031900.8,238893.2,42
2.1,102676.0,32220.0,70456.0,20719.0,17081.2,6771.5,5645.1,0.0,218189.4,0.0,18769.7,232572.2,438081.3,670653.5,587290.4,1031900.8,238908.4,42
3.1,102676.0,32220.0,70456.0,20660.5,17022.6,6713.0,5586.6,0.0,218189.4,0.0,18828.8,232572.2,438145.0,670717.2,587226.8,1031900.8,238849.9,42
4.1,102676.0,32220.0,70456.0,20663.6,17025.7,6716.1,5589.7,0.0,218189.4,0.0,18814.0,232572.2,438141.2,670713.5,587230.5,1031900.8,238853.0,42
5.1,102676.0,32220.0,70456.0,20616.2,16978.3,6668.7,5542.3,0.0,218189.4,0.0,18815.9,232572.2,438113.6,670685.8,587258.1,1031900.8,238805.6,42
6.1,102678.0,32220.0,70458.0,20619.9,16981.2,6672.4,5545.1,0.0,218189.4,0.0,18816.7,232572.2,438121.0,670693.2,587250.7,1031900.8,238809.3,42
7.1,102680.0,32222.0,70458.0,20632.6,16991.2,6684.2,5555.2,0.0,218189.4,0.0,18819.8,232572.4,438107.9,670680.3,587263.8,1031900.8,238822.0,42
8.1,102680.0,32222.0,70458.0,20644.6,17001.4,6694.4,5565.4,0.0,218189.4,0.0,18839.7,232572.3,438136.4,670708.7,587235.3,1031900.8,238834.0,42
9.1,102680.0,32222.0,70458.0,20645.2,17002.0,6695.0,5566.0,0.0,218189.4,0.0,18840.5,232572.3,438140.8,670713.1,587230.9,1031900.8,238834.6,42
10.1,102680.0,32222.0,70458.0,20674.6,17028.5,6724.5,5592.4,0.0,218189.4,0.0,18869.4,232572.4,438160.8,670733.1,587211.0,1031900.8,238864.0,42
11.1,102680.0,32222.0,70458.0,20668.9,17022.7,6718.8,5586.7,0.0,218189.4,0.0,18897.4,232572.3,438183.3,670755.6,587188.4,1031900.8,238858.3,42
12.1,102680.0,32222.0,70458.0,20671.3,17025.1,6721.1,5589.0,0.0,218189.4,0.0,18936.0,232572.5,438227.7,670800.2,587144.0,1031900.8,238860.7,42
13.1,102680.0,32222.0,70458.0,20641.4,16995.2,6691.2,5559.2,0.0,218189.4,0.0,18836.3,232572.3,438119.1,670691.4,587252.6,1031900.8,238830.8,42
14.1,102680.0,32222.0,70458.0,20655.6,17009.4,6705.4,5573.3,0.0,218189.4,0.0,18836.6,232572.3,438131.4,670703.7,587240.3,1031900.8,238845.0,42
15.1,102680.0,32222.0,70458.0,20649.7,17003.5,6699.5,5567.5,0.0,218189.4,0.0,18837.2,232572.4,438127.2,670699.6,587244.5,1031900.8,238839.1,42
16.1,102680.0,32222.0,70458.0,20613.9,16967.8,6663.8,5531.7,0.0,218189.4,0.0,18837.3,232572.3,438144.6,670716.8,587227.2,1031900.8,238803.4,42
17.1,102680.0,32222.0,70458.0,20616.6,16970.4,6666.5,5534.4,0.0,218189.4,0.0,18839.2,232572.4,438120.6,670692.9,587251.1,1031900.8,238806.0,42
18.1,102680.0,32222.0,70458.0,20616.7,16970.5,6666.5,5534.4,0.0,218189.4,0.0,18839.2,232572.4,438115.4,670687.8,587256.3,1031900.8,238806.1,42
19.1,102680.0,32222.0,70458.0,20622.4,16976.1,6672.1,5540.1,0.0,218189.4,0.0,18841.0,232572.4,438128.9,670701.3,587242.8,1031900.8,238811.8,42
20.1,102680.0,32222.0,70458.0,20622.4,16976.1,6672.1,5540.1,0.0,218189.4,0.0,18842.8,232572.5,438141.5,670714.0,587230.2,1031900.8,238811.8,42
