elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74978.0,31294.0,43684.0,20251.1,16899.0,6229.5,5383.2,0.0,217356.8,0.0,18207.9,231688.7,436952.0,668640.7,588419.7,1031900.8,237607.9,42
1.1,75654.0,31970.0,43684.0,20316.8,16958.3,6294.2,5442.4,0.0,217356.8,0.0,18287.5,231688.8,437022.7,668711.5,588349.0,1031900.8,237673.6,42
2.1,75656.0,31972.0,43684.0,20337.6,16974.1,6310.2,5458.3,0.0,217356.9,0.0,18304.4,231688.8,437010.7,668699.5,588361.0,1031900.8,237694.5,42
3.1,75656.0,31972.0,43684.0,20333.8,16970.0,6306.1,5454.2,0.0,217356.9,0.0,18306.7,231688.5,437014.2,668702.8,588357.5,1031900.8,237690.7,42
4.1,75656.0,31972.0,43684.0,20296.5,16932.7,6268.9,5416.9,0.0,217356.9,0.0,18389.5,231688.6,437119.0,668807.6,588252.7,1031900.8,237653.4,42
5.1,75656.0,31972.0,43684.0,20297.2,16933.4,6269.5,5417.6,0.0,217356.9,0.0,18482.7,231688.5,437200.5,668889.1,588171.2,1031900.8,237654.1,42
6.1,75656.0,31972.0,43684.0,20279.5,16915.7,6251.7,5399.9,0.0,217356.9,0.0,18574.8,231688.6,437296.7,668985.3,588075.0,1031900.8,237636.4,42
7.1,75658.0,31974.0,43684.0,20293.5,16928.9,6265.8,5413.1,0.0,217356.9,0.0,18617.9,231688.7,437338.0,669026.7,588033.7,1031900.8,237650.4,42
8.1,75658.0,31974.0,43684.0,20307.9,16941.5,6280.2,5425.7,0.0,217356.9,0.0,18724.1,231688.7,437465.5,669154.2,587906.2,1031900.8,237664.8,42
9.1,75660.0,31974.0,43686.0,20302.1,16935.7,6274.4,5419.9,0.0,217356.9,0.0,18859.3,231688.7,437608.4,669297.1,587763.3,1031900.8,237659.0,42
10.1,75660.0,31974.0,43686.0,20331.3,16962.0,6303.6,5446.1,0.0,217356.9,0.0,18923.9,231688.7,437643.3,669332.0,587728.4,1031900.8,237688.2,42
11.1,75660.0,31974.0,43686.0,20333.6,16964.2,6305.8,5448.3,0.0,217356.9,0.0,18970.7,231688.8,437677.6,669366.3,587694.2,1031900.8,237690.4,42
12.1,75660.0,31974.0,43686.0,20344.8,16972.8,6314.5,5457.0,0.0,217356.9,0.0,18989.2,231688.7,437717.2,669405.9,587654.5,1031900.8,237701.7,42
13.1,75660.0,31974.0,43686.0,20342.9,16970.9,6312.5,5455.0,0.0,217356.9,0.0,18989.7,231688.7,437713.0,669401.7,587658.8,1031900.8,237699.7,42
14.1,75660.0,31974.0,43686.0,20343.2,16971.2,6312.8,5455.3,0.0,217356.9,0.0,18989.9,231688.7,437713.2,669401.9,587658.5,1031900.8,237700.0,42
15.1,75660.0,31974.0,43686.0,20335.3,16963.3,6305.0,5447.5,0.0,217356.9,0.0,18990.2,231688.7,437709.1,669397.8,587662.6,1031900.8,237692.2,42
16.1,75660.0,31974.0,43686.0,20315.4,16943.4,6285.1,5427.6,0.0,217356.9,0.0,18990.4,231688.7,437704.4,669393.1,587667.3,1031900.8,237672.3,42
17.1,75660.0,31974.0,43686.0,20323.4,16951.4,6293.1,5435.6,0.0,217356.9,0.0,18999.8,231688.7,437724.8,669413.6,587646.9,1031900.8,237680.3,42
18.1,75660.0,31974.0,43686.0,20325.6,16953.6,6295.2,5437.7,0.0,217356.9,0.0,19000.0,231688.6,437723.0,669411.6,587648.7,1031900.8,237682.5,42
19.1,75660.0,31974.0,43686.0,20325.6,16953.6,6295.3,5437.8,0.0,217356.9,0.0,19000.1,231688.6,437717.1,669405.8,587654.6,1031900.8,237682.5,42
20.1,75660.0,31974.0,43686.0,20327.7,16955.8,6297.4,5439.9,0.0,217356.9,0.0,19000.2,231688.7,437705.1,669393.8,587666.6,1031900.8,237684.6,42
21.1,75662.0,31974.0,43688.0,20327.9,16955.9,6297.5,5440.0,0.0,217356.9,0.0,19000.4,231688.7,437719.2,669408.0,587652.5,1031900.8,237684.8,42
22.1,75662.0,31974.0,43688.0,20326.1,16954.1,6295.8,5438.3,0.0,217356.9,0.0,19000.5,231688.7,437714.9,669403.6,587656.8,1031900.8,237683.0,42
23.1,75662.0,31974.0,43688.0,20322.2,16950.2,6291.9,5434.4,0.0,217356.9,0.0,19001.1,231688.7,437712.3,669401.1,587659.4,1031900.8,237679.1,42
24.1,75662.0,31974.0,43688.0,20304.3,16932.4,6274.0,5416.5,0.0,217356.9,0.0,19001.5,231688.6,437750.5,669439.1,587621.2,1031900.8,237661.2,42
25.1,75662.0,31974.0,43688.0,20318.5,16946.5,6288.2,5430.7,0.0,217356.9,0.0,19009.7,231688.7,437720.1,669408.8,587651.6,1031900.8,237675.4,42
26.1,75662.0,31974.0,43688.0,20320.6,16948.6,6290.3,5432.8,0.0,217356.9,0.0,19009.9,231688.6,437736.1,669424.6,587635.7,1031900.8,237677.5,42
27.1,75662.0,31974.0,43688.0,20321.4,16949.4,6291.1,5433.6,0.0,217356.9,0.0,19010.6,231688.6,437732.2,669420.8,587639.5,1031900.8,237678.3,42
28.1,75662.0,31974.0,43688.0,20319.5,16947.6,6289.2,5431.7,0.0,217356.9,0.0,19010.7,231688.5,437722.4,669410.9,587649.3,1031900.8,237676.5,42
29.1,75662.0,31974.0,43688.0,20319.8,16947.8,6289.5,5432.0,0.0,217356.9,0.0,19011.0,231688.5,437720.2,669408.7,587651.5,1031900.8,237676.7,42
30.1,75662.0,31974.0,43688.0,20308.0,16936.0,6277.7,5420.2,0.0,217356.9,0.0,19011.3,231688.5,437733.9,669422.4,587637.8,1031900.8,237664.9,42
31.1,75662.0,31974.0,43688.0,20300.0,16928.0,6269.7,5412.2,0.0,217356.9,0.0,19011.5,231688.6,437739.6,669428.2,587632.1,1031900.8,237656.9,42
32.1,75662.0,31974.0,43688.0,20304.0,16932.0,6273.7,5416.2,0.0,217356.9,0.0,19011.6,231688.5,437701.2,669389.7,587670.5,1031900.8,237660.9,42
33.1,75662.0,31974.0,43688.0,20304.1,16932.2,6273.8,5416.3,0.0,217356.9,0.0,19076.3,231688.8,437818.3,669507.1,587553.4,1031900.8,237661.1,42
34.1,75662.0,31974.0,43688.0,20302.6,16930.6,6272.2,5414.8,0.0,217356.9,0.0,19131.4,231688.8,437865.3,669554.1,587506.4,1031900.8,237659.5,42
35.1,75662.0,31974.0,43688.0,20288.6,16916.6,6258.3,5400.8,0.0,217356.9,0.0,19159.5,231688.8,437873.6,669562.4,587498.1,1031900.8,237645.5,42
36.1,75662.0,31974.0,43688.0,20278.7,16906.7,6248.3,5390.8,0.0,217356.9,0.0,19159.5,231688.7,437881.1,669569.7,587490.6,1031900.8,237635.6,42
37.1,75662.0,31974.0,43688.0,20280.7,16908.7,6250.4,5392.9,0.0,217356.9,0.0,19159.6,231688.7,437855.3,669544.0,587516.4,1031900.8,237637.6,42
38.1,75662.0,31974.0,43688.0,20284.9,16912.9,6254.6,5397.1,0.0,217356.9,0.0,19159.6,231688.7,437866.5,669555.3,587505.2,1031900.8,237641.8,42
