t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,416216,0.0000,0.0000,,,,,,
0.50,0.0131,5442,0,416216,0.0131,0.0000,,,,,,
1.06,0.0131,5442,0,416216,0.0131,0.0000,,,,,,
1.56,0.0326,13564,0,416216,0.0326,0.0168,,,,,,
2.06,0.0326,13564,0,416216,0.0326,0.0168,,,,,,
2.56,0.0326,13564,0,416216,0.0326,0.0168,,,,,,
3.06,0.0521,21669,0,416216,0.0521,0.0188,,,,,,
3.56,0.0717,29844,0,416216,0.0717,0.0168,,,,,,
4.06,0.0717,29844,0,416216,0.0717,0.0168,,,,,,
4.56,0.0717,29844,0,416216,0.0717,0.0168,,,,,,
5.06,0.0914,38036,0,416216,0.0914,0.0208,,,,,,
5.56,0.0914,38036,0,416216,0.0914,0.0208,,,,,,
6.06,0.1111,46228,0,416216,0.1111,0.0188,,,,,,
6.56,0.1111,46228,0,416216,0.1111,0.0188,,,,,,
7.06,0.1308,54420,0,416216,0.1307,0.0188,,,,,,
7.56,0.1308,54420,0,416216,0.1307,0.0188,,,,,,
8.06,0.1308,54420,0,416216,0.1307,0.0188,,,,,,
