elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,140646.0,70230.0,70416.0,82969.7,79617.9,68948.9,68101.1,0.0,263399.5,0.0,72631.9,275063.4,114261.7,389325.1,911110.0,1031900.8,346369.2,42
1.1,141320.0,70904.0,70416.0,83031.6,79674.3,69010.6,68157.5,0.0,263413.8,0.0,72724.8,275078.2,114372.2,389450.5,910999.5,1031900.8,346445.4,42
2.1,141320.0,70904.0,70416.0,83025.7,79668.4,69004.5,68151.6,0.0,263421.4,0.0,72855.9,275086.9,114505.3,389592.2,910866.4,1031900.8,346447.1,42
3.1,141320.0,70904.0,70416.0,83054.4,79696.2,69032.6,68179.4,0.0,263421.4,0.0,73004.8,275088.4,114893.7,389982.2,910478.0,1031900.8,346475.8,42
4.1,141320.0,70904.0,70416.0,83054.8,79696.6,69032.9,68179.8,0.0,263423.6,0.0,73035.6,275094.1,115258.3,390352.3,910113.4,1031900.8,346478.4,42
5.1,141320.0,70904.0,70416.0,83046.9,79688.7,69025.1,68171.9,0.0,263431.3,0.0,73055.4,275101.9,115280.0,390381.8,910091.8,1031900.8,346478.2,42
6.1,141320.0,70904.0,70416.0,83045.0,79686.8,69023.1,68170.0,0.0,263444.9,0.0,73111.3,275116.3,115342.1,390458.4,910029.6,1031900.8,346489.9,42
7.1,141320.0,70904.0,70416.0,83043.0,79684.8,69021.2,68168.0,0.0,263457.2,0.0,73172.7,275129.2,115405.4,390534.6,909966.3,1031900.8,346500.3,42
8.1,141324.0,70908.0,70416.0,83078.1,79713.8,69050.3,68197.0,0.0,263467.3,0.0,73217.4,275140.0,115440.0,390580.0,909931.7,1031900.8,346545.4,42
9.1,141324.0,70908.0,70416.0,83038.6,79674.3,69010.8,68157.5,0.0,263467.4,0.0,73236.6,275142.4,115807.8,390950.1,909564.0,1031900.8,346505.9,42
10.1,141324.0,70908.0,70416.0,82777.9,79413.7,68750.1,67896.9,0.0,263467.4,0.0,73242.7,275144.2,116112.0,391256.3,909259.7,1031900.8,346245.3,42
11.1,141324.0,70908.0,70416.0,82529.9,79165.6,68502.1,67648.9,0.0,263476.0,0.0,73275.6,275156.2,116499.4,391655.6,908872.3,1031900.8,346006.0,42
12.1,141324.0,70908.0,70416.0,82251.5,78887.2,68223.7,67370.4,0.0,263489.3,0.0,73329.8,275172.9,116913.8,392086.6,908458.0,1031900.8,345740.8,42
13.1,141324.0,70908.0,70416.0,82001.3,78637.1,67973.5,67120.3,0.0,263518.7,0.0,73343.9,275204.9,117117.0,392321.9,908254.7,1031900.8,345520.0,42
14.1,141324.0,70908.0,70416.0,81745.4,78381.1,67717.6,66864.3,0.0,263533.5,0.0,73376.4,275220.2,117153.9,392374.1,908217.8,1031900.8,345278.9,42
15.1,141326.0,70908.0,70418.0,81497.5,78133.2,67469.7,66616.4,0.0,263538.3,0.0,73377.2,275225.1,117156.8,392381.8,908214.9,1031900.8,345035.8,42
16.1,141328.0,70910.0,70418.0,81252.4,77888.1,67224.6,66371.4,0.0,263542.0,0.0,73404.6,275230.8,117521.5,392752.4,907850.2,1031900.8,344794.5,42
