elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,140618.0,70206.0,70412.0,20979.6,17493.0,7023.6,6042.6,0.0,263577.6,0.0,10123.2,275315.7,55703.6,331019.3,969668.1,1031900.8,284557.2,42
1.1,140884.0,70436.0,70448.0,21215.9,17559.0,7259.5,6108.6,0.0,263577.7,0.0,10183.5,275315.8,56028.7,331344.6,969343.0,1031900.8,284793.5,42
2.1,140884.0,70436.0,70448.0,21197.0,17531.3,7235.1,6080.9,0.0,263577.7,0.0,10202.6,275316.1,55950.1,331266.2,969421.6,1031900.8,284774.7,42
3.1,140908.0,70440.0,70468.0,21274.1,17542.1,7294.4,6137.1,0.0,263577.7,0.0,10240.6,275316.2,55991.5,331307.7,969380.2,1031900.8,284851.7,42
4.1,140908.0,70440.0,70468.0,21310.9,17578.0,7328.4,6173.0,0.0,263577.7,0.0,10279.7,275316.3,56039.0,331355.3,969332.7,1031900.8,284888.6,42
5.1,140908.0,70440.0,70468.0,21310.6,17577.6,7328.1,6172.6,0.0,263577.7,0.0,10289.4,275316.6,56045.2,331361.8,969326.6,1031900.8,284888.2,42
6.1,141196.0,70726.0,70470.0,21304.7,17571.8,7322.3,6166.7,0.0,263577.7,0.0,10289.9,275316.5,56048.2,331364.8,969323.5,1031900.8,284882.4,42
7.1,141198.0,70728.0,70470.0,21305.5,17572.5,7323.0,6167.5,0.0,263577.7,0.0,10290.7,275316.5,56049.0,331365.4,969322.8,1031900.8,284883.2,42
8.1,141198.0,70728.0,70470.0,21310.7,17577.7,7328.3,6172.7,0.0,263577.7,0.0,10291.4,275316.3,56049.7,331366.0,969322.0,1031900.8,284888.4,42
9.1,141198.0,70728.0,70470.0,21311.4,17578.4,7329.0,6173.4,0.0,263577.7,0.0,10297.0,275316.4,56056.8,331373.3,969314.9,1031900.8,284889.1,42
10.1,141200.0,70730.0,70470.0,21293.5,17560.5,7311.1,6155.5,0.0,263577.7,0.0,10297.4,275316.5,56051.3,331367.9,969320.4,1031900.8,284871.2,42
11.1,141200.0,70730.0,70470.0,21281.7,17548.7,7299.2,6143.7,0.0,263577.7,0.0,10302.8,275316.5,56053.3,331369.7,969318.4,1031900.8,284859.4,42
12.1,141200.0,70730.0,70470.0,21287.7,17554.7,7305.3,6149.7,0.0,263577.7,0.0,10305.6,275316.6,56051.3,331367.9,969320.4,1031900.8,284865.4,42
13.1,141200.0,70730.0,70470.0,21257.8,17524.8,7275.4,6119.8,0.0,263577.7,0.0,10305.7,275316.3,56053.7,331370.0,969318.0,1031900.8,284835.5,42
14.1,141200.0,70730.0,70470.0,21157.9,17425.0,7175.5,6020.0,0.0,263577.7,0.0,10305.9,275316.5,56053.3,331369.8,969318.4,1031900.8,284735.7,42
15.1,141200.0,70730.0,70470.0,21164.6,17431.6,7182.2,6026.6,0.0,263577.7,0.0,10308.8,275316.8,56060.7,331377.5,969311.0,1031900.8,284742.4,42
16.1,141202.0,70730.0,70472.0,21164.7,17431.7,7182.3,6026.7,0.0,263577.7,0.0,10308.9,275316.3,56066.0,331382.4,969305.7,1031900.8,284742.4,42
17.1,141202.0,70730.0,70472.0,21094.8,17361.8,7112.4,5956.8,0.0,263577.7,0.0,10309.0,275316.5,56068.6,331385.1,969303.1,1031900.8,284672.5,42
18.1,141202.0,70730.0,70472.0,21094.8,17361.8,7112.4,5956.8,0.0,263577.7,0.0,10309.0,275316.5,56067.0,331383.5,969304.7,1031900.8,284672.5,42
19.1,141202.0,70730.0,70472.0,21094.9,17361.8,7112.4,5956.8,0.0,263577.7,0.0,10309.1,275316.6,56064.8,331381.4,969307.0,1031900.8,284672.6,42
20.1,141202.0,70730.0,70472.0,21094.9,17361.9,7112.5,5956.9,0.0,263577.7,0.0,10309.2,275316.6,56064.1,331380.7,969307.6,1031900.8,284672.5,42
21.1,141202.0,70730.0,70472.0,20984.9,17251.9,7002.5,5846.9,0.0,263577.7,0.0,10309.2,275316.2,56069.3,331385.6,969302.4,1031900.8,284562.6,42
