t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,416216,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,416216,0.0000,0.0000,,,,,,
1.00,0.0111,4618,0,416216,0.0111,0.0000,,,,,,
1.50,0.0111,4618,0,416216,0.0111,0.0000,,,,,,
2.00,0.0111,4618,0,416216,0.0111,0.0000,,,,,,
2.50,0.0111,4618,0,416216,0.0111,0.0000,,,,,,
3.00,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
3.50,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
4.00,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
4.50,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
5.00,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
5.50,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
6.00,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
6.50,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
7.00,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
7.50,0.0306,12740,0,416216,0.0306,0.0179,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
8.00,0.0306,12740,0,416216,0.0306,0.0179,0.0402,16752,1,416216,0.0402,0.0000
8.50,0.0399,16584,0,416216,0.0398,0.9815,0.0405,16841,1,416216,0.0405,0.0000
9.00,0.0399,16584,0,416216,0.0398,0.9815,0.0405,16841,1,416216,0.0405,0.0000
9.50,0.0400,16647,0,416216,0.0400,0.9905,0.0407,16938,1,416216,0.0407,0.0000
10.00,0.0401,16699,0,416216,0.0401,0.9804,0.0407,16938,1,416216,0.0407,0.0000
10.50,0.0401,16699,0,416216,0.0401,0.9804,0.0409,17023,1,416216,0.0409,0.0000
11.00,0.0403,16766,0,416216,0.0403,0.9819,0.0411,17114,1,416216,0.0411,0.0000
11.50,0.0405,16853,0,416216,0.0405,0.9807,0.0411,17114,1,416216,0.0411,0.0000
12.00,0.0407,16920,0,416216,0.0407,0.9890,0.0414,17213,1,416216,0.0414,0.0000
12.50,0.0408,13652,0,416216,0.0328,0.0132,0.0414,17213,1,416216,0.0414,0.0000
13.00,0.0534,18879,0,416216,0.0454,0.9810,0.0459,19107,1,416216,0.0459,0.0000
13.50,0.0534,18879,0,416216,0.0454,0.9810,0.0459,19107,1,416216,0.0459,0.0000
14.00,0.0534,18879,0,416216,0.0454,0.9810,0.0459,19107,1,416216,0.0459,0.0000
14.50,0.0534,18879,0,416216,0.0454,0.9810,0.0459,19107,1,416216,0.0459,0.0000
15.00,0.0534,18879,0,416216,0.0454,0.9810,0.0459,19107,1,416216,0.0459,0.0000
15.50,0.0536,18972,0,416216,0.0456,0.9872,0.0459,19107,1,416216,0.0459,0.0000
16.00,0.0537,19017,0,416216,0.0457,0.9882,0.0462,19230,1,416216,0.0462,0.0000
16.50,0.0537,19017,0,416216,0.0457,0.9882,0.0462,19230,1,416216,0.0462,0.0000
17.00,0.0539,19083,0,416216,0.0458,0.9899,0.0462,19230,1,416216,0.0462,0.0000
17.50,0.0539,19083,0,416216,0.0458,0.9899,0.0465,19353,1,416216,0.0465,0.0000
18.00,0.0543,15804,0,416216,0.0380,0.0133,0.0466,19398,2,416216,0.0466,0.0000
18.50,0.0543,15804,0,416216,0.0380,0.0133,0.0466,19398,2,416216,0.0466,0.0000
19.00,0.0543,15804,0,416216,0.0380,0.0133,0.0466,19398,2,416216,0.0466,0.0000
19.50,0.0667,15463,0,416216,0.0372,0.0211,0.0510,21215,1,416216,0.0510,0.0000
20.00,0.0667,15463,0,416216,0.0372,0.0211,0.0510,21215,1,416216,0.0510,0.0000
20.50,0.0667,15463,0,416216,0.0372,0.0211,0.0510,21215,1,416216,0.0510,0.0000
21.00,0.0667,15463,0,416216,0.0372,0.0211,0.0510,21215,1,416216,0.0510,0.0000
21.50,0.0667,15463,0,416216,0.0372,0.0211,0.0510,21215,1,416216,0.0510,0.0000
22.00,0.0667,15463,0,416216,0.0372,0.0211,0.0510,21215,1,416216,0.0510,0.0000
22.50,0.0745,18709,0,416216,0.0450,0.9882,0.0510,21215,1,416216,0.0510,0.0000
23.00,0.0747,13859,0,416216,0.0333,0.0160,0.0456,18993,1,416216,0.0456,0.0000
23.50,0.0747,13859,0,416216,0.0333,0.0160,0.0456,18993,1,416216,0.0456,0.0000
24.00,0.0747,13859,0,416216,0.0333,0.0160,0.0456,18993,1,416216,0.0456,0.0000
24.50,0.0747,13859,0,416216,0.0333,0.0160,0.0456,18993,1,416216,0.0456,0.0000
