t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,416216,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,416216,0.0000,0.0000,,,,,,
1.00,0.0130,5413,0,416216,0.0130,0.0000,,,,,,
1.50,0.0325,13535,0,416216,0.0325,0.0000,,,,,,
2.00,0.0325,13535,0,416216,0.0325,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
2.50,0.0325,13535,0,416216,0.0325,0.0000,0.0441,16752,1,379461,0.0441,0.0000
3.00,0.0325,13535,0,416216,0.0325,0.0000,0.0441,16752,1,379461,0.0441,0.0000
3.50,0.0396,9961,0,416216,0.0239,0.9867,0.0441,16752,1,379461,0.0441,0.0000
4.00,0.0400,16638,0,416216,0.0400,0.9815,0.0355,13473,2,379461,0.0355,0.0000
4.50,0.0401,16701,0,416216,0.0401,0.9805,0.0447,16964,1,379461,0.0447,0.0000
5.00,0.0401,16701,0,416216,0.0401,0.9805,0.0447,16964,1,379461,0.0447,0.0000
5.50,0.0404,16793,0,416216,0.0403,0.9890,0.0304,11534,1,379461,0.0304,0.0000
6.00,0.0404,16793,0,416216,0.0403,0.9890,0.0451,17122,1,379461,0.0451,0.0000
6.50,0.0405,10187,0,416216,0.0245,0.0132,0.0361,13696,2,379461,0.0361,0.0000
7.00,0.0533,18830,0,416216,0.0452,0.9819,0.0502,19058,1,379461,0.0502,0.0000
7.50,0.0533,18830,0,416216,0.0452,0.9819,0.0502,19058,1,379461,0.0502,0.0000
8.00,0.0535,18917,0,416216,0.0454,0.9882,0.0502,19058,1,379461,0.0502,0.0000
8.50,0.0536,18983,0,416216,0.0456,0.9901,0.0506,19195,1,379461,0.0506,0.0000
9.00,0.0538,19036,0,416216,0.0457,0.9873,0.0415,15760,1,379461,0.0415,0.0000
9.50,0.0538,19036,0,416216,0.0457,0.9873,0.0415,15760,1,379461,0.0415,0.0000
10.00,0.0539,19081,0,416216,0.0458,0.9810,0.0415,15760,1,379461,0.0415,0.0000
10.50,0.0539,19081,0,416216,0.0458,0.9810,0.0511,19395,1,379461,0.0511,0.0000
11.00,0.0541,13631,0,416216,0.0327,0.0133,0.0512,19435,1,379461,0.0512,0.0000
11.50,0.0665,18812,0,416216,0.0452,0.9882,0.0512,19435,1,379461,0.0512,0.0000
12.00,0.0667,15415,0,416216,0.0370,0.0211,0.0503,19099,1,379461,0.0503,0.0000
12.50,0.0667,15415,0,416216,0.0370,0.0211,0.0503,19099,1,379461,0.0503,0.0000
13.00,0.0745,18661,0,416216,0.0448,0.9843,0.0498,18899,1,379461,0.0498,0.0000
13.50,0.0747,18739,0,416216,0.0450,0.9870,0.0498,18899,1,379461,0.0498,0.0000
14.00,0.0747,18739,0,416216,0.0450,0.9870,0.0501,19026,1,379461,0.0501,0.0000
14.50,0.0748,10235,0,416216,0.0246,0.0160,0.0503,19071,2,379461,0.0503,0.0000
15.00,0.0877,18836,0,416216,0.0453,0.9779,0.0503,19071,2,379461,0.0503,0.0000
15.50,0.0877,18836,0,416216,0.0453,0.9779,0.0504,19142,1,379461,0.0504,0.0000
16.00,0.0879,14013,0,416216,0.0337,0.9859,0.0504,19142,1,379461,0.0504,0.0000
16.50,0.0879,14013,0,416216,0.0337,0.9859,0.0504,19142,1,379461,0.0504,0.0000
17.00,0.0881,14089,0,416216,0.0339,0.9878,0.0375,14246,1,379461,0.0375,0.0000
17.50,0.0881,14089,0,416216,0.0339,0.9878,0.0377,14316,1,379461,0.0377,0.0000
18.00,0.0882,14156,0,416216,0.0340,0.9772,0.0379,14383,1,379461,0.0379,0.0000
18.50,0.0884,14235,0,416216,0.0342,0.9850,0.0379,14383,1,379461,0.0379,0.0000
19.00,0.0886,14317,0,416216,0.0344,0.9923,0.0381,14463,1,379461,0.0381,0.0000
19.50,0.0887,14360,0,416216,0.0345,0.9850,0.0381,14463,1,379461,0.0381,0.0000
20.00,0.0887,14360,0,416216,0.0345,0.9850,0.0384,14558,1,379461,0.0384,0.0000
20.50,0.0887,14360,0,416216,0.0345,0.9850,0.0384,14558,1,379461,0.0384,0.0000
21.00,0.0887,14360,0,416216,0.0345,0.9850,0.0240,9089,1,379461,0.0240,0.0000
21.50,0.0889,3523,0,416216,0.0085,0.9833,0.0240,9089,1,379461,0.0240,0.0000
22.00,0.0889,3523,0,416216,0.0085,0.9833,0.0095,3588,1,379461,0.0095,0.0000
