t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0319,3340,0,105000,0.0318,0.0000,,,,,,
1.50,0.0319,3340,0,105000,0.0318,0.0000,,,,,,
2.00,0.0319,3340,0,105000,0.0318,0.0000,,,,,,
2.50,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
3.00,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
3.50,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
4.00,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
4.50,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
5.00,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
5.50,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
6.00,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
6.50,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
7.00,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
7.50,0.1092,11462,0,105000,0.1092,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
8.00,0.1092,11462,0,105000,0.1092,0.0000,0.0663,13383,1,202000,0.0663,0.0000
8.50,0.1092,11462,0,105000,0.1092,0.0000,0.0497,10048,1,202000,0.0497,0.0000
9.00,0.1571,8683,0,105000,0.0827,0.9826,0.0436,8814,1,202000,0.0436,0.0000
9.50,0.1577,6661,0,105000,0.0634,0.9792,0.0436,8814,1,202000,0.0436,0.0000
10.00,0.1584,4618,0,105000,0.0440,0.9790,0.0608,12276,2,202000,0.0608,0.0000
10.50,0.1593,4717,0,105000,0.0449,0.0132,0.0574,11593,2,202000,0.0574,0.0000
11.00,0.2091,10640,0,105000,0.1013,0.9867,0.0496,10017,1,202000,0.0496,0.0000
11.50,0.2091,10640,0,105000,0.1013,0.9867,0.0769,15543,1,202000,0.0769,0.0000
12.00,0.2091,10640,0,105000,0.1013,0.9867,0.0769,15543,1,202000,0.0769,0.0000
12.50,0.2091,10640,0,105000,0.1013,0.9867,0.0769,15543,1,202000,0.0769,0.0000
13.00,0.2098,18689,0,105000,0.1780,0.9774,0.0769,15543,1,202000,0.0769,0.0000
13.50,0.2098,18689,0,105000,0.1780,0.9774,0.0769,15543,1,202000,0.0769,0.0000
14.00,0.2098,18689,0,105000,0.1780,0.9774,0.0769,15543,1,202000,0.0769,0.0000
14.50,0.2098,18689,0,105000,0.1780,0.9774,0.0683,13803,1,202000,0.0683,0.0000
15.00,0.2116,10048,0,105000,0.0957,0.9899,0.0504,10172,1,202000,0.0504,0.0000
15.50,0.2121,10767,0,105000,0.1025,0.9890,0.0504,10172,1,202000,0.0504,0.0000
16.00,0.2127,8960,0,105000,0.0853,0.9872,0.0715,14437,1,202000,0.0715,0.0000
16.50,0.2131,8279,0,105000,0.0788,0.9811,0.0715,14437,1,202000,0.0715,0.0000
17.00,0.2140,10195,0,105000,0.0971,0.9882,0.0419,8454,1,202000,0.0419,0.0000
17.50,0.2146,10259,0,105000,0.0977,0.0133,0.0419,8454,1,202000,0.0419,0.0000
18.00,0.2639,16073,0,105000,0.1531,0.9882,0.1050,21220,1,202000,0.1050,0.0000
18.50,0.2639,16073,0,105000,0.1531,0.9882,0.1050,21220,1,202000,0.1050,0.0000
19.00,0.2639,16073,0,105000,0.1531,0.9882,0.1050,21220,1,202000,0.1050,0.0000
19.50,0.2646,20983,0,105000,0.1998,0.9844,0.1050,21220,1,202000,0.1050,0.0000
20.00,0.2646,20983,0,105000,0.1998,0.9844,0.1050,21220,1,202000,0.1050,0.0000
20.50,0.2653,10535,0,105000,0.1003,0.0211,0.1055,21307,1,202000,0.1055,0.0000
21.00,0.2653,10535,0,105000,0.1003,0.0211,0.0950,19194,1,202000,0.0950,0.0000
21.50,0.2653,10535,0,105000,0.1003,0.0211,0.0950,19194,1,202000,0.0950,0.0000
22.00,0.2962,18962,0,105000,0.1806,0.9831,0.0950,19194,1,202000,0.0950,0.0000
22.50,0.2962,18962,0,105000,0.1806,0.9831,0.0954,19274,1,202000,0.0954,0.0000
23.00,0.2971,13526,0,105000,0.1288,0.0160,0.0956,19314,1,202000,0.0956,0.0000
23.50,0.3481,10713,0,105000,0.1020,0.0133,0.0960,19391,1,202000,0.0960,0.0000
24.00,0.3481,10713,0,105000,0.1020,0.0133,0.0960,19391,1,202000,0.0960,0.0000
24.50,0.3481,10713,0,105000,0.1020,0.0133,0.0960,19391,1,202000,0.0960,0.0000
