elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,93804.0,27996.0,65808.0,20323.0,16971.6,6306.3,5460.2,0.0,263883.9,0.0,25010.1,276467.7,185610.7,462078.4,839761.0,1031900.8,284206.9,42
1.1,94704.0,28896.0,65808.0,20398.3,17040.7,6380.8,5529.3,0.0,263883.9,0.0,25114.1,276467.8,185723.1,462190.9,839648.6,1031900.8,284282.2,42
2.1,94706.0,28898.0,65808.0,20373.8,17011.3,6351.5,5499.8,0.0,263883.9,0.0,25232.3,276468.0,185834.0,462302.1,839537.7,1031900.8,284257.8,42
3.1,94706.0,28898.0,65808.0,20383.9,17021.0,6361.3,5509.6,0.0,263883.9,0.0,25366.9,276468.4,185979.6,462448.0,839392.1,1031900.8,284267.8,42
4.1,94706.0,28898.0,65808.0,20383.3,17020.4,6360.7,5509.0,0.0,263736.9,0.0,25478.8,276320.5,186053.0,462373.6,839318.7,1031900.8,284120.2,42
5.1,94706.0,28898.0,65808.0,20335.7,16972.0,6313.1,5460.6,0.0,263884.0,0.0,25268.7,276468.3,185887.8,462356.2,839483.9,1031900.8,284219.6,42
6.1,94708.0,28900.0,65808.0,20349.4,16983.9,6326.8,5472.5,0.0,263884.0,0.0,25287.8,276468.4,185908.1,462376.5,839463.6,1031900.8,284233.3,42
7.1,94708.0,28900.0,65808.0,20345.4,16979.9,6322.8,5468.5,0.0,263884.0,0.0,25291.8,276468.4,185880.7,462349.1,839490.4,1031900.8,284229.3,42
8.1,94708.0,28900.0,65808.0,20343.6,16978.1,6321.1,5466.7,0.0,263884.0,0.0,25299.4,276468.4,185900.0,462368.4,839471.7,1031900.8,284227.6,42
9.1,94708.0,28900.0,65808.0,20343.8,16978.3,6321.3,5466.9,0.0,263884.0,0.0,25097.7,276468.4,185697.3,462165.7,839674.4,1031900.8,284227.8,42
10.1,94710.0,28900.0,65810.0,20340.6,16975.1,6318.0,5463.7,0.0,263884.0,0.0,25125.9,276468.4,185740.0,462208.4,839631.7,1031900.8,284224.6,42
11.1,94710.0,28900.0,65810.0,20338.6,16973.1,6316.1,5461.7,0.0,263884.0,0.0,25057.2,276468.4,185651.6,462120.0,839720.1,1031900.8,284222.6,42
