t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0001,0,0,79000,0.0000,0.0000,,,,,,
0.50,0.3667,28967,0,79000,0.3667,0.0188,,,,,,
1.99,0.3667,28967,0,79000,0.3667,0.0188,,,,,,
2.49,0.4704,32611,0,79000,0.4128,0.0085,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
2.99,0.5741,37567,0,79000,0.4755,0.0188,0.7923,300653,1,379461,0.7923,0.0000
3.49,0.6778,42497,0,79000,0.5379,0.0188,0.7837,297384,1,379461,0.7837,0.0000
3.99,0.6778,42497,0,79000,0.5379,0.0188,0.7837,297384,1,379461,0.7837,0.0000
4.49,0.7815,45508,0,79000,0.5761,0.0085,0.7929,300872,1,379461,0.7929,0.0000
4.99,0.8852,48374,0,79000,0.6123,0.0289,0.7933,301026,1,379461,0.7933,0.0000
5.49,0.9889,53351,0,79000,0.6753,0.0125,0.7933,301026,1,379461,0.7933,0.0000
5.99,0.9527,61543,0,79000,0.7790,0.0168,0.7933,301026,1,379461,0.7933,0.0000
6.49,0.9234,69735,0,79000,0.8827,0.0125,0.7933,301026,1,379461,0.7933,0.0000
6.99,0.9864,71495,0,79000,0.9050,0.0165,0.7937,301165,1,379461,0.7937,0.0000
7.49,0.9864,71495,0,79000,0.9050,0.0165,0.7937,301165,1,379461,0.7937,0.0000
7.99,0.9812,71324,0,79000,0.9028,0.0180,0.7939,301247,1,379461,0.7939,0.0000
8.49,0.9609,70682,0,79000,0.8947,0.0262,0.7939,301247,1,379461,0.7939,0.0000
8.99,0.9765,71930,0,79000,0.9105,0.0227,0.7939,301247,1,379461,0.7939,0.0000
9.49,0.9765,71930,0,79000,0.9105,0.0227,0.7942,301354,1,379461,0.7942,0.0000
9.99,0.9677,71307,0,79000,0.9026,0.0154,0.7942,301354,1,379461,0.7942,0.0000
10.49,0.9677,71307,0,79000,0.9026,0.0154,0.7945,301489,1,379461,0.7945,0.0000
10.99,0.9695,76593,0,79000,0.9695,0.0000,0.7948,301577,1,379461,0.7948,0.0000
11.49,0.9743,72670,0,79000,0.9199,0.0154,0.7948,301577,1,379461,0.7948,0.0000
11.99,0.9743,72670,0,79000,0.9199,0.0154,0.7949,301652,1,379461,0.7949,0.0000
12.49,0.9902,72789,0,79000,0.9214,0.0199,0.7949,301652,1,379461,0.7949,0.0000
12.99,0.9757,72729,0,79000,0.9206,0.0156,0.7954,301806,1,379461,0.7954,0.0000
13.49,0.9757,72729,0,79000,0.9206,0.0156,0.7954,301806,1,379461,0.7954,0.0000
13.99,0.9757,72729,0,79000,0.9206,0.0156,0.7954,301806,1,379461,0.7954,0.0000
14.49,0.9899,69547,0,79000,0.8803,0.0155,0.7956,301911,1,379461,0.7956,0.0000
14.99,0.9866,77944,0,79000,0.9866,0.0000,0.7957,301951,1,379461,0.7957,0.0000
15.49,0.9947,74344,0,79000,0.9411,0.0217,0.7959,302003,2,379461,0.7959,0.0000
15.99,0.9947,74344,0,79000,0.9411,0.0217,0.7962,302135,1,379461,0.7962,0.0000
16.49,0.9809,72950,0,79000,0.9234,0.0212,0.7964,302206,1,379461,0.7964,0.0000
16.99,0.9643,71031,0,79000,0.8991,0.0185,0.7966,302271,1,379461,0.7966,0.0000
17.49,0.9691,71417,0,79000,0.9040,0.0201,0.7966,302271,1,379461,0.7966,0.0000
17.99,0.9578,71087,0,79000,0.8998,0.0198,0.7968,302368,1,379461,0.7968,0.0000
18.49,0.9543,72195,0,79000,0.9139,0.0127,0.7970,302420,2,379461,0.7970,0.0000
18.99,0.9827,74371,0,79000,0.9414,0.0275,0.7884,299153,1,379461,0.7884,0.0000
19.49,0.9827,74371,0,79000,0.9414,0.0275,0.7884,299153,1,379461,0.7884,0.0000
19.99,0.9956,68571,0,79000,0.8680,0.0125,0.7977,302705,1,379461,0.7977,0.0000
20.49,0.9956,68571,0,79000,0.8680,0.0125,0.7977,302705,1,379461,0.7977,0.0000
20.99,0.9743,76971,0,79000,0.9743,0.0000,0.7977,302705,1,379461,0.7977,0.0000
21.49,0.9743,76971,0,79000,0.9743,0.0000,0.7980,302824,1,379461,0.7980,0.0000
21.99,0.9865,77931,0,79000,0.9865,0.0000,0.7980,302824,1,379461,0.7980,0.0000
22.49,0.9865,77931,0,79000,0.9865,0.0000,0.7982,302895,1,379461,0.7982,0.0000
22.99,0.9865,77931,0,79000,0.9865,0.0000,0.7983,302942,2,379461,0.7983,0.0000
23.49,0.9753,77035,0,79000,0.9751,0.0000,0.7987,303084,1,379461,0.7987,0.0000
