elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,101446.0,31034.0,70412.0,20800.3,17337.9,6780.7,5826.8,0.0,218904.7,0.0,18114.4,233233.1,436506.7,669739.8,588865.0,1031900.8,239705.0,42
1.1,102660.0,32208.0,70452.0,21045.1,17409.1,7024.7,5898.0,0.0,218904.7,0.0,18227.2,233233.2,436807.1,670040.2,588564.6,1031900.8,239949.8,42
2.1,102684.0,32220.0,70464.0,21059.6,17418.5,7034.3,5907.4,0.0,218904.7,0.0,18291.5,233233.2,436866.7,670099.9,588505.0,1031900.8,239964.3,42
3.1,102684.0,32220.0,70464.0,20996.5,17355.2,6971.2,5844.1,0.0,218904.7,0.0,18331.1,233233.1,436892.1,670125.2,588479.7,1031900.8,239901.3,42
4.1,102686.0,32222.0,70464.0,21021.5,17379.4,6995.3,5868.3,0.0,218904.7,0.0,18277.4,233233.4,436863.1,670096.4,588508.7,1031900.8,239926.2,42
5.1,102686.0,32222.0,70464.0,20986.1,17343.9,6960.0,5832.8,0.0,218904.7,0.0,18279.0,233233.4,436837.3,670070.8,588534.4,1031900.8,239890.9,42
6.1,102688.0,32222.0,70466.0,20978.7,17336.5,6952.5,5825.4,0.0,218904.7,0.0,18279.7,233233.3,436849.5,670082.8,588522.3,1031900.8,239883.4,42
7.1,102688.0,32222.0,70466.0,20973.3,17331.0,6947.1,5819.9,0.0,218904.7,0.0,18043.0,233233.4,436622.0,669855.4,588749.7,1031900.8,239878.0,42
8.1,102688.0,32222.0,70466.0,20974.8,17332.5,6948.6,5821.4,0.0,218904.7,0.0,18048.7,233233.5,436641.7,669875.1,588730.1,1031900.8,239879.6,42
9.1,102688.0,32222.0,70466.0,20974.9,17332.5,6948.7,5821.4,0.0,218904.7,0.0,18053.8,233233.7,436605.4,669839.1,588766.3,1031900.8,239879.6,42
10.1,102688.0,32222.0,70466.0,20964.2,17321.8,6938.0,5810.8,0.0,218904.7,0.0,18056.6,233233.6,436613.7,669847.3,588758.1,1031900.8,239868.9,42
11.1,102688.0,32222.0,70466.0,20968.5,17326.1,6942.3,5815.0,0.0,218904.7,0.0,18057.4,233233.6,436624.1,669857.7,588747.6,1031900.8,239873.2,42
12.1,102688.0,32222.0,70466.0,20966.6,17324.2,6940.4,5813.2,0.0,218904.7,0.0,18057.9,233233.6,436638.0,669871.7,588733.7,1031900.8,239871.4,42
13.1,102688.0,32222.0,70466.0,20945.4,17303.1,6919.2,5792.0,0.0,218904.7,0.0,18058.5,233233.6,436630.3,669863.9,588741.4,1031900.8,239850.2,42
14.1,102688.0,32222.0,70466.0,20846.2,17203.9,6820.1,5692.8,0.0,218904.7,0.0,18099.8,233233.7,436643.1,669876.8,588728.6,1031900.8,239751.0,42
15.1,102688.0,32222.0,70466.0,20842.3,17199.9,6816.1,5688.9,0.0,218904.7,0.0,18201.2,233233.7,436765.3,669999.0,588606.4,1031900.8,239747.0,42
16.1,102688.0,32222.0,70466.0,20746.6,17104.3,6720.4,5593.2,0.0,218904.7,0.0,18080.0,233233.7,436648.5,669882.2,588723.2,1031900.8,239651.4,42
17.1,102688.0,32222.0,70466.0,20764.8,17122.4,6738.6,5611.3,0.0,218904.8,0.0,18080.3,233233.5,436630.6,669864.1,588741.1,1031900.8,239669.5,42
18.1,102688.0,32222.0,70466.0,20650.8,17008.4,6624.6,5497.4,0.0,218904.8,0.0,17928.9,233233.7,436478.3,669712.1,588893.4,1031900.8,239555.6,42
19.1,102690.0,32222.0,70468.0,20611.2,16968.7,6584.9,5457.6,0.0,218904.8,0.0,17929.1,233233.8,436472.8,669706.6,588899.0,1031900.8,239515.9,42
20.1,102690.0,32222.0,70468.0,20602.9,16960.4,6576.6,5449.3,0.0,218904.8,0.0,17936.9,233233.7,436484.2,669717.9,588887.5,1031900.8,239507.6,42
21.1,102690.0,32222.0,70468.0,20609.2,16966.7,6582.9,5455.6,0.0,218904.8,0.0,17937.0,233233.6,436487.9,669721.5,588883.8,1031900.8,239514.0,42
22.1,102692.0,32222.0,70470.0,20614.2,16969.1,6587.9,5458.0,0.0,218904.8,0.0,17969.1,233233.6,436531.3,669764.9,588840.4,1031900.8,239518.9,42
23.1,102692.0,32222.0,70470.0,20610.7,16965.6,6584.4,5454.5,0.0,218904.8,0.0,18061.6,233233.6,436614.0,669847.6,588757.7,1031900.8,239515.5,42
24.1,102692.0,32222.0,70470.0,20614.7,16969.6,6588.4,5458.5,0.0,218904.8,0.0,18162.5,233233.7,436708.2,669942.0,588663.5,1031900.8,239519.5,42
25.1,102692.0,32222.0,70470.0,20613.1,16968.0,6586.8,5456.9,0.0,218904.8,0.0,18209.2,233233.7,436760.1,669993.8,588611.6,1031900.8,239517.9,42
26.1,102692.0,32222.0,70470.0,20613.8,16968.7,6587.5,5457.6,0.0,218904.8,0.0,18266.7,233233.8,436827.3,670061.1,588544.4,1031900.8,239518.6,42
