elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74720.0,31036.0,43684.0,20442.5,17089.2,6499.2,5651.8,0.0,220210.7,0.0,17581.6,234583.0,435336.4,669919.4,590035.3,1031900.8,240653.3,42
1.1,75746.0,32062.0,43684.0,20478.0,17118.3,6533.7,5680.9,0.0,220210.8,0.0,17485.9,234583.4,435222.3,669805.7,590149.4,1031900.8,240688.7,42
2.1,75748.0,32064.0,43684.0,20487.8,17123.1,6538.6,5685.6,0.0,220210.8,0.0,17489.9,234583.3,435230.4,669813.7,590141.3,1031900.8,240698.5,42
3.1,75748.0,32064.0,43684.0,20493.2,17128.3,6543.9,5690.9,0.0,220210.8,0.0,17492.4,234583.3,435248.1,669831.4,590123.6,1031900.8,240704.0,42
4.1,75748.0,32064.0,43684.0,20455.8,17090.9,6506.4,5653.4,0.0,220210.8,0.0,17493.2,234583.2,435257.8,669841.0,590113.9,1031900.8,240666.5,42
5.1,75748.0,32064.0,43684.0,20480.6,17115.6,6531.2,5678.2,0.0,220210.8,0.0,17494.8,234583.1,435248.3,669831.4,590123.4,1031900.8,240691.3,42
6.1,75750.0,32064.0,43686.0,20477.0,17112.1,6527.7,5674.7,0.0,220210.8,0.0,17577.9,234583.2,435339.4,669922.6,590032.4,1031900.8,240687.8,42
7.1,75750.0,32064.0,43686.0,20473.3,17108.4,6524.0,5671.0,0.0,220210.8,0.0,17706.7,234583.3,435469.0,670052.3,589902.7,1031900.8,240684.1,42
8.1,75750.0,32064.0,43686.0,20467.4,17102.5,6518.0,5665.0,0.0,220210.8,0.0,17643.7,234583.3,435404.2,669987.4,589967.5,1031900.8,240678.2,42
9.1,75750.0,32064.0,43686.0,20463.5,17098.6,6514.2,5661.2,0.0,220210.8,0.0,17643.6,234583.3,435414.4,669997.6,589957.3,1031900.8,240674.3,42
10.1,75750.0,32064.0,43686.0,20463.8,17098.8,6514.4,5661.4,0.0,220210.8,0.0,17643.9,234583.2,435413.6,669996.7,589958.1,1031900.8,240674.5,42
11.1,75754.0,32068.0,43686.0,20485.0,17117.5,6535.7,5680.1,0.0,220210.8,0.0,17662.8,234583.2,435418.9,670002.1,589952.8,1031900.8,240695.8,42
12.1,75754.0,32068.0,43686.0,20485.3,17117.7,6535.9,5680.3,0.0,220210.8,0.0,17663.4,234583.1,435412.2,669995.3,589959.5,1031900.8,240696.0,42
13.1,75754.0,32068.0,43686.0,20485.5,17118.0,6536.1,5680.6,0.0,220210.8,0.0,17663.4,234583.3,435409.3,669992.5,589962.4,1031900.8,240696.3,42
14.1,75754.0,32068.0,43686.0,20485.7,17118.2,6536.4,5680.8,0.0,220210.8,0.0,17664.0,234583.3,435405.1,669988.4,589966.6,1031900.8,240696.5,42
15.1,75754.0,32068.0,43686.0,20486.1,17118.6,6536.8,5681.2,0.0,220210.8,0.0,17723.8,234583.4,435470.1,670053.5,589901.6,1031900.8,240696.9,42
16.1,75756.0,32068.0,43688.0,20484.1,17116.6,6534.8,5679.2,0.0,220210.8,0.0,17843.6,234583.3,435626.1,670209.4,589745.6,1031900.8,240694.9,42
17.1,75756.0,32068.0,43688.0,20484.3,17116.8,6535.0,5679.4,0.0,220114.8,0.0,17989.0,234486.8,435709.8,670196.6,589661.9,1031900.8,240599.1,42
18.1,75756.0,32068.0,43688.0,20472.4,17104.9,6523.1,5667.5,0.0,220210.8,0.0,18002.8,234583.1,435732.5,670315.6,589639.3,1031900.8,240683.2,42
19.1,75756.0,32068.0,43688.0,20454.5,17087.0,6505.2,5649.6,0.0,220210.8,0.0,18058.9,234583.1,435800.1,670383.2,589571.6,1031900.8,240665.3,42
20.1,75756.0,32068.0,43688.0,20454.5,17087.0,6505.2,5649.6,0.0,220210.8,0.0,17905.2,234583.1,435648.1,670231.3,589724.1,1031900.8,240665.4,42
21.1,75756.0,32068.0,43688.0,20444.6,17077.1,6495.3,5639.7,0.0,220210.8,0.0,17905.8,234583.0,435640.9,670223.9,589730.8,1031900.8,240655.5,42
22.1,75756.0,32068.0,43688.0,20461.9,17091.8,6509.9,5654.4,0.0,220210.8,0.0,17905.8,234583.1,435645.8,670228.9,589725.9,1031900.8,240672.7,42
23.1,75756.0,32068.0,43688.0,20470.1,17100.0,6518.1,5662.5,0.0,220210.8,0.0,17932.8,234583.3,435663.8,670247.1,589707.9,1031900.8,240680.9,42
24.1,75776.0,32068.0,43708.0,20454.1,17084.0,6502.2,5646.6,0.0,220210.8,0.0,17932.7,234583.1,435678.3,670261.4,589693.4,1031900.8,240664.9,42
25.1,75776.0,32068.0,43708.0,20460.3,17090.1,6508.3,5652.7,0.0,220210.8,0.0,17933.2,234583.2,435687.3,670270.5,589684.4,1031900.8,240671.1,42
26.1,75776.0,32068.0,43708.0,20460.3,17090.1,6508.3,5652.7,0.0,220210.8,0.0,17978.7,234583.2,435723.8,670306.9,589648.0,1031900.8,240671.1,42
27.1,75776.0,32068.0,43708.0,20442.3,17072.2,6490.3,5634.7,0.0,220210.8,0.0,18058.3,234583.2,435790.7,670373.8,589581.1,1031900.8,240653.1,42
28.1,75776.0,32068.0,43708.0,20434.4,17064.2,6482.4,5626.8,0.0,220210.8,0.0,17799.0,234583.2,435553.3,670136.4,589818.5,1031900.8,240645.2,42
29.1,75776.0,32068.0,43708.0,20416.4,17046.2,6464.4,5608.8,0.0,220210.8,0.0,17798.9,234583.1,435540.0,670123.1,589831.7,1031900.8,240627.2,42
30.1,75776.0,32068.0,43708.0,20414.4,17044.3,6462.4,5606.8,0.0,220210.8,0.0,17799.6,234583.1,435545.4,670128.6,589826.3,1031900.8,240625.2,42
31.1,75776.0,32068.0,43708.0,20376.5,17006.4,6424.6,5569.0,0.0,220210.8,0.0,17800.1,234583.0,435537.4,670120.4,589834.3,1031900.8,240587.4,42
32.1,75776.0,32068.0,43708.0,20398.6,17028.4,6446.6,5591.0,0.0,220210.8,0.0,17799.8,234583.2,435550.6,670133.8,589821.1,1031900.8,240609.4,42
33.1,75776.0,32068.0,43708.0,20382.6,17012.5,6430.6,5575.0,0.0,220210.8,0.0,17799.8,234583.2,435556.0,670139.1,589815.7,1031900.8,240593.4,42
34.1,75776.0,32068.0,43708.0,20372.6,17002.5,6420.7,5565.1,0.0,220210.9,0.0,17873.3,234583.3,435614.7,670198.0,589757.0,1031900.8,240583.5,42
35.1,75776.0,32068.0,43708.0,20268.6,16898.5,6316.7,5461.1,0.0,220210.9,0.0,18002.1,234583.1,435726.5,670309.6,589645.2,1031900.8,240479.5,42
36.1,75776.0,32068.0,43708.0,20268.6,16898.5,6316.7,5461.1,0.0,220210.9,0.0,17923.0,234583.1,435664.0,670247.1,589707.7,1031900.8,240479.5,42
37.1,75776.0,32068.0,43708.0,20268.6,16898.5,6316.7,5461.1,0.0,220210.9,0.0,17921.2,234583.2,435654.4,670237.6,589717.3,1031900.8,240479.5,42
