t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0516,5413,0,105000,0.0516,0.0000,,,,,,
1.50,0.0516,5413,0,105000,0.0516,0.0000,,,,,,
2.00,0.0516,5413,0,105000,0.0516,0.0000,,,,,,
2.50,0.0516,5413,0,105000,0.0516,0.0000,,,,,,
3.00,0.2405,25245,0,105000,0.2404,0.5962,,,,,,
3.50,0.2405,25245,0,105000,0.2404,0.5962,,,,,,
4.00,0.2405,25245,0,105000,0.2404,0.5962,,,,,,
4.50,0.2405,25245,0,105000,0.2404,0.5962,,,,,,
5.00,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
5.50,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
6.00,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
6.50,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
7.00,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
7.50,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
8.00,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
8.50,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
9.00,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
9.50,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
10.00,0.3178,33367,0,105000,0.3178,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
10.50,0.3178,33367,0,105000,0.3178,0.0000,0.1785,36058,1,202000,0.1785,0.0000
11.00,0.3178,33367,0,105000,0.3178,0.0000,0.1517,30639,1,202000,0.1517,0.0000
11.50,0.3382,25727,0,105000,0.2450,0.9867,0.1517,30639,1,202000,0.1517,0.0000
12.00,0.3389,27086,0,105000,0.2580,0.9830,0.1297,26197,1,202000,0.1297,0.0000
12.50,0.3396,29123,0,105000,0.2774,0.9899,0.1364,27559,1,202000,0.1364,0.0000
13.00,0.3401,27275,0,105000,0.2598,0.9790,0.1634,32998,1,202000,0.1634,0.0000
13.50,0.3408,27354,0,105000,0.2605,0.9815,0.1634,32998,1,202000,0.1634,0.0000
14.00,0.3408,27354,0,105000,0.2605,0.9815,0.1377,27812,1,202000,0.1377,0.0000
14.50,0.3423,30578,0,105000,0.2912,0.9779,0.1377,27812,1,202000,0.1377,0.0000
15.00,0.3423,30578,0,105000,0.2912,0.9779,0.1377,27812,1,202000,0.1377,0.0000
15.50,0.3430,30609,0,105000,0.2915,0.9911,0.1540,31100,1,202000,0.1540,0.0000
16.00,0.3434,26148,0,105000,0.2490,0.9890,0.1582,31953,1,202000,0.1582,0.0000
16.50,0.3434,26148,0,105000,0.2490,0.9890,0.1582,31953,1,202000,0.1582,0.0000
17.00,0.3449,24257,0,105000,0.2310,0.0133,0.1555,31408,1,202000,0.1555,0.0000
17.50,0.3945,34748,0,105000,0.3309,0.9882,0.1647,33261,1,202000,0.1647,0.0000
18.00,0.3945,34748,0,105000,0.3309,0.9882,0.1647,33261,1,202000,0.1647,0.0000
18.50,0.3945,34748,0,105000,0.3309,0.9882,0.1647,33261,1,202000,0.1647,0.0000
19.00,0.3945,34748,0,105000,0.3309,0.9882,0.1647,33261,1,202000,0.1647,0.0000
19.50,0.3951,38145,0,105000,0.3633,0.9804,0.1918,38741,1,202000,0.1918,0.0000
20.00,0.3951,38145,0,105000,0.3633,0.9804,0.1654,33405,1,202000,0.1654,0.0000
20.50,0.3951,38145,0,105000,0.3633,0.9804,0.1485,30002,1,202000,0.1485,0.0000
21.00,0.3957,29488,0,105000,0.2808,0.9825,0.1485,30002,1,202000,0.1485,0.0000
21.50,0.3974,32927,0,105000,0.3136,0.9922,0.1485,30002,1,202000,0.1485,0.0000
22.00,0.3974,32927,0,105000,0.3136,0.9922,0.1654,33406,1,202000,0.1654,0.0000
22.50,0.3978,33715,0,105000,0.3211,0.9882,0.1654,33406,1,202000,0.1654,0.0000
23.00,0.3984,33286,0,105000,0.3170,0.9809,0.1695,34244,1,202000,0.1695,0.0000
23.50,0.3984,33286,0,105000,0.3170,0.9809,0.1676,33855,1,202000,0.1676,0.0000
24.00,0.4000,29933,0,105000,0.2851,0.0263,0.1676,33855,1,202000,0.1676,0.0000
24.50,0.4000,29933,0,105000,0.2851,0.0263,0.1676,33855,1,202000,0.1676,0.0000
25.00,0.4306,36532,0,105000,0.3479,0.9872,0.1676,33855,1,202000,0.1676,0.0000
25.50,0.4306,36532,0,105000,0.3479,0.9872,0.1837,37110,1,202000,0.1837,0.0000
