t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0319,3349,0,105000,0.0319,0.0000,,,,,,
1.00,0.0319,3349,0,105000,0.0319,0.0000,,,,,,
1.50,0.1879,19733,0,105000,0.1879,0.0000,,,,,,
2.00,0.2341,24576,0,105000,0.2341,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
2.50,0.2341,24576,0,105000,0.2341,0.0000,0.1618,32687,1,202000,0.1618,0.0000
3.00,0.2354,24719,0,105000,0.2354,0.0000,0.1453,29354,1,202000,0.1453,0.0000
3.50,0.2364,24819,0,105000,0.2364,0.0000,0.1625,32828,2,202000,0.1625,0.0000
4.00,0.2364,24819,0,105000,0.2364,0.0000,0.1129,22815,1,202000,0.1129,0.0000
4.50,0.1668,17512,0,105000,0.1668,0.0000,0.1129,22815,1,202000,0.1129,0.0000
5.00,0.1923,20189,0,105000,0.1923,0.0000,0.1541,31125,1,202000,0.1541,0.0000
5.50,0.1943,20403,0,105000,0.1943,0.0000,0.1541,31125,1,202000,0.1541,0.0000
6.00,0.1943,20403,0,105000,0.1943,0.0000,0.1536,31037,1,202000,0.1536,0.0000
6.50,0.2328,24444,0,105000,0.2328,0.0000,0.1640,33132,1,202000,0.1640,0.0000
7.00,0.2508,26333,0,105000,0.2508,0.0000,0.1642,33177,2,202000,0.1642,0.0000
7.50,0.2508,26333,0,105000,0.2508,0.0000,0.1738,35108,1,202000,0.1738,0.0000
8.00,0.2566,26944,0,105000,0.2566,0.0000,0.1570,31707,1,202000,0.1570,0.0000
8.50,0.2378,24964,0,105000,0.2378,0.0000,0.1570,31707,1,202000,0.1570,0.0000
9.00,0.2198,23081,0,105000,0.2198,0.0000,0.1646,33259,1,202000,0.1646,0.0000
9.50,0.2657,27896,0,105000,0.2657,0.0000,0.1646,33259,1,202000,0.1646,0.0000
10.00,0.2658,27913,0,105000,0.2658,0.0000,0.1656,33455,1,202000,0.1656,0.0000
10.50,0.2658,27913,0,105000,0.2658,0.0000,0.1656,33455,1,202000,0.1656,0.0000
11.00,0.2163,22709,0,105000,0.2163,0.0000,0.1389,28055,1,202000,0.1389,0.0000
11.50,0.2362,24798,0,105000,0.2362,0.0000,0.1401,28291,1,202000,0.1401,0.0000
12.00,0.2362,24798,0,105000,0.2362,0.0000,0.1494,30174,1,202000,0.1494,0.0000
12.50,0.2600,27302,0,105000,0.2600,0.0000,0.1494,30174,1,202000,0.1494,0.0000
13.00,0.2936,30832,0,105000,0.2936,0.0000,0.1701,34362,1,202000,0.1701,0.0000
13.50,0.2745,28827,0,105000,0.2745,0.0000,0.1701,34362,1,202000,0.1701,0.0000
14.00,0.2745,28827,0,105000,0.2745,0.0000,0.1671,33764,1,202000,0.1671,0.0000
14.50,0.3013,31640,0,105000,0.3013,0.0000,0.1843,37231,1,202000,0.1843,0.0000
15.00,0.3013,31640,0,105000,0.3013,0.0000,0.1843,37231,1,202000,0.1843,0.0000
15.50,0.3013,31640,0,105000,0.3013,0.0000,0.1843,37231,1,202000,0.1843,0.0000
16.00,0.3013,31640,0,105000,0.3013,0.0000,0.1465,29583,1,202000,0.1465,0.0000
16.50,0.1963,20613,0,105000,0.1963,0.0000,0.1467,29628,2,202000,0.1467,0.0000
17.00,0.2146,22533,0,105000,0.2146,0.0000,0.1549,31285,1,202000,0.1549,0.0000
17.50,0.2175,22836,0,105000,0.2175,0.0000,0.1649,33312,1,202000,0.1649,0.0000
18.00,0.2170,22782,0,105000,0.2170,0.0000,0.1583,31976,1,202000,0.1583,0.0000
18.50,0.2196,23061,0,105000,0.2196,0.0000,0.1303,26320,1,202000,0.1303,0.0000
19.00,0.2192,23019,0,105000,0.2192,0.0000,0.1303,26320,1,202000,0.1303,0.0000
19.50,0.2474,25973,0,105000,0.2474,0.0000,0.1303,26320,1,202000,0.1303,0.0000
20.00,0.2474,25973,0,105000,0.2474,0.0000,0.1452,29328,1,202000,0.1452,0.0000
20.50,0.2296,24112,0,105000,0.2296,0.0000,0.1452,29328,1,202000,0.1452,0.0000
21.00,0.1951,20484,0,105000,0.1951,0.0000,0.1467,29631,1,202000,0.1467,0.0000
21.50,0.2924,30705,0,105000,0.2924,0.0000,0.1542,31156,1,202000,0.1542,0.0000
22.00,0.2924,30705,0,105000,0.2924,0.0000,0.1761,35566,1,202000,0.1761,0.0000
22.50,0.2596,27258,0,105000,0.2596,0.0000,0.1623,32787,1,202000,0.1623,0.0000
