t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0319,3340,0,105000,0.0318,0.0000,,,,,,
1.50,0.1866,19584,0,105000,0.1865,0.0188,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
2.00,0.1866,19584,0,105000,0.1865,0.0188,0.2308,36058,1,156229,0.2308,0.0000
2.50,0.2646,24523,0,105000,0.2336,0.0090,0.2308,36058,1,156229,0.2308,0.0000
3.00,0.2646,24523,0,105000,0.2336,0.0090,0.2308,36058,1,156229,0.2308,0.0000
3.50,0.3382,30954,0,105000,0.2948,0.9815,0.2095,32725,1,156229,0.2095,0.0000
4.00,0.3382,30954,0,105000,0.2948,0.9815,0.2095,32725,1,156229,0.2095,0.0000
4.50,0.3382,30954,0,105000,0.2948,0.9815,0.2095,32725,1,156229,0.2095,0.0000
5.00,0.3388,30239,0,105000,0.2880,0.9805,0.1970,30774,1,156229,0.1970,0.0000
5.50,0.3396,30302,0,105000,0.2886,0.9905,0.1970,30774,1,156229,0.1970,0.0000
6.00,0.3401,30482,0,105000,0.2903,0.9911,0.1970,30774,1,156229,0.1970,0.0000
6.50,0.3401,30482,0,105000,0.2903,0.9911,0.1984,30995,1,156229,0.1984,0.0000
7.00,0.3406,29250,0,105000,0.2786,0.9899,0.1984,30995,1,156229,0.1984,0.0000
7.50,0.3411,32566,0,105000,0.3102,0.9804,0.1984,30995,1,156229,0.1984,0.0000
8.00,0.3418,30698,0,105000,0.2924,0.9779,0.2338,36522,1,156229,0.2338,0.0000
8.50,0.3418,30698,0,105000,0.2924,0.9779,0.2001,31261,1,156229,0.2001,0.0000
9.00,0.3418,30698,0,105000,0.2924,0.9779,0.2001,31261,1,156229,0.2001,0.0000
9.50,0.3425,27998,0,105000,0.2666,0.9831,0.2125,33196,1,156229,0.2125,0.0000
10.00,0.3433,31404,0,105000,0.2991,0.9804,0.2125,33196,1,156229,0.2125,0.0000
10.50,0.3440,30734,0,105000,0.2927,0.9819,0.2125,33196,1,156229,0.2125,0.0000
11.00,0.3448,30795,0,105000,0.2933,0.9890,0.2001,31266,1,156229,0.2001,0.0000
11.50,0.3448,30795,0,105000,0.2933,0.9890,0.2001,31266,1,156229,0.2001,0.0000
12.00,0.3454,27650,0,105000,0.2633,0.9908,0.2016,31488,1,156229,0.2016,0.0000
12.50,0.3459,27701,0,105000,0.2638,0.0133,0.2016,31488,1,156229,0.2016,0.0000
13.00,0.3955,34871,0,105000,0.3321,0.9882,0.2482,38780,1,156229,0.2482,0.0000
13.50,0.3955,34871,0,105000,0.3321,0.9882,0.2264,35377,1,156229,0.2264,0.0000
14.00,0.3955,34871,0,105000,0.3321,0.9882,0.1923,30037,1,156229,0.1923,0.0000
14.50,0.3961,29584,0,105000,0.2818,0.9772,0.1923,30037,1,156229,0.1923,0.0000
15.00,0.3968,30207,0,105000,0.2877,0.9825,0.2271,35487,1,156229,0.2271,0.0000
15.50,0.3978,33703,0,105000,0.3210,0.9872,0.2271,35487,1,156229,0.2271,0.0000
16.00,0.3978,33703,0,105000,0.3210,0.9872,0.2271,35487,1,156229,0.2271,0.0000
16.50,0.3982,33036,0,105000,0.3146,0.9810,0.2148,33560,1,156229,0.2148,0.0000
17.00,0.4297,36328,0,105000,0.3460,0.9882,0.2148,33560,1,156229,0.2148,0.0000
17.50,0.4297,36328,0,105000,0.3460,0.9882,0.2148,33560,1,156229,0.2148,0.0000
18.00,0.4297,36328,0,105000,0.3460,0.9882,0.2024,31626,1,156229,0.2024,0.0000
18.50,0.4297,36328,0,105000,0.3460,0.9882,0.2027,31666,1,156229,0.2027,0.0000
19.00,0.4310,27722,0,105000,0.2640,0.0316,0.2027,31666,1,156229,0.2027,0.0000
19.50,0.4310,27722,0,105000,0.2640,0.0316,0.2009,31394,1,156229,0.2009,0.0000
20.00,0.4614,25530,0,105000,0.2431,0.9850,0.2013,31443,2,156229,0.2013,0.0000
20.50,0.4619,25583,0,105000,0.2436,0.0134,0.2013,31443,2,156229,0.2013,0.0000
21.00,0.4619,25583,0,105000,0.2436,0.0134,0.1996,31185,1,156229,0.1996,0.0000
21.50,0.5108,31270,0,105000,0.2978,0.9812,0.1996,31185,1,156229,0.1996,0.0000
22.00,0.5118,27457,0,105000,0.2615,0.9845,0.1825,28516,1,156229,0.1825,0.0000
22.50,0.5426,33910,0,105000,0.3230,0.9778,0.1825,28516,1,156229,0.1825,0.0000
