elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74290.0,30606.0,43684.0,20242.0,16860.3,6276.2,5400.2,0.0,120109.1,0.0,10124.0,135401.6,557547.2,692948.8,467812.5,1031900.8,140351.1,42
1.1,75544.0,31860.0,43684.0,20276.9,16894.8,6310.8,5434.7,0.0,120109.4,0.0,10191.2,135401.9,557600.1,693002.0,467759.6,1031900.8,140386.2,42
2.1,75544.0,31860.0,43684.0,20291.8,16908.6,6325.0,5448.4,0.0,120109.4,0.0,10207.4,135402.0,557613.8,693015.7,467745.9,1031900.8,140401.2,42
3.1,75544.0,31860.0,43684.0,20230.1,16846.9,6263.3,5386.7,0.0,120109.4,0.0,10207.9,135402.0,557612.8,693014.8,467746.9,1031900.8,140339.5,42
4.1,75544.0,31860.0,43684.0,20240.4,16857.2,6273.7,5397.1,0.0,120109.4,0.0,10208.4,135401.9,557612.0,693013.9,467747.7,1031900.8,140349.8,42
5.1,75548.0,31860.0,43688.0,20261.7,16875.7,6294.9,5415.6,0.0,120109.4,0.0,10210.9,135401.9,557615.2,693017.1,467744.5,1031900.8,140371.1,42
6.1,75548.0,31860.0,43688.0,20261.8,16875.8,6295.0,5415.7,0.0,120109.4,0.0,10211.1,135401.9,557611.1,693013.0,467748.6,1031900.8,140371.2,42
7.1,75548.0,31860.0,43688.0,20215.9,16829.9,6249.0,5369.7,0.0,120109.4,0.0,10211.3,135401.9,557612.0,693013.9,467747.7,1031900.8,140325.2,42
8.1,75548.0,31860.0,43688.0,20213.9,16827.9,6247.0,5367.8,0.0,120109.4,0.0,10209.8,135401.9,557614.8,693016.7,467745.0,1031900.8,140323.3,42
9.1,75548.0,31860.0,43688.0,20237.0,16851.0,6270.2,5390.9,0.0,120109.4,0.0,10211.4,135401.9,557619.5,693021.4,467740.2,1031900.8,140346.4,42
10.1,75552.0,31864.0,43688.0,20242.6,16855.7,6274.9,5395.6,0.0,120109.5,0.0,10212.2,135402.0,557619.6,693021.6,467740.1,1031900.8,140352.0,42
11.1,75552.0,31864.0,43688.0,20252.6,16864.0,6283.1,5403.8,0.0,120109.5,0.0,10230.7,135401.9,557634.7,693036.6,467725.0,1031900.8,140362.1,42
12.1,75552.0,31864.0,43688.0,20248.9,16860.2,6279.4,5400.1,0.0,120109.5,0.0,10231.7,135401.9,557636.6,693038.5,467723.1,1031900.8,140358.4,42
13.1,75552.0,31864.0,43688.0,20244.9,16856.3,6275.5,5396.2,0.0,120109.5,0.0,10232.3,135402.0,557645.5,693047.5,467714.2,1031900.8,140354.4,42
14.1,75552.0,31864.0,43688.0,20245.0,16856.4,6275.6,5396.2,0.0,120109.5,0.0,10232.1,135402.0,557636.8,693038.8,467722.9,1031900.8,140354.5,42
15.1,75552.0,31864.0,43688.0,20239.0,16850.4,6269.6,5390.2,0.0,120109.5,0.0,10232.5,135402.0,557637.1,693039.1,467722.6,1031900.8,140348.5,42
16.1,75552.0,31864.0,43688.0,20239.0,16850.4,6269.6,5390.3,0.0,120109.5,0.0,10233.2,135402.0,557636.2,693038.2,467723.5,1031900.8,140348.6,42
17.1,75552.0,31864.0,43688.0,20239.3,16850.6,6269.8,5390.5,0.0,120109.5,0.0,10233.2,135402.0,557638.7,693040.7,467721.1,1031900.8,140348.8,42
18.1,75552.0,31864.0,43688.0,20237.5,16848.9,6268.1,5388.7,0.0,120109.5,0.0,10233.7,135402.0,557641.8,693043.8,467717.9,1031900.8,140347.0,42
19.1,75552.0,31864.0,43688.0,20235.7,16847.1,6266.3,5387.0,0.0,120109.5,0.0,10235.0,135402.0,557644.1,693046.1,467715.6,1031900.8,140345.3,42
20.1,75552.0,31864.0,43688.0,20235.9,16847.3,6266.5,5387.1,0.0,120109.5,0.0,10234.9,135402.0,557644.2,693046.2,467715.5,1031900.8,140345.4,42
21.1,75552.0,31864.0,43688.0,20232.1,16843.4,6262.6,5383.3,0.0,120109.5,0.0,10235.1,135402.0,557643.0,693045.0,467716.7,1031900.8,140341.6,42
22.1,75552.0,31864.0,43688.0,20230.3,16841.6,6260.8,5381.5,0.0,120109.5,0.0,10235.5,135401.9,557648.7,693050.6,467711.0,1031900.8,140339.8,42
23.1,75552.0,31864.0,43688.0,20233.7,16845.1,6264.3,5384.9,0.0,120109.5,0.0,10237.2,135402.1,557650.2,693052.3,467709.5,1031900.8,140343.2,42
24.1,75552.0,31864.0,43688.0,20231.9,16843.3,6262.5,5383.2,0.0,120109.5,0.0,10237.4,135402.0,557659.1,693061.1,467700.6,1031900.8,140341.5,42
25.1,75552.0,31864.0,43688.0,20232.0,16843.3,6262.5,5383.2,0.0,120109.5,0.0,10237.8,135402.0,557661.2,693063.2,467698.5,1031900.8,140341.5,42
26.1,75552.0,31864.0,43688.0,20234.5,16845.9,6265.1,5385.7,0.0,120109.5,0.0,10237.6,135402.0,557658.6,693060.7,467701.1,1031900.8,140344.0,42
27.1,75552.0,31864.0,43688.0,20216.7,16828.1,6247.3,5368.0,0.0,120109.5,0.0,10238.2,135402.1,557658.7,693060.8,467701.0,1031900.8,140326.2,42
28.1,75552.0,31864.0,43688.0,20216.7,16828.1,6247.3,5368.0,0.0,120109.5,0.0,10238.3,135402.1,557660.0,693062.2,467699.7,1031900.8,140326.3,42
29.1,75552.0,31864.0,43688.0,20218.7,16830.1,6249.3,5370.0,0.0,120109.5,0.0,10238.3,135402.1,557654.7,693056.8,467705.0,1031900.8,140328.3,42
30.1,75552.0,31864.0,43688.0,20221.0,16832.4,6251.6,5372.2,0.0,120109.5,0.0,10241.1,135402.1,557650.4,693052.5,467709.3,1031900.8,140330.5,42
31.1,75552.0,31864.0,43688.0,20221.0,16832.4,6251.6,5372.2,0.0,120109.5,0.0,10241.6,135402.0,557652.1,693054.1,467707.6,1031900.8,140330.5,42
32.1,75552.0,31864.0,43688.0,20221.0,16832.4,6251.6,5372.2,0.0,120109.5,0.0,10241.1,135402.0,557650.3,693052.3,467709.4,1031900.8,140330.5,42
33.1,75552.0,31864.0,43688.0,20221.8,16833.2,6252.4,5373.1,0.0,120102.2,0.0,10242.5,135394.9,557652.3,693047.3,467707.4,1031900.8,140324.0,42
34.1,75552.0,31864.0,43688.0,20221.9,16833.2,6252.4,5373.1,0.0,120102.1,0.0,10242.9,135394.8,557648.9,693043.7,467710.8,1031900.8,140323.9,42
35.1,75552.0,31864.0,43688.0,20221.9,16833.2,6252.4,5373.1,0.0,120102.1,0.0,10242.5,135394.6,557656.2,693050.9,467703.5,1031900.8,140323.9,42
36.1,75552.0,31864.0,43688.0,20221.9,16833.3,6252.5,5373.1,0.0,120102.1,0.0,10243.2,135394.7,557658.2,693052.8,467701.5,1031900.8,140324.0,42
37.1,75552.0,31864.0,43688.0,20202.0,16813.3,6232.5,5353.2,0.0,120103.2,0.0,10243.2,135395.7,557658.2,693053.9,467701.5,1031900.8,140305.2,42
38.1,75552.0,31864.0,43688.0,20198.0,16809.3,6228.5,5349.2,0.0,120103.2,0.0,10242.9,135395.7,557657.1,693052.8,467702.6,1031900.8,140301.2,42
39.1,75552.0,31864.0,43688.0,20199.9,16811.3,6230.5,5351.2,0.0,120103.2,0.0,10245.4,135395.8,557660.2,693056.0,467699.5,1031900.8,140303.1,42
40.1,75552.0,31864.0,43688.0,20185.9,16797.3,6216.5,5337.2,0.0,120103.2,0.0,10245.4,135395.8,557667.5,693063.3,467692.2,1031900.8,140289.1,42
41.1,75552.0,31864.0,43688.0,20181.9,16793.3,6212.5,5333.2,0.0,120103.2,0.0,10245.1,135395.8,557660.9,693056.6,467698.8,1031900.8,140285.2,42
