t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:cache_occupancy
0.00,0.0000,0,0,105000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000
0.50,0.0000,0,0,105000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000
1.00,0.0781,8192,0,105000,0.0780,0.0000,0.0000,0,0,0,0.0000,0.0000
1.50,0.0781,8192,0,105000,0.0780,0.0000,0.0000,0,0,0,0.0000,0.0000
2.00,0.0781,8192,0,105000,0.0780,0.0000,0.0000,0,0,0,0.0000,0.0000
2.50,0.2341,24576,0,105000,0.2341,0.0000,0.0000,0,0,0,0.0000,0.0000
3.00,0.2341,24576,0,105000,0.2341,0.0000,0.0000,0,0,0,0.0000,0.0000
3.50,0.2418,25386,0,105000,0.2418,0.0050,0.0000,0,0,0,0.0000,0.0000
4.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
4.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
5.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
5.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
6.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
6.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
7.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
7.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
8.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
8.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
9.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
9.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
10.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
10.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
11.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
11.50,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
12.00,0.3198,33578,0,105000,0.3198,0.0000,0.0000,0,0,0,0.0000,0.0000
12.50,0.3979,41770,0,105000,0.3978,0.0000,0.0000,0,0,0,0.0000,0.0000
13.00,0.4759,49962,0,105000,0.4758,0.0000,0.0000,0,0,0,0.0000,0.0000
13.50,0.4759,49962,0,105000,0.4758,0.0000,0.0000,0,0,0,0.0000,0.0000
14.00,0.4830,50709,0,105000,0.4829,0.0050,0.0000,0,0,0,0.0000,0.0000
14.50,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
15.00,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
15.50,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
16.00,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
16.50,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
17.00,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
17.50,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
18.00,0.5610,58901,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
