t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0781,8192,0,105000,0.0780,0.0000,,,,,,
1.50,0.1561,16384,0,105000,0.1560,0.0000,,,,,,
2.00,0.1561,16384,0,105000,0.1560,0.0000,,,,,,
2.50,0.1561,16384,0,105000,0.1560,0.0000,,,,,,
3.00,0.2417,25378,0,105000,0.2417,0.0050,,,,,,
3.50,0.2417,25378,0,105000,0.2417,0.0050,,,,,,
4.00,0.3978,41762,0,105000,0.3977,0.0000,,,,,,
4.50,0.3978,41762,0,105000,0.3977,0.0000,,,,,,
5.00,0.4758,49954,0,105000,0.4758,0.0000,,,,,,
5.50,0.4758,49954,0,105000,0.4758,0.0000,,,,,,
6.00,0.5612,58917,0,105000,0.5611,0.0000,,,,,,
6.50,0.6392,41772,0,105000,0.3978,0.0000,,,,,,
7.00,0.6392,41772,0,105000,0.3978,0.0000,,,,,,
7.50,0.7172,49964,0,105000,0.4758,0.0000,,,,,,
8.00,0.7243,50712,0,105000,0.4830,0.0050,,,,,,
8.50,0.8023,58904,0,105000,0.5610,0.0000,,,,,,
9.00,0.8804,67096,0,105000,0.6390,0.0000,,,,,,
9.50,0.9584,75288,0,105000,0.7170,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
10.00,0.9584,75288,0,105000,0.7170,0.0000,0.8118,126824,1,156229,0.8118,0.0000
10.50,0.9655,50688,0,105000,0.4827,0.0050,0.8118,126824,1,156229,0.8118,0.0000
11.00,0.9578,58880,0,105000,0.5608,0.0000,0.8118,126824,1,156229,0.8118,0.0000
11.50,0.9578,67072,0,105000,0.6388,0.0000,0.8118,126824,1,156229,0.8118,0.0000
12.00,0.9509,75264,0,105000,0.7168,0.0000,0.8118,126824,1,156229,0.8118,0.0000
12.50,0.9509,75264,0,105000,0.7168,0.0000,0.8118,126824,1,156229,0.8118,0.0000
13.00,0.9580,76015,0,105000,0.7240,0.0050,0.8118,126824,1,156229,0.8118,0.0000
13.50,0.8800,92399,0,105000,0.8800,0.0000,0.8118,126824,1,156229,0.8118,0.0000
14.00,0.8800,92399,0,105000,0.8800,0.0000,0.8118,126824,1,156229,0.8118,0.0000
14.50,0.9580,75267,0,105000,0.7168,0.0000,0.8118,126824,1,156229,0.8118,0.0000
15.00,0.9580,75267,0,105000,0.7168,0.0000,0.8118,126824,1,156229,0.8118,0.0000
15.50,0.9579,84199,0,105000,0.8019,0.0000,0.8118,126824,1,156229,0.8118,0.0000
16.00,0.9579,92391,0,105000,0.8799,0.0000,0.8118,126824,1,156229,0.8118,0.0000
16.50,0.9579,92391,0,105000,0.8799,0.0000,0.8118,126824,1,156229,0.8118,0.0000
17.00,0.9579,100583,0,105000,0.9579,0.0000,0.8118,126824,1,156229,0.8118,0.0000
17.50,0.9579,100583,0,105000,0.9579,0.0000,0.8118,126824,1,156229,0.8118,0.0000
18.00,0.8020,84205,0,105000,0.8020,0.0000,0.8118,126824,1,156229,0.8118,0.0000
18.50,0.8800,92397,0,105000,0.8800,0.0000,0.8118,126824,1,156229,0.8118,0.0000
19.00,0.8800,92397,0,105000,0.8800,0.0000,0.8118,126824,1,156229,0.8118,0.0000
19.50,0.9580,100589,0,105000,0.9580,0.0000,0.8118,126824,1,156229,0.8118,0.0000
20.00,0.9580,100589,0,105000,0.9580,0.0000,0.8118,126824,1,156229,0.8118,0.0000
20.50,0.9580,100589,0,105000,0.9580,0.0000,0.8118,126824,1,156229,0.8118,0.0000
21.00,0.9580,100589,0,105000,0.9580,0.0000,0.8118,126824,1,156229,0.8118,0.0000
21.50,0.9582,84223,0,105000,0.8021,0.0000,0.9750,152323,1,156229,0.9750,0.0000
22.00,0.9582,92415,0,105000,0.8801,0.0000,0.9750,152323,1,156229,0.9750,0.0000
22.50,0.9582,100607,0,105000,0.9582,0.0000,0.9750,152323,1,156229,0.9750,0.0000
23.00,0.9582,100607,0,105000,0.9582,0.0000,0.9750,152323,1,156229,0.9750,0.0000
23.50,0.9582,100607,0,105000,0.9582,0.0000,0.9750,152323,1,156229,0.9750,0.0000
24.00,0.9582,100607,0,105000,0.9582,0.0000,0.9750,152323,1,156229,0.9750,0.0000
24.50,0.9582,100607,0,105000,0.9582,0.0000,0.9750,152323,1,156229,0.9750,0.0000
25.00,0.9587,84278,0,105000,0.8026,0.0000,0.9750,152323,1,156229,0.9750,0.0000
