elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,108010.0,31818.0,76192.0,20791.6,17331.0,6819.2,5865.6,0.0,159397.8,0.0,17175.0,174212.8,494705.4,668918.2,530666.3,1031900.8,180189.4,42
1.1,108418.0,32206.0,76212.0,20920.3,17290.9,6947.1,5825.5,0.0,159397.9,0.0,17221.9,174213.0,494920.4,669133.4,530451.3,1031900.8,180318.2,42
2.1,108418.0,32206.0,76212.0,20930.0,17300.2,6956.7,5834.8,0.0,159397.9,0.0,17266.3,174212.9,494944.5,669157.4,530427.2,1031900.8,180327.8,42
3.1,108418.0,32206.0,76212.0,20934.1,17304.3,6960.9,5838.9,0.0,159397.9,0.0,17329.2,174212.9,495029.3,669242.2,530342.4,1031900.8,180332.0,42
4.1,108418.0,32206.0,76212.0,20928.3,17298.5,6955.0,5833.0,0.0,159397.9,0.0,17374.9,174212.9,495066.3,669279.2,530305.4,1031900.8,180326.1,42
5.1,108420.0,32208.0,76212.0,20938.0,17307.4,6964.0,5842.0,0.0,159397.9,0.0,17433.4,174212.8,495112.0,669324.9,530259.7,1031900.8,180335.9,42
6.1,108422.0,32208.0,76214.0,20943.6,17312.9,6969.6,5847.5,0.0,159397.9,0.0,17531.0,174213.0,495216.1,669429.0,530155.7,1031900.8,180341.5,42
7.1,108422.0,32208.0,76214.0,20935.7,17305.0,6961.7,5839.5,0.0,159397.9,0.0,17568.2,174213.1,495275.0,669488.0,530096.8,1031900.8,180333.6,42
8.1,108422.0,32208.0,76214.0,20937.9,17307.1,6963.9,5841.6,0.0,159397.9,0.0,17674.0,174213.1,495361.4,669574.5,530010.3,1031900.8,180335.8,42
9.1,108422.0,32208.0,76214.0,20936.1,17305.3,6962.1,5839.9,0.0,159397.9,0.0,17408.6,174213.0,495126.0,669339.0,530245.7,1031900.8,180334.0,42
10.1,108422.0,32208.0,76214.0,20937.8,17307.0,6963.8,5841.6,0.0,159397.9,0.0,17408.8,174213.3,495106.4,669319.6,530265.4,1031900.8,180335.7,42
11.1,108422.0,32208.0,76214.0,20933.9,17303.1,6959.9,5837.6,0.0,159397.9,0.0,17409.6,174213.4,495117.0,669330.4,530254.7,1031900.8,180331.8,42
12.1,108422.0,32208.0,76214.0,20936.0,17305.2,6962.0,5839.8,0.0,159397.9,0.0,17473.4,174213.4,495180.8,669394.2,530190.9,1031900.8,180333.9,42
13.1,108422.0,32208.0,76214.0,20941.7,17310.9,6967.7,5845.5,0.0,159397.9,0.0,17506.3,174213.4,495196.2,669409.6,530175.5,1031900.8,180339.6,42
14.1,108422.0,32208.0,76214.0,20940.5,17309.7,6966.5,5844.3,0.0,159397.9,0.0,17562.2,174213.4,495260.3,669473.6,530111.4,1031900.8,180338.4,42
15.1,108424.0,32208.0,76216.0,20939.3,17308.5,6965.2,5843.0,0.0,159397.9,0.0,17600.3,174213.5,495306.8,669520.3,530064.9,1031900.8,180337.2,42
16.1,108424.0,32208.0,76216.0,20939.8,17309.0,6965.8,5843.6,0.0,159398.9,0.0,17628.3,174214.7,495319.5,669534.2,530052.2,1031900.8,180338.7,42
17.1,108424.0,32208.0,76216.0,20937.9,17307.1,6963.9,5841.7,0.0,159398.9,0.0,17647.3,174214.6,495325.8,669540.4,530045.9,1031900.8,180336.8,42
18.1,108424.0,32208.0,76216.0,20936.3,17305.5,6962.3,5840.1,0.0,159398.9,0.0,17675.3,174214.3,495367.3,669581.7,530004.4,1031900.8,180335.2,42
19.1,108424.0,32208.0,76216.0,20940.4,17309.6,6966.4,5844.2,0.0,159398.9,0.0,17179.8,174214.6,494864.2,669078.8,530507.5,1031900.8,180339.4,42
20.1,108424.0,32208.0,76216.0,20920.5,17289.7,6946.5,5824.2,0.0,159398.9,0.0,17268.9,174214.4,494951.0,669165.4,530420.8,1031900.8,180319.4,42
21.1,108424.0,32208.0,76216.0,20920.5,17289.7,6946.5,5824.2,0.0,159398.9,0.0,17314.6,174214.3,494989.5,669203.8,530382.2,1031900.8,180319.4,42
22.1,108424.0,32208.0,76216.0,20920.5,17289.7,6946.5,5824.3,0.0,159399.0,0.0,17362.6,174214.3,495044.7,669259.0,530327.0,1031900.8,180319.5,42
23.1,108424.0,32208.0,76216.0,20920.5,17289.7,6946.5,5824.3,0.0,159399.0,0.0,16913.3,174214.5,494621.1,668835.6,530750.6,1031900.8,180319.5,42
24.1,108424.0,32208.0,76216.0,20920.5,17289.7,6946.5,5824.3,0.0,159399.0,0.0,17000.8,174214.6,494758.3,668972.9,530613.4,1031900.8,180319.5,42
25.1,108424.0,32208.0,76216.0,20920.5,17289.7,6946.5,5824.3,0.0,159399.0,0.0,17148.1,174214.4,494835.2,669049.7,530536.5,1031900.8,180319.5,42
26.1,108424.0,32208.0,76216.0,20920.6,17289.8,6946.6,5824.4,0.0,159399.0,0.0,17239.5,174214.4,494949.1,669163.6,530422.6,1031900.8,180319.6,42
27.1,108424.0,32208.0,76216.0,20920.7,17289.9,6946.7,5824.4,0.0,159399.0,0.0,17304.3,174214.6,494996.0,669210.6,530375.8,1031900.8,180319.7,42
28.1,108424.0,32208.0,76216.0,20918.7,17287.9,6944.7,5822.5,0.0,159399.0,0.0,17462.2,174214.6,495147.6,669362.2,530224.1,1031900.8,180317.7,42
29.1,108424.0,32208.0,76216.0,20921.5,17288.1,6947.5,5822.6,0.0,159399.0,0.0,17626.1,174214.4,495297.2,669511.6,530074.6,1031900.8,180320.5,42
30.1,108424.0,32208.0,76216.0,20903.8,17270.4,6929.8,5804.9,0.0,159399.0,0.0,17488.5,174214.5,495170.2,669384.7,530201.5,1031900.8,180302.8,42
31.1,108424.0,32208.0,76216.0,20900.2,17266.8,6926.1,5801.3,0.0,159399.0,0.0,17493.3,174214.7,495183.9,669398.5,530187.9,1031900.8,180299.2,42
32.1,108424.0,32208.0,76216.0,20877.6,17244.2,6903.5,5778.7,0.0,159399.0,0.0,17499.9,174214.8,495187.4,669402.2,530184.3,1031900.8,180276.6,42
33.1,108426.0,32210.0,76216.0,20879.7,17246.3,6905.7,5780.9,0.0,159399.0,0.0,17500.7,174214.5,495198.2,669412.7,530173.5,1031900.8,180278.8,42
34.1,108426.0,32210.0,76216.0,20880.1,17246.7,6906.0,5781.2,0.0,159399.0,0.0,17509.8,174214.4,495188.3,669402.7,530183.4,1031900.8,180279.1,42
35.1,108426.0,32210.0,76216.0,20778.1,17144.7,6804.0,5679.2,0.0,159399.0,0.0,17565.3,174214.5,495245.9,669460.4,530125.8,1031900.8,180177.1,42
