elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,75124.0,31440.0,43684.0,36522.5,33170.8,22549.1,21702.6,0.0,158286.2,0.0,32787.3,173055.1,510330.8,683385.9,515040.9,1031900.8,194808.7,42
1.1,75574.0,31890.0,43684.0,36572.5,33204.0,22598.7,21735.8,0.0,158286.2,0.0,32833.5,173055.1,510406.6,683461.6,514965.2,1031900.8,194858.7,42
2.1,75574.0,31890.0,43684.0,36570.6,33202.1,22596.9,21733.9,0.0,158286.2,0.0,32833.6,173055.1,510404.6,683459.7,514967.1,1031900.8,194856.8,42
3.1,75576.0,31892.0,43684.0,36572.4,33203.9,22598.3,21735.6,0.0,158286.2,0.0,32888.9,173055.1,510441.7,683496.8,514930.0,1031900.8,194858.6,42
4.1,75576.0,31892.0,43684.0,36592.6,33223.2,22618.2,21755.0,0.0,157968.2,0.0,32934.2,172738.1,510899.6,683637.6,514472.2,1031900.8,194560.8,42
5.1,75576.0,31892.0,43684.0,36592.7,33223.3,22618.3,21755.1,0.0,157968.2,0.0,32934.4,172738.1,510928.5,683666.6,514443.2,1031900.8,194560.9,42
6.1,75576.0,31892.0,43684.0,36586.8,33217.4,22612.4,21749.2,0.0,157968.2,0.0,32962.0,172738.1,510901.7,683639.8,514470.0,1031900.8,194555.0,42
7.1,75576.0,31892.0,43684.0,36571.1,33201.7,22596.7,21733.5,0.0,157578.2,0.0,32864.8,172350.4,511225.3,683575.7,514146.5,1031900.8,194149.3,42
8.1,75576.0,31892.0,43684.0,36569.2,33199.8,22594.8,21731.5,0.0,157578.2,0.0,32864.1,172350.5,511223.7,683574.2,514148.0,1031900.8,194147.4,42
9.1,75576.0,31892.0,43684.0,36569.2,33199.8,22594.8,21731.6,0.0,157578.2,0.0,32865.2,172350.5,511250.8,683601.3,514120.9,1031900.8,194147.4,42
10.1,75576.0,31892.0,43684.0,36582.6,33213.1,22608.2,21744.9,0.0,157578.2,0.0,32892.5,172350.6,511272.4,683623.0,514099.3,1031900.8,194160.8,42
11.1,75576.0,31892.0,43684.0,36532.6,33163.1,22558.2,21694.9,0.0,156703.4,0.0,32945.5,171482.1,512164.9,683647.0,513206.8,1031900.8,193236.1,42
12.1,75576.0,31892.0,43684.0,36506.7,33137.1,22532.2,21668.9,0.0,156703.4,0.0,32991.0,171482.1,512200.8,683683.0,513170.9,1031900.8,193210.1,42
13.1,75576.0,31892.0,43684.0,36545.2,33175.7,22570.8,21707.5,0.0,156703.4,0.0,32946.1,171482.1,512158.5,683640.6,513213.2,1031900.8,193248.7,42
14.1,75576.0,31892.0,43684.0,36425.2,33055.7,22450.8,21587.5,0.0,156703.4,0.0,32980.8,171482.1,512289.8,683771.9,513081.9,1031900.8,193128.7,42
15.1,75576.0,31892.0,43684.0,36349.8,32980.3,22375.4,21512.0,0.0,156349.8,0.0,32916.1,171131.2,512538.7,683669.9,512829.0,1031900.8,192699.6,42
16.1,75576.0,31892.0,43684.0,36263.9,32894.3,22289.4,21426.1,0.0,155554.7,0.0,32943.6,170342.0,513327.6,683669.5,512044.2,1031900.8,191818.6,42
17.1,75576.0,31892.0,43684.0,36264.3,32893.9,22289.0,21425.7,0.0,155554.7,0.0,33013.2,170341.8,513356.1,683697.9,512015.6,1031900.8,191819.0,42
18.1,75576.0,31892.0,43684.0,36271.8,32901.4,22296.5,21433.2,0.0,155554.7,0.0,32908.0,170341.8,513263.7,683605.5,512108.0,1031900.8,191826.5,42
19.1,75576.0,31892.0,43684.0,36270.2,32899.8,22295.0,21431.6,0.0,155554.7,0.0,32914.5,170341.8,513254.7,683596.4,512117.1,1031900.8,191824.9,42
20.1,75576.0,31892.0,43684.0,36268.5,32898.1,22293.2,21429.9,0.0,155554.7,0.0,32914.7,170341.9,513263.7,683605.6,512108.0,1031900.8,191823.2,42
