t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0608,6383,0,105000,0.0608,0.0000,,,,,,
1.00,0.1216,12768,0,105000,0.1216,0.0000,,,,,,
1.50,0.1216,12768,0,105000,0.1216,0.0000,,,,,,
2.00,0.2776,29152,0,105000,0.2776,0.0000,,,,,,
2.50,0.2949,30961,0,105000,0.2949,0.0000,,,,,,
3.00,0.3729,39153,0,105000,0.3729,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
3.50,0.3729,39153,0,105000,0.3729,0.0000,0.1896,38294,1,202000,0.1896,0.0000
4.00,0.3729,39153,0,105000,0.3729,0.0000,0.1896,38294,1,202000,0.1896,0.0000
4.50,0.3729,39153,0,105000,0.3729,0.0000,0.1896,38294,1,202000,0.1896,0.0000
5.00,0.3729,39153,0,105000,0.3729,0.0000,0.1896,38294,1,202000,0.1896,0.0000
5.50,0.2429,25509,0,105000,0.2429,0.0000,0.1896,38294,1,202000,0.1896,0.0000
6.00,0.2429,25509,0,105000,0.2429,0.0000,0.1581,31934,1,202000,0.1581,0.0000
6.50,0.2429,25509,0,105000,0.2429,0.0000,0.1581,31934,1,202000,0.1581,0.0000
7.00,0.2434,25557,0,105000,0.2434,0.0000,0.1581,31934,1,202000,0.1581,0.0000
7.50,0.2438,25601,0,105000,0.2438,0.0000,0.1581,31934,1,202000,0.1581,0.0000
8.00,0.2438,25601,0,105000,0.2438,0.0000,0.1269,25624,1,202000,0.1269,0.0000
8.50,0.2440,25624,0,105000,0.2440,0.0000,0.1269,25624,1,202000,0.1269,0.0000
9.00,0.2440,25624,0,105000,0.2440,0.0000,0.1269,25624,1,202000,0.1269,0.0000
9.50,0.2447,25689,0,105000,0.2447,0.0000,0.1269,25624,1,202000,0.1269,0.0000
10.00,0.2447,25689,0,105000,0.2447,0.0000,0.1269,25624,1,202000,0.1269,0.0000
10.50,0.2445,25675,0,105000,0.2445,0.0000,0.1589,32092,1,202000,0.1589,0.0000
11.00,0.2444,25665,0,105000,0.2444,0.0000,0.1589,32092,1,202000,0.1589,0.0000
11.50,0.2444,25665,0,105000,0.2444,0.0000,0.1589,32092,1,202000,0.1589,0.0000
12.00,0.2445,25676,0,105000,0.2445,0.0000,0.1589,32092,1,202000,0.1589,0.0000
12.50,0.2445,25676,0,105000,0.2445,0.0000,0.1270,25645,1,202000,0.1270,0.0000
13.00,0.2442,25645,0,105000,0.2442,0.0000,0.1270,25645,1,202000,0.1270,0.0000
13.50,0.2442,25645,0,105000,0.2442,0.0000,0.1270,25645,1,202000,0.1270,0.0000
14.00,0.2447,25695,0,105000,0.2447,0.0000,0.1270,25645,1,202000,0.1270,0.0000
14.50,0.2452,25741,0,105000,0.2452,0.0000,0.1270,25645,1,202000,0.1270,0.0000
15.00,0.2452,25741,0,105000,0.2452,0.0000,0.1594,32200,1,202000,0.1594,0.0000
15.50,0.2454,25766,0,105000,0.2454,0.0000,0.1594,32200,1,202000,0.1594,0.0000
16.00,0.2454,25766,0,105000,0.2454,0.0000,0.1594,32200,1,202000,0.1594,0.0000
16.50,0.2460,25833,0,105000,0.2460,0.0000,0.1594,32200,1,202000,0.1594,0.0000
17.00,0.2460,25833,0,105000,0.2460,0.0000,0.1278,25819,1,202000,0.1278,0.0000
17.50,0.1844,19364,0,105000,0.1844,0.0000,0.1278,25819,1,202000,0.1278,0.0000
18.00,0.1844,19364,0,105000,0.1844,0.0000,0.1278,25819,1,202000,0.1278,0.0000
18.50,0.1844,19358,0,105000,0.1844,0.0000,0.1278,25819,1,202000,0.1278,0.0000
19.00,0.2459,25820,0,105000,0.2459,0.0000,0.1598,32271,1,202000,0.1598,0.0000
19.50,0.2459,25820,0,105000,0.2459,0.0000,0.1598,32271,1,202000,0.1598,0.0000
20.00,0.2456,25789,0,105000,0.2456,0.0000,0.1598,32271,1,202000,0.1598,0.0000
20.50,0.2461,25838,0,105000,0.2461,0.0000,0.1598,32271,1,202000,0.1598,0.0000
21.00,0.2461,25838,0,105000,0.2461,0.0000,0.1281,25883,1,202000,0.1281,0.0000
21.50,0.2465,25883,0,105000,0.2465,0.0000,0.1281,25883,1,202000,0.1281,0.0000
22.00,0.2465,25883,0,105000,0.2465,0.0000,0.1281,25883,1,202000,0.1281,0.0000
22.50,0.2467,25907,0,105000,0.2467,0.0000,0.1281,25883,1,202000,0.1281,0.0000
23.00,0.2467,25907,0,105000,0.2467,0.0000,0.1281,25883,1,202000,0.1281,0.0000
