elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74320.0,30636.0,43684.0,35633.1,32279.3,22193.0,21345.8,0.0,217539.8,0.0,34550.8,231888.8,453828.8,685717.6,571542.9,1031900.8,253172.9,42
1.1,74320.0,30636.0,43684.0,35633.2,32279.4,22193.1,21345.9,0.0,216240.5,0.0,35393.0,230589.6,454692.6,685282.2,570679.1,1031900.8,251873.8,42
2.1,74320.0,30636.0,43684.0,35633.3,32279.5,22193.2,21346.0,0.0,216240.5,0.0,35975.0,230589.6,455288.8,685878.5,570082.9,1031900.8,251873.8,42
3.1,74324.0,30640.0,43684.0,35675.3,32319.7,22233.9,21386.2,0.0,215981.3,0.0,35401.0,230330.4,454709.4,685039.8,570662.3,1031900.8,251656.6,42
4.1,74324.0,30640.0,43684.0,35661.5,32305.9,22220.1,21372.4,0.0,215979.8,0.0,35402.1,230328.9,454708.6,685037.6,570663.1,1031900.8,251641.3,42
5.1,74326.0,30642.0,43684.0,35634.8,32278.2,22192.7,21344.7,0.0,215981.3,0.0,35416.7,230330.4,454710.9,685041.3,570660.8,1031900.8,251616.0,42
6.1,74326.0,30642.0,43684.0,35629.0,32272.4,22186.9,21338.9,0.0,215981.6,0.0,35418.7,230330.7,454728.1,685058.8,570643.6,1031900.8,251610.6,42
7.1,74326.0,30642.0,43684.0,35629.0,32272.4,22186.9,21339.0,0.0,215981.6,0.0,35418.4,230330.7,454815.3,685146.1,570556.4,1031900.8,251610.7,42
8.1,74398.0,30714.0,43684.0,35593.2,32236.6,22151.1,21303.2,0.0,215981.6,0.0,35243.8,230330.7,454570.5,684901.2,570801.2,1031900.8,251574.8,42
9.1,74398.0,30714.0,43684.0,35630.1,32273.4,22188.0,21340.0,0.0,215981.7,0.0,35418.8,230330.8,454748.9,685079.7,570622.9,1031900.8,251611.8,42
10.1,74398.0,30714.0,43684.0,35646.3,32289.6,22204.1,21356.1,0.0,215981.7,0.0,35469.7,230331.0,454870.2,685201.2,570501.5,1031900.8,251628.0,42
11.1,74398.0,30714.0,43684.0,35390.3,32033.6,21948.2,21100.2,0.0,215981.7,0.0,35470.6,230331.0,454873.7,685204.7,570498.0,1031900.8,251372.0,42
12.1,74398.0,30714.0,43684.0,35390.3,32033.6,21948.2,21100.2,0.0,215981.7,0.0,35470.3,230331.0,454864.6,685195.6,570507.1,1031900.8,251372.0,42
13.1,74398.0,30714.0,43684.0,35140.5,31783.8,21698.4,20850.4,0.0,215981.7,0.0,35478.8,230331.2,454951.5,685282.8,570420.2,1031900.8,251122.2,42
14.1,74398.0,30714.0,43684.0,35140.6,31783.9,21698.5,20850.4,0.0,215981.7,0.0,35507.0,230331.1,454959.8,685290.9,570411.9,1031900.8,251122.3,42
15.1,74398.0,30714.0,43684.0,35143.9,31787.2,21701.8,20853.8,0.0,215981.7,0.0,35424.6,230330.9,454892.5,685223.4,570479.3,1031900.8,251125.6,42
16.1,74400.0,30716.0,43684.0,34903.2,31546.5,21461.0,20613.0,0.0,215981.7,0.0,35433.6,230331.2,454950.3,685281.6,570421.4,1031900.8,250884.9,42
17.1,74400.0,30716.0,43684.0,34901.2,31544.5,21459.1,20611.0,0.0,215981.7,0.0,35454.5,230331.4,454986.9,685318.3,570384.8,1031900.8,250882.9,42
18.1,74400.0,30716.0,43684.0,34921.5,31564.8,21479.3,20631.3,0.0,215981.7,0.0,35510.7,230331.3,455096.9,685428.2,570274.8,1031900.8,250903.2,42
19.1,74400.0,30716.0,43684.0,34665.6,31308.9,21223.5,20375.5,0.0,215981.7,0.0,35512.3,230331.4,455162.5,685493.9,570209.3,1031900.8,250647.3,42
