elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74290.0,30606.0,43684.0,20798.7,17446.1,6822.9,5973.9,0.0,218235.6,0.0,18498.6,232620.9,437734.7,670355.6,587637.0,1031900.8,239034.2,42
1.1,74290.0,30606.0,43684.0,20794.8,17442.1,6819.0,5970.0,0.0,218879.4,0.0,19175.8,233267.7,438454.0,671721.7,586917.7,1031900.8,239674.1,42
2.1,74290.0,30606.0,43684.0,20798.9,17446.2,6823.1,5974.1,0.0,218879.4,0.0,19705.9,233267.7,438980.2,672247.9,586391.5,1031900.8,239678.2,42
3.1,74294.0,30610.0,43684.0,20832.6,17478.3,6855.6,6006.2,0.0,218881.4,0.0,19196.9,233269.8,438495.3,671765.1,586876.4,1031900.8,239714.1,42
4.1,74294.0,30610.0,43684.0,20832.9,17478.6,6855.8,6006.5,0.0,218881.6,0.0,19279.4,233269.9,438557.8,671827.7,586813.9,1031900.8,239714.5,42
5.1,74314.0,30630.0,43684.0,20833.7,17479.2,6856.5,6007.1,0.0,218881.6,0.0,19389.7,233269.9,438700.9,671970.8,586670.8,1031900.8,239715.3,42
6.1,74314.0,30630.0,43684.0,20833.8,17479.3,6856.6,6007.2,0.0,218881.6,0.0,19395.8,233269.9,438694.6,671964.5,586677.1,1031900.8,239715.4,42
7.1,74314.0,30630.0,43684.0,20829.9,17475.4,6852.8,6003.3,0.0,218881.6,0.0,19276.4,233269.9,438594.3,671864.2,586777.4,1031900.8,239711.5,42
8.1,74314.0,30630.0,43684.0,20826.0,17471.5,6848.8,5999.4,0.0,218881.6,0.0,19276.5,233270.0,438560.6,671830.5,586811.1,1031900.8,239707.6,42
9.1,74368.0,30684.0,43684.0,20834.5,17479.9,6857.2,6007.8,0.0,218881.6,0.0,19276.6,233269.9,438565.0,671834.9,586806.7,1031900.8,239716.1,42
10.1,74368.0,30684.0,43684.0,20834.5,17479.9,6857.2,6007.8,0.0,218881.6,0.0,19276.9,233270.0,438540.0,671809.9,586831.7,1031900.8,239716.1,42
11.1,74368.0,30684.0,43684.0,20834.5,17479.9,6857.3,6007.8,0.0,218881.6,0.0,19277.0,233269.9,438554.4,671824.3,586817.3,1031900.8,239716.1,42
12.1,74368.0,30684.0,43684.0,20834.5,17480.0,6857.3,6007.9,0.0,218881.6,0.0,19277.0,233270.0,438558.8,671828.7,586813.0,1031900.8,239716.2,42
13.1,74368.0,30684.0,43684.0,20834.7,17480.1,6857.5,6008.0,0.0,218881.7,0.0,19279.2,233269.9,438574.5,671844.5,586797.2,1031900.8,239716.4,42
14.1,74468.0,30784.0,43684.0,20834.8,17480.2,6857.5,6008.1,0.0,218881.7,0.0,19133.0,233270.0,438409.0,671679.0,586962.8,1031900.8,239716.4,42
15.1,74470.0,30786.0,43684.0,20825.2,17470.6,6847.9,5998.5,0.0,218881.7,0.0,19099.8,233270.1,438366.1,671636.2,587005.6,1031900.8,239706.9,42
16.1,74470.0,30786.0,43684.0,20815.2,17460.6,6838.0,5988.5,0.0,218881.7,0.0,18888.0,233270.2,438164.1,671434.3,587207.6,1031900.8,239696.9,42
17.1,74470.0,30786.0,43684.0,20803.3,17448.7,6826.0,5976.6,0.0,218881.7,0.0,18897.3,233270.1,438181.2,671451.3,587190.5,1031900.8,239685.0,42
18.1,74470.0,30786.0,43684.0,20803.3,17448.7,6826.1,5976.6,0.0,218881.7,0.0,18897.3,233270.2,438183.4,671453.6,587188.3,1031900.8,239685.0,42
19.1,74470.0,30786.0,43684.0,20793.3,17438.7,6816.1,5966.6,0.0,218881.7,0.0,18945.9,233270.2,438255.5,671525.7,587116.2,1031900.8,239675.0,42
20.1,74564.0,30880.0,43684.0,20801.4,17446.8,6824.1,5974.7,0.0,218881.7,0.0,18690.9,233270.2,437998.0,671268.2,587373.8,1031900.8,239683.0,42
