t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
3.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
3.50,0.0000,0,0,105000,0.0000,0.0000,0.0005,107,1,202000,0.0005,0.0000
4.00,0.0000,0,0,105000,0.0000,0.0000,0.0007,147,1,202000,0.0007,0.0000
4.50,0.0000,0,0,105000,0.0000,0.0000,0.0009,187,1,202000,0.0009,0.0000
5.00,0.0008,36,0,105000,0.0003,0.2727,0.0011,227,1,202000,0.0011,0.0000
5.50,0.0008,36,0,105000,0.0003,0.2727,0.0021,424,2,202000,0.0021,0.0000
6.00,0.0008,36,0,105000,0.0003,0.2727,0.0029,584,2,202000,0.0029,0.0000
6.50,0.0008,36,0,105000,0.0003,0.2727,0.0033,664,2,202000,0.0033,0.0000
7.00,0.0008,36,0,105000,0.0003,0.2727,0.0037,744,2,202000,0.0037,0.0000
7.50,0.0008,36,0,105000,0.0003,0.2727,0.0041,824,2,202000,0.0041,0.0000
8.00,0.0008,36,0,105000,0.0003,0.2727,0.0045,904,2,202000,0.0045,0.0000
8.50,0.0008,36,0,105000,0.0003,0.2727,0.0049,984,2,202000,0.0049,0.0000
9.00,0.0017,75,0,105000,0.0007,0.1185,0.0057,1157,2,202000,0.0057,0.0000
9.50,0.0070,132,0,105000,0.0013,0.2312,0.0061,1237,2,202000,0.0061,0.0000
10.00,0.0070,132,0,105000,0.0013,0.2312,0.0064,1301,2,202000,0.0064,0.0000
10.50,0.0070,132,0,105000,0.0013,0.2312,0.0068,1381,2,202000,0.0068,0.0000
11.00,0.0070,132,0,105000,0.0013,0.2312,0.0072,1461,2,202000,0.0072,0.0000
11.50,0.0070,132,0,105000,0.0013,0.2312,0.0076,1541,2,202000,0.0076,0.0000
12.00,0.0070,132,0,105000,0.0013,0.2312,0.0084,1701,2,202000,0.0084,0.0000
12.50,0.0113,45,0,105000,0.0004,0.6316,0.0088,1781,2,202000,0.0088,0.0000
13.00,0.0113,45,0,105000,0.0004,0.6316,0.0100,2021,4,202000,0.0100,0.0000
13.50,0.0113,45,0,105000,0.0004,0.6316,0.0108,2181,4,202000,0.0108,0.0000
14.00,0.0113,45,0,105000,0.0004,0.6316,0.0116,2341,4,202000,0.0116,0.0000
14.50,0.0115,633,0,105000,0.0060,0.5396,0.0124,2501,4,202000,0.0124,0.0000
15.00,0.0115,633,0,105000,0.0060,0.5396,0.0132,2674,3,202000,0.0132,0.0000
15.50,0.0166,571,0,105000,0.0054,0.5210,0.0147,2965,3,202000,0.0147,0.0000
16.00,0.0166,571,0,105000,0.0054,0.5210,0.0154,3103,4,202000,0.0154,0.0000
16.50,0.0166,571,0,105000,0.0054,0.5210,0.0162,3263,4,202000,0.0162,0.0000
17.00,0.0166,571,0,105000,0.0054,0.5210,0.0169,3423,4,202000,0.0169,0.0000
17.50,0.0216,45,0,105000,0.0004,0.0898,0.0177,3583,4,202000,0.0177,0.0000
18.00,0.0216,45,0,105000,0.0004,0.0898,0.0185,3733,4,202000,0.0185,0.0000
18.50,0.0259,57,0,105000,0.0005,0.0971,0.0193,3893,4,202000,0.0193,0.0000
19.00,0.0259,57,0,105000,0.0005,0.0971,0.0208,4200,4,202000,0.0208,0.0000
19.50,0.0259,57,0,105000,0.0005,0.0971,0.0216,4360,4,202000,0.0216,0.0000
20.00,0.0259,57,0,105000,0.0005,0.0971,0.0224,4520,4,202000,0.0224,0.0000
20.50,0.0310,1173,0,105000,0.0112,0.6876,0.0234,4717,3,202000,0.0234,0.0000
21.00,0.0310,1173,0,105000,0.0112,0.6876,0.0239,4837,3,202000,0.0239,0.0000
21.50,0.0361,1096,0,105000,0.0104,0.6761,0.0247,4993,4,202000,0.0247,0.0000
22.00,0.0361,1096,0,105000,0.0104,0.6761,0.0254,5140,3,202000,0.0254,0.0000
22.50,0.0361,1096,0,105000,0.0104,0.6761,0.0261,5281,4,202000,0.0261,0.0000
23.00,0.0361,1096,0,105000,0.0104,0.6761,0.0277,5601,4,202000,0.0277,0.0000
23.50,0.0411,501,0,105000,0.0048,0.4883,0.0285,5761,3,202000,0.0285,0.0000
