t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
3.00,0.0000,0,0,105000,0.0000,0.0000,0.0007,107,1,156229,0.0007,0.0000
3.50,0.0000,0,0,105000,0.0000,0.0000,0.0009,147,1,156229,0.0009,0.0000
4.00,0.0000,0,0,105000,0.0000,0.0000,0.0015,227,1,156229,0.0015,0.0000
4.50,0.0008,36,0,105000,0.0003,0.2727,0.0015,227,1,156229,0.0015,0.0000
5.00,0.0008,36,0,105000,0.0003,0.2727,0.0032,506,2,156229,0.0032,0.0000
5.50,0.0008,36,0,105000,0.0003,0.2727,0.0038,586,2,156229,0.0038,0.0000
6.00,0.0008,36,0,105000,0.0003,0.2727,0.0043,666,2,156229,0.0043,0.0000
6.50,0.0008,36,0,105000,0.0003,0.2727,0.0048,746,2,156229,0.0048,0.0000
7.00,0.0008,36,0,105000,0.0003,0.2727,0.0053,826,2,156229,0.0053,0.0000
7.50,0.0008,36,0,105000,0.0003,0.2727,0.0058,906,2,156229,0.0058,0.0000
8.00,0.0017,75,0,105000,0.0007,0.1185,0.0031,479,2,156229,0.0031,0.0000
8.50,0.0017,75,0,105000,0.0007,0.1185,0.0074,1163,2,156229,0.0074,0.0000
9.00,0.0070,132,0,105000,0.0013,0.2312,0.0044,684,2,156229,0.0044,0.0000
9.50,0.0070,132,0,105000,0.0013,0.2312,0.0084,1313,2,156229,0.0084,0.0000
10.00,0.0070,132,0,105000,0.0013,0.2312,0.0089,1393,2,156229,0.0089,0.0000
10.50,0.0070,132,0,105000,0.0013,0.2312,0.0094,1473,2,156229,0.0094,0.0000
11.00,0.0070,132,0,105000,0.0013,0.2312,0.0099,1553,2,156229,0.0099,0.0000
11.50,0.0070,132,0,105000,0.0013,0.2312,0.0110,1713,2,156229,0.0110,0.0000
12.00,0.0113,36,0,105000,0.0003,0.6316,0.0115,1793,2,156229,0.0115,0.0000
12.50,0.0113,36,0,105000,0.0003,0.6316,0.0131,2039,4,156229,0.0131,0.0000
13.00,0.0113,36,0,105000,0.0003,0.6316,0.0141,2199,4,156229,0.0141,0.0000
13.50,0.0115,633,0,105000,0.0060,0.5744,0.0152,2377,3,156229,0.0152,0.0000
14.00,0.0115,633,0,105000,0.0060,0.5744,0.0161,2517,4,156229,0.0161,0.0000
14.50,0.0115,633,0,105000,0.0060,0.5744,0.0171,2677,4,156229,0.0171,0.0000
15.00,0.0159,571,0,105000,0.0054,0.5210,0.0191,2984,3,156229,0.0191,0.0000
15.50,0.0159,571,0,105000,0.0054,0.5210,0.0201,3140,4,156229,0.0201,0.0000
16.00,0.0159,571,0,105000,0.0054,0.5210,0.0211,3300,4,156229,0.0211,0.0000
16.50,0.0159,571,0,105000,0.0054,0.5210,0.0221,3460,4,156229,0.0221,0.0000
17.00,0.0209,45,0,105000,0.0004,0.0898,0.0232,3620,4,156229,0.0232,0.0000
17.50,0.0209,45,0,105000,0.0004,0.0898,0.0242,3783,4,156229,0.0242,0.0000
18.00,0.0253,57,0,105000,0.0005,0.0971,0.0252,3943,4,156229,0.0252,0.0000
18.50,0.0253,57,0,105000,0.0005,0.0971,0.0262,4098,4,156229,0.0262,0.0000
19.00,0.0253,57,0,105000,0.0005,0.0971,0.0283,4418,4,156229,0.0283,0.0000
19.50,0.0303,1102,0,105000,0.0105,0.6679,0.0294,4586,3,156229,0.0294,0.0000
20.00,0.0303,1102,0,105000,0.0105,0.6679,0.0304,4742,4,156229,0.0304,0.0000
20.50,0.0303,1102,0,105000,0.0105,0.6679,0.0314,4902,4,156229,0.0314,0.0000
21.00,0.0355,1096,0,105000,0.0104,0.6761,0.0325,5071,3,156229,0.0325,0.0000
21.50,0.0355,1096,0,105000,0.0104,0.6761,0.0333,5197,4,156229,0.0333,0.0000
22.00,0.0355,1096,0,105000,0.0104,0.6761,0.0343,5357,4,156229,0.0343,0.0000
22.50,0.0355,1096,0,105000,0.0104,0.6761,0.0353,5517,4,156229,0.0353,0.0000
23.00,0.0405,501,0,105000,0.0048,0.4883,0.0363,5677,4,156229,0.0363,0.0000
23.50,0.0405,501,0,105000,0.0048,0.4883,0.0373,5821,3,156229,0.0373,0.0000
