elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,101018.0,30606.0,70412.0,20426.7,16969.1,6417.6,5463.7,0.0,186847.8,0.0,19531.1,201403.1,468165.4,669568.6,557206.3,1031900.8,207274.5,42
1.1,101018.0,30606.0,70412.0,20370.8,16913.2,6361.7,5407.8,0.0,186847.8,0.0,20567.2,201403.2,469203.4,670606.6,556168.3,1031900.8,207218.6,42
2.1,101040.0,30628.0,70412.0,20374.9,16917.3,6365.8,5411.8,0.0,186847.8,0.0,21073.6,201403.2,469716.1,671119.3,555655.6,1031900.8,207222.6,42
3.1,101446.0,31034.0,70412.0,20593.9,17030.3,6582.9,5524.9,0.0,186847.8,0.0,20227.9,201403.2,468991.8,670394.9,556379.5,1031900.8,207441.7,42
4.1,101446.0,31034.0,70412.0,20590.1,17026.5,6579.1,5521.1,0.0,186847.8,0.0,20228.6,201403.2,468982.4,670385.5,556389.4,1031900.8,207437.9,42
5.1,101446.0,31034.0,70412.0,20590.2,17026.6,6579.2,5521.2,0.0,186847.8,0.0,20228.5,201403.2,469013.7,670416.9,556358.0,1031900.8,207438.0,42
6.1,101446.0,31034.0,70412.0,20592.5,17028.9,6581.5,5523.5,0.0,186847.8,0.0,20229.5,201403.1,468960.5,670363.6,556411.2,1031900.8,207440.3,42
7.1,101446.0,31034.0,70412.0,20592.7,17029.1,6581.7,5523.7,0.0,186847.8,0.0,20048.1,201403.3,468815.8,670219.1,556555.9,1031900.8,207440.5,42
8.1,101536.0,31104.0,70432.0,20670.9,17043.2,6659.9,5537.8,0.0,186847.8,0.0,20060.8,201403.2,468895.6,670298.8,556476.1,1031900.8,207518.7,42
9.1,101536.0,31104.0,70432.0,20665.2,17037.5,6654.1,5532.0,0.0,186847.8,0.0,20061.7,201403.3,468879.0,670282.3,556492.7,1031900.8,207513.0,42
10.1,101536.0,31104.0,70432.0,20665.2,17037.5,6654.2,5532.1,0.0,186847.8,0.0,20061.8,201403.2,468867.4,670270.6,556504.3,1031900.8,207513.0,42
11.1,101536.0,31104.0,70432.0,20665.3,17037.6,6654.3,5532.1,0.0,186847.8,0.0,20062.3,201403.3,468884.5,670287.8,556487.2,1031900.8,207513.1,42
12.1,101572.0,31140.0,70432.0,20657.7,17029.7,6646.7,5524.3,0.0,186847.8,0.0,20062.1,201403.4,468877.4,670280.8,556494.4,1031900.8,207505.5,42
13.1,101572.0,31140.0,70432.0,20657.8,17029.8,6646.8,5524.4,0.0,186847.8,0.0,20107.8,201403.4,468941.3,670344.6,556430.4,1031900.8,207505.6,42
14.1,101574.0,31142.0,70432.0,20661.3,17033.3,6650.3,5527.9,0.0,186847.8,0.0,20071.0,201403.4,468903.1,670306.5,556468.6,1031900.8,207509.1,42
15.1,101574.0,31142.0,70432.0,20659.6,17031.5,6648.5,5526.1,0.0,186847.8,0.0,20130.9,201403.6,468956.4,670360.1,556415.3,1031900.8,207507.4,42
16.1,101574.0,31142.0,70432.0,20659.6,17031.6,6648.6,5526.1,0.0,186847.8,0.0,20149.9,201403.5,468976.4,670379.8,556395.4,1031900.8,207507.4,42
17.1,101574.0,31142.0,70432.0,20629.8,17001.7,6618.8,5496.3,0.0,186847.8,0.0,20149.5,201403.7,468971.3,670375.0,556400.4,1031900.8,207477.6,42
18.1,101622.0,31190.0,70432.0,20626.0,16997.9,6615.0,5492.5,0.0,186847.8,0.0,19802.2,201403.4,468606.0,670009.4,556765.7,1031900.8,207473.9,42
19.1,101624.0,31192.0,70432.0,20626.3,16998.2,6615.3,5492.8,0.0,186847.8,0.0,20072.3,201403.7,468913.9,670317.5,556457.9,1031900.8,207474.2,42
20.1,101624.0,31192.0,70432.0,20628.4,17000.2,6617.4,5494.8,0.0,186847.8,0.0,20457.7,201403.5,469295.7,670699.2,556076.0,1031900.8,207476.2,42
21.1,101624.0,31192.0,70432.0,20634.8,17006.6,6623.7,5501.2,0.0,186847.8,0.0,20466.6,201404.2,469294.0,670698.2,556077.7,1031900.8,207482.6,42
22.1,101624.0,31192.0,70432.0,20634.9,17006.7,6623.9,5501.3,0.0,186847.8,0.0,20467.0,201403.6,469314.0,670717.6,556057.7,1031900.8,207482.7,42
23.1,101624.0,31192.0,70432.0,20634.9,17006.8,6623.9,5501.3,0.0,186847.8,0.0,20467.0,201403.6,469298.5,670702.1,556073.2,1031900.8,207482.8,42
24.1,101624.0,31192.0,70432.0,20635.0,17006.8,6624.0,5501.4,0.0,186847.8,0.0,20502.6,201403.6,469317.5,670721.1,556054.2,1031900.8,207482.8,42
