t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
3.00,0.0000,0,0,105000,0.0000,0.0000,0.0005,107,1,202000,0.0005,0.0000
3.50,0.0000,0,0,105000,0.0000,0.0000,0.0014,291,2,202000,0.0014,0.0000
4.00,0.0000,0,0,105000,0.0000,0.0000,0.0018,371,2,202000,0.0018,0.0000
4.50,0.0000,0,0,105000,0.0000,0.0000,0.0022,451,2,202000,0.0022,0.0000
5.00,0.0000,0,0,105000,0.0000,0.0000,0.0030,611,2,202000,0.0030,0.0000
5.50,0.0000,0,0,105000,0.0000,0.0000,0.0034,691,2,202000,0.0034,0.0000
6.00,0.0000,0,0,105000,0.0000,0.0000,0.0038,771,2,202000,0.0038,0.0000
6.50,0.0000,0,0,105000,0.0000,0.0000,0.0049,986,4,202000,0.0049,0.0000
7.00,0.0000,0,0,105000,0.0000,0.0000,0.0057,1146,4,202000,0.0057,0.0000
7.50,0.0000,0,0,105000,0.0000,0.0000,0.0065,1306,4,202000,0.0065,0.0000
8.00,0.0000,0,0,105000,0.0000,0.0000,0.0072,1464,4,202000,0.0072,0.0000
8.50,0.0000,0,0,105000,0.0000,0.0000,0.0093,1878,5,202000,0.0093,0.0000
9.00,0.0000,0,0,105000,0.0000,0.0000,0.0103,2078,5,202000,0.0103,0.0000
9.50,0.0000,0,0,105000,0.0000,0.0000,0.0113,2278,5,202000,0.0113,0.0000
10.00,0.0000,0,0,105000,0.0000,0.0000,0.0123,2483,5,202000,0.0123,0.0000
10.50,0.0000,0,0,105000,0.0000,0.0000,0.0133,2683,5,202000,0.0133,0.0000
11.00,0.0000,0,0,105000,0.0000,0.0000,0.0143,2883,5,202000,0.0143,0.0000
11.50,0.0000,0,0,105000,0.0000,0.0000,0.0153,3083,5,202000,0.0153,0.0000
12.00,0.0067,701,0,105000,0.0067,0.0000,0.0189,3809,3,202000,0.0189,0.0000
12.50,0.0067,701,0,105000,0.0067,0.0000,0.0198,4002,5,202000,0.0198,0.0000
13.00,0.0067,701,0,105000,0.0067,0.0000,0.0208,4202,5,202000,0.0208,0.0000
13.50,0.0000,0,0,105000,0.0000,0.0000,0.0218,4394,5,202000,0.0218,0.0000
14.00,0.0109,1148,0,105000,0.0109,0.0000,0.0228,4604,4,202000,0.0228,0.0000
14.50,0.0000,0,0,105000,0.0000,0.0000,0.0242,4880,6,202000,0.0242,0.0000
15.00,0.0000,0,0,105000,0.0000,0.0000,0.0257,5185,7,202000,0.0257,0.0000
15.50,0.0000,0,0,105000,0.0000,0.0000,0.0271,5465,7,202000,0.0271,0.0000
16.00,0.0000,0,0,105000,0.0000,0.0000,0.0284,5739,7,202000,0.0284,0.0000
16.50,0.0000,0,0,105000,0.0000,0.0000,0.0312,6299,7,202000,0.0312,0.0000
17.00,0.0000,0,0,105000,0.0000,0.0000,0.0326,6579,7,202000,0.0326,0.0000
17.50,0.0000,0,0,105000,0.0000,0.0000,0.0340,6859,7,202000,0.0340,0.0000
18.00,0.0148,1558,0,105000,0.0148,0.0000,0.0319,6448,7,202000,0.0319,0.0000
18.50,0.0000,0,0,105000,0.0000,0.0000,0.0388,7846,7,202000,0.0388,0.0000
19.00,0.0000,0,0,105000,0.0000,0.0000,0.0408,8249,9,202000,0.0408,0.0000
19.50,0.0150,1575,0,105000,0.0150,0.0000,0.0351,7099,9,202000,0.0351,0.0000
20.00,0.0150,1575,0,105000,0.0150,0.0000,0.0451,9114,10,202000,0.0451,0.0000
20.50,0.0000,0,0,105000,0.0000,0.0000,0.0471,9514,10,202000,0.0471,0.0000
21.00,0.0000,0,0,105000,0.0000,0.0000,0.0491,9922,10,202000,0.0491,0.0000
21.50,0.0000,0,0,105000,0.0000,0.0000,0.0511,10322,10,202000,0.0511,0.0000
22.00,0.0000,0,0,105000,0.0000,0.0000,0.0460,9287,9,202000,0.0460,0.0000
22.50,0.0000,0,0,105000,0.0000,0.0000,0.0495,10007,9,202000,0.0495,0.0000
23.00,0.0000,0,0,105000,0.0000,0.0000,0.0513,10367,9,202000,0.0513,0.0000
23.50,0.0000,0,0,105000,0.0000,0.0000,0.0531,10727,9,202000,0.0531,0.0000
