elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74320.0,30636.0,43684.0,36138.6,32787.6,22323.5,21476.2,0.0,187669.0,0.0,30490.3,202270.3,479246.9,681517.2,546124.8,1031900.8,223807.6,42
1.1,74320.0,30636.0,43684.0,36066.7,32715.8,22251.6,21404.3,0.0,187283.1,0.0,31287.7,201884.5,480059.7,681944.2,545312.0,1031900.8,223349.9,42
2.1,74320.0,30636.0,43684.0,36066.8,32715.8,22251.7,21404.4,0.0,187282.8,0.0,31788.6,201884.1,480528.1,682412.2,544843.6,1031900.8,223349.6,42
3.1,74326.0,30642.0,43684.0,36112.8,32760.0,22296.4,21448.6,0.0,187026.5,0.0,31169.7,201627.8,479943.5,681571.3,545428.2,1031900.8,223139.3,42
4.1,74326.0,30642.0,43684.0,36105.4,32751.6,22288.3,21440.2,0.0,187026.5,0.0,31194.4,201627.7,479993.3,681621.0,545378.4,1031900.8,223131.9,42
5.1,74326.0,30642.0,43684.0,36105.5,32751.8,22288.4,21440.3,0.0,187026.5,0.0,31194.9,201627.7,479970.6,681598.3,545401.1,1031900.8,223132.0,42
6.1,74326.0,30642.0,43684.0,36097.6,32743.9,22280.3,21432.5,0.0,187027.0,0.0,31786.5,201628.2,480598.3,682226.5,544773.4,1031900.8,223124.7,42
7.1,74326.0,30642.0,43684.0,36105.9,32752.2,22288.6,21440.8,0.0,187027.0,0.0,32559.0,201628.4,481367.0,682995.5,544004.7,1031900.8,223133.0,42
8.1,74372.0,30688.0,43684.0,36109.2,32754.5,22291.8,21443.1,0.0,187053.1,0.0,33282.4,201654.4,482080.6,683735.0,543291.1,1031900.8,223162.3,42
9.1,74410.0,30726.0,43684.0,36142.0,32772.1,22324.6,21460.7,0.0,187271.1,0.0,33291.9,201873.7,482143.5,684017.2,543228.2,1031900.8,223413.1,42
10.1,74410.0,30726.0,43684.0,36143.4,32773.5,22326.0,21462.1,0.0,187271.1,0.0,33376.5,201873.6,482260.4,684133.9,543111.4,1031900.8,223414.5,42
11.1,74410.0,30726.0,43684.0,36145.8,32775.9,22328.4,21464.5,0.0,187271.1,0.0,33536.1,201874.2,482448.6,684322.8,542923.2,1031900.8,223416.9,42
12.1,74410.0,30726.0,43684.0,36125.0,32755.1,22307.6,21443.7,0.0,187271.1,0.0,32830.2,201874.2,481771.1,683645.3,543600.6,1031900.8,223396.1,42
13.1,74410.0,30726.0,43684.0,36129.1,32759.1,22311.6,21447.7,0.0,187271.1,0.0,32842.2,201874.2,481754.6,683628.8,543617.1,1031900.8,223400.2,42
14.1,74412.0,30728.0,43684.0,36108.4,32738.5,22291.0,21427.1,0.0,187271.1,0.0,32938.0,201874.5,481918.9,683793.4,543452.8,1031900.8,223379.5,42
15.1,74412.0,30728.0,43684.0,36121.9,32752.0,22304.5,21440.6,0.0,187271.1,0.0,33032.8,201875.6,482161.7,684037.3,543210.0,1031900.8,223393.0,42
16.1,74460.0,30776.0,43684.0,36125.1,32755.1,22307.6,21443.7,0.0,187271.1,0.0,33112.7,201876.5,482305.7,684182.2,543066.0,1031900.8,223396.1,42
17.1,74460.0,30776.0,43684.0,36108.8,32738.8,22291.3,21427.4,0.0,187271.1,0.0,33207.5,201877.1,482503.3,684380.5,542868.4,1031900.8,223379.8,42
18.1,74460.0,30776.0,43684.0,36119.6,32749.7,22302.2,21438.3,0.0,187271.1,0.0,33313.9,201878.2,482726.6,684604.8,542645.1,1031900.8,223390.8,42
19.1,74460.0,30776.0,43684.0,36119.8,32749.9,22302.4,21438.5,0.0,187271.1,0.0,33424.3,201878.0,482848.1,684726.1,542523.6,1031900.8,223390.9,42
20.1,74460.0,30776.0,43684.0,36123.9,32754.0,22306.5,21442.6,0.0,187271.1,0.0,33538.1,201878.3,483019.8,684898.1,542351.9,1031900.8,223395.0,42
21.1,74460.0,30776.0,43684.0,36102.2,32732.2,22284.7,21420.8,0.0,187271.1,0.0,33379.0,201879.2,482937.0,684816.2,542434.7,1031900.8,223373.3,42
22.1,74460.0,30776.0,43684.0,36085.5,32715.5,22268.0,21404.1,0.0,187270.6,0.0,33386.8,201880.1,483082.4,684962.5,542289.3,1031900.8,223356.1,42
23.1,74462.0,30776.0,43686.0,35986.3,32616.3,22168.8,21304.9,0.0,187093.1,0.0,33389.3,201702.5,483187.4,684889.9,542184.3,1031900.8,223079.4,42
24.1,74462.0,30776.0,43686.0,35904.2,32534.3,22086.7,21222.9,0.0,186939.6,0.0,33394.8,201550.2,483317.5,684867.7,542054.2,1031900.8,222843.8,42
25.1,74522.0,30836.0,43686.0,35811.1,32441.2,21993.7,21129.8,0.0,186791.3,0.0,33448.6,201402.9,483502.6,684905.4,541869.1,1031900.8,222602.5,42
26.1,74522.0,30836.0,43686.0,35806.5,32436.6,21989.1,21125.2,0.0,186656.2,0.0,33544.0,201268.9,483747.2,685016.1,541624.5,1031900.8,222462.7,42
27.1,74522.0,30836.0,43686.0,35807.2,32437.2,21989.7,21125.8,0.0,186656.2,0.0,33732.6,201269.5,483996.3,685265.8,541375.4,1031900.8,222463.3,42
28.1,74522.0,30836.0,43686.0,35807.6,32437.6,21990.1,21126.2,0.0,186471.7,0.0,33907.4,201086.0,484307.9,685393.9,541063.8,1031900.8,222279.2,42
29.1,74522.0,30836.0,43686.0,35807.4,32437.4,21989.9,21126.0,0.0,186471.7,0.0,34085.9,201086.7,484558.9,685645.6,540812.8,1031900.8,222279.0,42
30.1,74522.0,30836.0,43686.0,35802.4,32432.4,21984.9,21121.0,0.0,186211.7,0.0,34182.4,200827.9,484819.6,685647.5,540552.1,1031900.8,222014.0,42
31.1,74522.0,30836.0,43686.0,35797.5,32427.6,21980.1,21116.2,0.0,186061.9,0.0,33831.0,200678.9,484592.2,685271.1,540779.5,1031900.8,221859.5,42
32.1,74522.0,30836.0,43686.0,35547.4,32177.5,21730.0,20866.1,0.0,185991.7,0.0,33835.4,200609.5,484766.8,685376.3,540604.9,1031900.8,221539.2,42
33.1,74522.0,30836.0,43686.0,35307.9,31937.9,21490.4,20626.5,0.0,185830.2,0.0,34681.0,200448.7,485745.0,686193.7,539626.7,1031900.8,221138.1,42
