elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,74290.0,30606.0,43684.0,20317.1,16965.2,6299.7,5453.8,0.0,186842.8,0.0,18975.0,201398.4,467541.0,668939.4,557830.7,1031900.8,207159.9,42
1.1,74290.0,30606.0,43684.0,20309.2,16957.3,6291.8,5445.9,0.0,186842.8,0.0,19870.0,201398.4,468432.4,669830.8,556939.3,1031900.8,207152.0,42
2.1,74294.0,30610.0,43684.0,20309.2,16957.4,6291.9,5445.9,0.0,186842.8,0.0,20382.2,201398.4,468937.5,670335.9,556434.3,1031900.8,207152.0,42
3.1,74314.0,30630.0,43684.0,20289.6,16935.9,6270.9,5424.5,0.0,186842.8,0.0,19520.3,201398.2,468081.5,669479.7,557290.2,1031900.8,207132.5,42
4.1,74314.0,30630.0,43684.0,20289.8,16936.1,6271.0,5424.6,0.0,186842.8,0.0,19520.5,201398.2,468077.8,669476.0,557293.9,1031900.8,207132.6,42
5.1,74314.0,30630.0,43684.0,20292.0,16938.2,6273.2,5426.8,0.0,186842.8,0.0,19520.7,201398.2,468079.8,669478.0,557291.9,1031900.8,207134.8,42
6.1,74314.0,30630.0,43684.0,20254.3,16900.5,6235.5,5389.1,0.0,186842.8,0.0,19523.3,201398.2,468105.2,669503.4,557266.5,1031900.8,207097.1,42
7.1,74366.0,30682.0,43684.0,20260.7,16906.9,6241.9,5395.4,0.0,186845.1,0.0,19542.0,201400.3,468103.8,669504.1,557267.9,1031900.8,207105.8,42
8.1,74402.0,30718.0,43684.0,20261.0,16907.2,6242.2,5395.8,0.0,186845.1,0.0,19542.7,201400.4,468126.0,669526.4,557245.7,1031900.8,207106.1,42
9.1,74442.0,30758.0,43684.0,20257.3,16903.5,6238.5,5392.0,0.0,186845.1,0.0,19545.1,201400.4,468110.7,669511.1,557261.0,1031900.8,207102.4,42
10.1,74442.0,30758.0,43684.0,20257.6,16903.8,6238.7,5392.3,0.0,186845.1,0.0,19444.6,201400.4,468013.3,669413.8,557358.4,1031900.8,207102.7,42
11.1,74444.0,30760.0,43684.0,20253.7,16899.9,6234.9,5388.5,0.0,186845.1,0.0,19444.9,201400.4,468025.8,669426.3,557345.9,1031900.8,207098.8,42
12.1,74504.0,30820.0,43684.0,20253.8,16900.0,6235.0,5388.6,0.0,186845.1,0.0,19445.3,201400.5,468013.4,669413.9,557358.3,1031900.8,207099.0,42
13.1,74504.0,30820.0,43684.0,20254.4,16900.5,6235.5,5389.1,0.0,186845.1,0.0,19446.0,201400.5,468015.9,669416.4,557355.9,1031900.8,207099.5,42
14.1,74570.0,30886.0,43684.0,20240.6,16886.8,6221.7,5375.3,0.0,186845.1,0.0,19446.4,201400.5,468008.0,669408.4,557363.8,1031900.8,207085.7,42
15.1,74570.0,30886.0,43684.0,20240.7,16886.9,6221.9,5375.4,0.0,186845.1,0.0,19446.6,201400.5,468000.5,669401.1,557371.2,1031900.8,207085.9,42
16.1,74656.0,30972.0,43684.0,20241.0,16887.2,6222.1,5375.7,0.0,186845.1,0.0,19447.1,201400.7,468021.5,669422.2,557350.2,1031900.8,207086.2,42
17.1,74656.0,30972.0,43684.0,20235.2,16881.3,6216.3,5369.9,0.0,186845.1,0.0,19506.6,201400.8,468069.4,669470.3,557302.3,1031900.8,207080.3,42
18.1,74656.0,30972.0,43684.0,20235.4,16881.5,6216.5,5370.1,0.0,186845.2,0.0,19406.5,201400.6,467986.4,669387.0,557385.4,1031900.8,207080.5,42
19.1,74656.0,30972.0,43684.0,20207.5,16853.7,6188.7,5342.2,0.0,186845.2,0.0,19250.5,201400.6,467829.0,669229.6,557542.7,1031900.8,207052.7,42
20.1,74838.0,31154.0,43684.0,20210.0,16856.2,6191.1,5344.7,0.0,186844.7,0.0,19299.0,201400.2,467833.0,669233.2,557538.8,1031900.8,207054.7,42
21.1,74838.0,31154.0,43684.0,20212.4,16858.6,6193.5,5347.1,0.0,186844.7,0.0,19392.7,201400.3,467955.4,669355.7,557416.3,1031900.8,207057.1,42
22.1,74840.0,31154.0,43686.0,20208.6,16854.8,6189.7,5343.3,0.0,186844.7,0.0,19393.0,201400.2,467954.8,669355.1,557416.9,1031900.8,207053.3,42
23.1,74840.0,31154.0,43686.0,20208.7,16854.9,6189.9,5343.4,0.0,186844.7,0.0,19393.2,201400.2,467940.2,669340.4,557431.5,1031900.8,207053.4,42
24.1,74840.0,31154.0,43686.0,20209.0,16855.2,6190.1,5343.7,0.0,186844.7,0.0,19393.9,201400.2,467974.1,669374.3,557397.7,1031900.8,207053.7,42
