t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
3.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
3.50,0.0017,132,0,105000,0.0013,0.8000,0.0005,107,1,202000,0.0005,0.0000
4.00,0.0017,132,0,105000,0.0013,0.8000,0.0018,367,3,202000,0.0018,0.0000
4.50,0.0017,132,0,105000,0.0013,0.8000,0.0024,487,3,202000,0.0024,0.0000
5.00,0.0017,132,0,105000,0.0013,0.8000,0.0030,607,3,202000,0.0030,0.0000
5.50,0.0017,132,0,105000,0.0013,0.8000,0.0036,727,3,202000,0.0036,0.0000
6.00,0.0018,36,0,105000,0.0003,0.6316,0.0052,1056,4,202000,0.0052,0.0000
6.50,0.0020,36,0,105000,0.0003,0.6207,0.0060,1216,4,202000,0.0060,0.0000
7.00,0.0022,36,0,105000,0.0003,0.7826,0.0076,1538,6,202000,0.0076,0.0000
7.50,0.0023,36,0,105000,0.0003,0.7059,0.0091,1836,7,202000,0.0091,0.0000
8.00,0.0024,36,0,105000,0.0003,0.5714,0.0105,2116,7,202000,0.0105,0.0000
8.50,0.0068,580,0,105000,0.0055,0.0898,0.0123,2475,8,202000,0.0123,0.0000
9.00,0.0175,1204,0,105000,0.0115,0.7872,0.0112,2254,6,202000,0.0112,0.0000
9.50,0.0175,1204,0,105000,0.0115,0.7872,0.0162,3277,8,202000,0.0162,0.0000
10.00,0.0177,58,0,105000,0.0006,0.0826,0.0225,4543,11,202000,0.0225,0.0000
10.50,0.0177,58,0,105000,0.0006,0.0826,0.0247,4991,12,202000,0.0247,0.0000
11.00,0.0238,46,0,105000,0.0004,0.1060,0.0271,5474,11,202000,0.0271,0.0000
11.50,0.0275,57,0,105000,0.0005,0.0971,0.0266,5373,12,202000,0.0266,0.0000
12.00,0.0275,57,0,105000,0.0005,0.0971,0.0317,6410,12,202000,0.0317,0.0000
12.50,0.0327,49,0,105000,0.0005,0.4804,0.0344,6954,13,202000,0.0344,0.0000
13.00,0.0327,49,0,105000,0.0005,0.4804,0.0371,7487,13,202000,0.0371,0.0000
13.50,0.0389,713,0,105000,0.0068,0.8182,0.0397,8021,11,202000,0.0397,0.0000
14.00,0.0434,592,0,105000,0.0056,0.1075,0.0428,8639,13,202000,0.0428,0.0000
14.50,0.0484,597,0,105000,0.0057,0.0957,0.0443,8952,11,202000,0.0443,0.0000
15.00,0.0650,1320,0,105000,0.0126,0.5314,0.0413,8347,13,202000,0.0413,0.0000
15.50,0.0678,2208,0,105000,0.0210,0.5396,0.0494,9977,10,202000,0.0494,0.0000
16.00,0.0789,2393,0,105000,0.0228,0.6792,0.0542,10942,11,202000,0.0542,0.0000
16.50,0.0792,702,0,105000,0.0067,0.4500,0.0587,11867,14,202000,0.0587,0.0000
17.00,0.0874,1958,0,105000,0.0186,0.4588,0.0615,12431,13,202000,0.0615,0.0000
17.50,0.0923,53,0,105000,0.0005,0.1791,0.0651,13143,15,202000,0.0651,0.0000
18.00,0.1030,1466,0,105000,0.0140,0.4615,0.0699,14128,14,202000,0.0699,0.0000
18.50,0.1034,36,0,105000,0.0003,0.5806,0.0733,14797,17,202000,0.0733,0.0000
19.00,0.1036,62,0,105000,0.0006,0.4960,0.0772,15602,17,202000,0.0772,0.0000
19.50,0.1042,44,0,105000,0.0004,0.0786,0.0809,16333,17,202000,0.0809,0.0000
20.00,0.1146,1245,0,105000,0.0119,0.5605,0.0847,17103,16,202000,0.0847,0.0000
20.50,0.1206,1286,0,105000,0.0122,0.6491,0.0847,17103,16,202000,0.0847,0.0000
21.00,0.1260,1579,0,105000,0.0150,0.4753,0.0884,17853,18,202000,0.0884,0.0000
21.50,0.1362,3250,0,105000,0.0310,0.6761,0.0927,18731,19,202000,0.0927,0.0000
22.00,0.1412,3796,0,105000,0.0362,0.3750,0.0972,19636,17,202000,0.0972,0.0000
22.50,0.1412,3796,0,105000,0.0362,0.3750,0.1007,20349,19,202000,0.1007,0.0000
23.00,0.1525,2878,0,105000,0.0274,0.1010,0.0971,19607,19,202000,0.0971,0.0000
23.50,0.1582,3777,0,105000,0.0360,0.4890,0.1009,20383,15,202000,0.1009,0.0000
