t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
3.00,0.0000,0,0,105000,0.0000,0.0000,0.0005,107,1,202000,0.0005,0.0000
3.50,0.0000,0,0,105000,0.0000,0.0000,0.0019,380,3,202000,0.0019,0.0000
4.00,0.0000,0,0,105000,0.0000,0.0000,0.0025,500,3,202000,0.0025,0.0000
4.50,0.0000,0,0,105000,0.0000,0.0000,0.0031,620,3,202000,0.0031,0.0000
5.00,0.0000,0,0,105000,0.0000,0.0000,0.0037,740,3,202000,0.0037,0.0000
5.50,0.0000,0,0,105000,0.0000,0.0000,0.0053,1072,4,202000,0.0053,0.0000
6.00,0.0000,0,0,105000,0.0000,0.0000,0.0061,1232,4,202000,0.0061,0.0000
6.50,0.0000,0,0,105000,0.0000,0.0000,0.0077,1559,6,202000,0.0077,0.0000
7.00,0.0037,389,0,105000,0.0037,0.0000,0.0092,1862,7,202000,0.0092,0.0000
7.50,0.0000,0,0,105000,0.0000,0.0000,0.0106,2145,6,202000,0.0106,0.0000
8.00,0.0000,0,0,105000,0.0000,0.0000,0.0124,2502,8,202000,0.0124,0.0000
8.50,0.0000,0,0,105000,0.0000,0.0000,0.0115,2317,9,202000,0.0115,0.0000
9.00,0.0000,0,0,105000,0.0000,0.0000,0.0194,3924,11,202000,0.0194,0.0000
9.50,0.0000,0,0,105000,0.0000,0.0000,0.0236,4771,11,202000,0.0236,0.0000
10.00,0.0000,0,0,105000,0.0000,0.0000,0.0260,5242,12,202000,0.0260,0.0000
10.50,0.0000,0,0,105000,0.0000,0.0000,0.0283,5722,12,202000,0.0283,0.0000
11.00,0.0000,0,0,105000,0.0000,0.0000,0.0308,6220,11,202000,0.0308,0.0000
11.50,0.0000,0,0,105000,0.0000,0.0000,0.0331,6689,12,202000,0.0331,0.0000
12.00,0.0000,0,0,105000,0.0000,0.0000,0.0358,7239,13,202000,0.0358,0.0000
12.50,0.0055,576,0,105000,0.0055,0.0000,0.0385,7773,13,202000,0.0385,0.0000
13.00,0.0069,729,0,105000,0.0069,0.0000,0.0411,8297,11,202000,0.0411,0.0000
13.50,0.0100,1050,0,105000,0.0100,0.0000,0.0443,8946,13,202000,0.0443,0.0000
14.00,0.0000,0,0,105000,0.0000,0.0000,0.0458,9254,12,202000,0.0458,0.0000
14.50,0.0000,0,0,105000,0.0000,0.0000,0.0485,9793,13,202000,0.0485,0.0000
15.00,0.0000,0,0,105000,0.0000,0.0000,0.0511,10318,13,202000,0.0511,0.0000
15.50,0.0000,0,0,105000,0.0000,0.0000,0.0570,11519,14,202000,0.0570,0.0000
16.00,0.0148,1558,0,105000,0.0148,0.0000,0.0617,12465,15,202000,0.0617,0.0000
16.50,0.0000,0,0,105000,0.0000,0.0000,0.0654,13216,14,202000,0.0654,0.0000
17.00,0.0000,0,0,105000,0.0000,0.0000,0.0684,13816,15,202000,0.0684,0.0000
17.50,0.0000,0,0,105000,0.0000,0.0000,0.0736,14870,16,202000,0.0736,0.0000
18.00,0.0000,0,0,105000,0.0000,0.0000,0.0773,15622,17,202000,0.0773,0.0000
18.50,0.0102,1075,0,105000,0.0102,0.0000,0.0812,16410,18,202000,0.0812,0.0000
19.00,0.0102,1075,0,105000,0.0102,0.0000,0.0812,16410,18,202000,0.0812,0.0000
19.50,0.0110,1154,0,105000,0.0110,0.0000,0.0777,15702,17,202000,0.0777,0.0000
20.00,0.0150,1575,0,105000,0.0150,0.0000,0.0815,16464,18,202000,0.0815,0.0000
20.50,0.0000,0,0,105000,0.0000,0.0000,0.0858,17340,17,202000,0.0858,0.0000
21.00,0.0271,2850,0,105000,0.0271,0.0000,0.0900,18172,17,202000,0.0900,0.0000
21.50,0.0271,2850,0,105000,0.0271,0.0000,0.0936,18913,20,202000,0.0936,0.0000
22.00,0.0124,1307,0,105000,0.0124,0.0000,0.0957,19336,19,202000,0.0957,0.0000
22.50,0.0124,1307,0,105000,0.0124,0.0000,0.1022,20650,19,202000,0.1022,0.0000
23.00,0.0000,0,0,105000,0.0000,0.0000,0.0959,19368,19,202000,0.0959,0.0000
