concurrency	arm	rps	norm_latency_ms_per_tok	err_rate
1	hicache	0.4645	41.50	0.0000
1	park_gpu	0.5141	34.70	0.0000
1	recompute	0.4758	38.69	0.0000
4	hicache	0.9217	101.71	0.0000
4	park_gpu	1.3345	63.82	0.0000
4	recompute	1.4766	55.58	0.0000
8	hicache	0.9502	217.44	0.0000
8	park_gpu	1.3419	146.88	0.0000
8	recompute	1.5787	118.31	0.0000
16	hicache	0.8790	463.92	0.0000
16	park_gpu	1.3212	288.11	0.0000
16	recompute	1.5415	248.98	0.0000
32	hicache	0.5751	1402.17	0.0000
32	park_gpu	1.2860	562.58	0.0000
32	recompute	1.4366	499.09	0.0000
