concurrency	arm	throughput_tok_s	norm_latency_ms_per_tok	err_rate
1	hicache	16.18	41.50	0.0000
1	park_gpu	18.34	34.70	0.0000
1	recompute	17.16	38.69	0.0000
4	hicache	32.19	101.71	0.0000
4	park_gpu	46.32	63.82	0.0000
4	recompute	51.53	55.58	0.0000
8	hicache	32.91	217.44	0.0000
8	park_gpu	46.04	146.88	0.0000
8	recompute	55.80	118.31	0.0000
16	hicache	31.35	463.92	0.0000
16	park_gpu	47.77	288.11	0.0000
16	recompute	54.49	248.98	0.0000
32	hicache	20.81	1402.17	0.0000
32	park_gpu	46.50	562.58	0.0000
32	recompute	51.76	499.09	0.0000
