elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,n_pids
0.0,0.0,129335.8,118476.2,76750.6,75569.9,0.0,39237.9,0.6,77333.8,43276.1,79049.7,124860.7,45829.0,128652.3,148
1.4,0.0,129347.7,118486.8,76761.9,75580.6,0.0,39240.2,0.6,77365.0,43278.5,79080.1,124893.5,45798.6,128652.3,148
2.8,0.0,129347.9,118487.0,76762.2,75580.8,0.0,39240.3,0.6,77366.7,43278.6,79079.8,124893.2,45799.0,128652.3,148
4.2,0.0,129348.0,118487.0,76762.2,75580.8,0.0,39240.3,0.6,77366.7,43278.6,79076.6,124890.0,45802.2,128652.3,148
5.7,0.0,129380.6,118518.3,76793.3,75612.1,0.0,39361.2,0.6,77396.1,43399.5,79102.8,125037.1,45776.0,128652.3,148
7.2,0.0,129387.1,118552.8,76823.9,75646.6,0.0,39407.5,0.6,77436.2,43428.2,79138.2,125097.6,45392.2,128652.3,148
8.7,0.0,129437.1,118610.8,76880.7,75704.6,0.0,39123.0,0.6,77499.5,43110.4,79214.4,124851.3,45612.7,128652.3,148
10.3,0.0,129442.4,118616.2,76886.0,75710.0,0.0,39415.6,1031.5,77511.5,43410.5,79241.6,125178.7,45585.4,128652.3,148
11.9,0.0,129447.3,118620.9,76890.7,75714.7,0.0,39422.9,1031.5,77522.1,43417.2,79257.2,125200.9,45569.9,128652.3,148
13.5,0.0,129456.6,118626.7,76900.0,75720.5,0.0,39428.9,1031.5,77526.4,43423.7,79265.8,125216.0,45561.3,128652.3,148
15.1,0.0,129462.2,118632.4,76905.7,75726.2,0.0,39439.2,1031.5,77544.1,43434.0,79283.0,125243.5,45544.0,128652.3,148
16.7,0.0,129469.4,118636.0,76909.3,75729.8,0.0,39445.2,1031.5,77545.4,43440.4,79292.7,125259.7,45534.3,128652.3,148
18.2,0.0,129474.7,118641.3,76914.6,75735.1,0.0,39450.2,1031.5,77553.7,43445.7,79279.2,125251.5,45547.8,128652.3,148
19.8,0.0,129457.8,118644.3,76912.8,75738.1,0.0,39457.0,1031.5,77559.9,43452.5,79294.0,125273.2,45532.9,128652.3,148
21.4,0.0,129439.4,118645.9,76909.4,75739.7,0.0,39414.4,1077.2,77793.7,43403.3,79426.3,125353.0,45404.0,128652.3,148
23.1,0.0,129427.9,118649.8,76909.4,75743.6,0.0,39391.4,1077.2,77978.5,43378.3,79624.1,125523.7,45208.2,128652.3,148
24.7,0.0,129399.7,118656.9,76907.4,75750.7,0.0,39187.6,1077.2,78007.6,43172.3,80071.0,125754.7,44851.2,128652.3,148
26.3,0.0,129408.3,118665.5,76916.0,75759.3,0.0,39059.4,1077.2,78054.9,43031.4,79740.4,125259.3,45205.0,128652.3,148
27.8,0.0,129414.3,118671.6,76922.0,75765.4,0.0,39052.6,1077.2,78072.7,43022.1,79790.4,125297.2,45158.5,128652.3,148
29.5,0.0,129425.4,118682.7,76933.1,75776.5,0.0,39049.6,1077.2,78089.5,43018.6,79952.7,125455.4,44996.9,128652.3,148
31.0,0.0,129427.5,118684.8,76935.2,75778.6,0.0,39038.8,1077.2,78104.9,43014.0,79818.6,125313.9,45133.7,128652.3,148
32.7,0.0,129432.0,118689.3,76939.8,75783.1,0.0,39030.9,1116.3,78114.0,43003.0,79846.4,125328.0,45108.6,128652.3,148
34.3,0.0,129438.1,118695.4,76945.9,75789.2,0.0,39028.1,1116.3,78124.8,42998.5,79952.5,125428.1,45004.0,128652.3,148
35.9,0.0,129449.1,118706.4,76956.8,75800.2,0.0,39025.2,1116.3,78142.7,42999.6,79930.7,125406.1,45027.1,128652.3,148
37.5,0.0,129457.7,118715.0,76965.4,75808.8,0.0,39025.9,1116.3,78153.5,43000.7,79883.0,125359.0,45075.3,128652.3,148
39.1,0.0,129460.7,118718.0,76968.4,75811.8,0.0,39017.6,1116.3,78162.7,42986.2,79893.0,125353.5,45066.3,128652.3,148
40.7,0.0,129463.3,118720.5,76971.0,75814.3,0.0,39009.1,1116.3,78174.1,42980.8,79927.2,125379.5,45034.8,128652.3,148
42.2,0.0,129464.9,118722.2,76972.6,75816.0,0.0,38997.3,1116.3,78180.2,42961.0,79941.5,125371.2,45023.4,128652.3,148
43.8,0.0,129466.6,118723.9,76974.3,75817.7,0.0,38957.6,1148.3,78196.5,42919.6,79947.6,125327.2,45026.0,128652.3,148
45.9,0.0,129471.4,118728.7,76979.1,75822.5,0.0,38941.9,1148.3,78206.3,42909.6,80084.9,125450.5,44892.7,128652.3,148
47.5,0.0,129476.1,118733.4,76983.8,75827.2,0.0,38923.8,1148.3,78225.3,42887.4,80012.2,125351.7,44969.3,128652.3,148
49.1,0.0,129470.8,118736.1,76985.2,75829.9,0.0,38885.4,1148.3,78254.0,42841.6,80038.8,125325.1,44950.1,128652.3,148
50.7,0.0,129471.3,118742.5,76990.7,75836.3,0.0,38688.5,1148.3,78378.6,42633.9,80230.8,125287.5,44780.0,128652.3,148
52.3,0.0,129474.5,118745.7,76993.9,75839.5,0.0,38692.6,1148.3,78388.4,42637.6,80292.8,125353.3,44717.9,128652.3,148
53.9,0.0,129476.3,118747.5,76995.7,75841.3,0.0,38666.1,1174.3,78409.9,42597.0,80216.6,125230.9,44799.7,128652.3,148
55.6,0.0,129478.4,118749.7,76997.8,75843.5,0.0,38653.8,1174.3,78427.2,42590.0,80283.0,125287.5,44736.1,128652.3,148
57.4,0.0,129478.9,118750.3,76998.4,75844.1,0.0,38588.2,1174.3,78475.9,42514.0,80383.6,125301.8,44645.8,128652.3,148
59.1,0.0,129450.1,118753.2,76993.8,75847.0,0.0,37622.3,1174.3,79209.7,41488.0,81121.6,124913.4,44008.2,128652.3,148
60.8,0.0,129435.1,118758.4,76994.3,75852.2,0.0,37314.4,1174.3,79339.3,41136.9,81382.8,124788.1,43782.3,128652.3,148
62.4,0.0,129420.3,118764.4,76995.2,75858.2,0.0,36403.3,1174.3,79974.0,40159.1,82090.0,124438.0,43154.7,128652.3,148
64.0,0.0,129420.1,118765.6,76996.1,75859.4,0.0,36033.6,1198.4,79155.9,39761.3,81323.5,123248.4,43946.4,128652.3,148
65.6,0.0,129415.4,118773.9,77003.1,75867.7,0.0,35958.8,1198.4,79232.4,39697.1,81490.9,123345.1,43785.6,128652.3,148
67.3,0.0,129416.0,118777.8,77006.8,75871.6,0.0,35584.5,1198.4,79194.2,39254.7,81305.6,122714.3,43973.9,128652.3,148
68.9,0.0,129387.5,118778.2,77005.3,75872.0,0.0,35429.0,1198.4,79313.3,39082.6,81353.2,122587.5,43928.8,128652.3,148
70.5,0.0,129388.9,118779.8,77006.9,75873.6,0.0,35349.4,1198.4,79378.2,38982.5,81512.2,122635.7,43780.4,128652.3,148
72.1,0.0,129389.4,118782.0,77009.0,75875.8,0.0,35299.5,1198.4,79433.0,38920.8,81511.9,122567.1,43787.4,128652.3,148
73.8,0.0,129388.1,118783.9,77010.2,75877.7,0.0,35275.8,1198.4,79456.9,38893.0,81554.7,122578.9,43747.7,128652.3,148
75.4,0.0,129388.5,118787.9,77013.7,75881.7,0.0,35131.3,1224.4,79606.2,38708.1,81787.4,122610.8,43530.9,128652.3,148
77.1,0.0,129392.0,118796.8,77021.8,75890.6,0.0,35031.6,1224.4,79696.9,38571.1,82070.7,122747.4,43257.2,128652.3,148
78.7,0.0,129394.6,118800.1,77025.1,75893.9,0.0,34917.6,1224.4,79792.6,38427.2,81925.6,122447.5,43413.3,128652.3,148
80.2,0.0,129397.2,118802.9,77027.8,75896.7,0.0,34857.9,1224.4,79854.8,38365.0,82162.2,122621.9,43176.8,128652.3,148
81.8,0.0,129399.4,118805.2,77030.1,75899.0,0.0,34840.7,1224.4,79874.1,38337.0,82198.2,122629.9,43140.7,128652.3,148
83.3,0.0,129402.1,118808.0,77032.9,75901.8,0.0,34702.9,1224.4,80016.1,38166.0,82139.0,122399.1,43200.5,128652.3,148
84.9,0.0,129398.7,118808.2,77032.9,75902.0,0.0,34671.0,1224.4,80045.3,38121.5,82377.9,122593.6,42961.6,128652.3,148
86.5,0.0,129401.7,118812.1,77036.7,75905.9,0.0,34504.0,1249.4,80190.5,37921.0,82453.1,122468.3,42886.4,128652.3,148
88.1,0.0,129403.3,118817.0,77041.4,75910.8,0.0,34381.3,1249.4,80298.3,37775.9,82442.2,122312.2,42897.3,128652.3,148
89.7,0.0,129405.7,118820.5,77044.7,75914.3,0.0,33843.7,1249.4,79890.5,37163.0,82053.9,121310.9,43285.6,128652.3,148
91.5,0.0,129409.1,118823.9,77048.1,75917.7,0.0,33525.2,1249.4,79752.0,36788.4,82000.4,120882.9,43339.1,128652.3,148
