elapsed_s,prefill30000_max_total_num_tokens,prefill30000_num_used_tokens,prefill30000_evictable_tokens,prefill30000_token_usage,prefill30000_cache_occupancy,prefill30000_cache_hit_rate,prefill30000_occupancy_frac,prefill30001_max_total_num_tokens,prefill30001_num_used_tokens,prefill30001_evictable_tokens,prefill30001_token_usage,prefill30001_cache_occupancy,prefill30001_cache_hit_rate,prefill30001_occupancy_frac,decode30002_max_total_num_tokens,decode30002_num_used_tokens,decode30002_evictable_tokens,decode30002_token_usage,decode30002_cache_occupancy,decode30002_cache_hit_rate,decode30002_occupancy_frac,decode30003_max_total_num_tokens,decode30003_num_used_tokens,decode30003_evictable_tokens,decode30003_token_usage,decode30003_cache_occupancy,decode30003_cache_hit_rate,decode30003_occupancy_frac,prefill_used_tokens,prefill_max_tokens,prefill_occupancy_frac,decode_used_tokens,decode_max_tokens,decode_occupancy_frac
0.0,60000.0,0.0,4.0,0.0,6.666666666666667e-05,0.0,0.0001,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,,,,,,,,,,,,,,,9,120000,0.0001,0,0,
2.0,60000.0,8192.0,5.0,0.13653333333333334,0.13661666666666666,0.0,0.1366,60000.0,8222.0,11.0,0.13703333333333334,0.13721666666666665,0.0,0.1372,,,,,,,,,,,,,,,16430,120000,0.1369,0,0,
4.0,60000.0,12288.0,5.0,0.2048,0.20488333333333333,0.0,0.2049,60000.0,20510.0,11.0,0.3418333333333333,0.3420166666666667,0.0,0.342,209038.0,25615.0,0.0,0.1225375290617017,0.1225375290617017,0.0,0.1225,,,,,,,,32814,120000,0.2735,25615,209038,0.1225
6.0,60000.0,12288.0,5.0,0.2048,0.20488333333333333,0.0,0.2049,60000.0,20888.0,11921.0,0.34813333333333335,0.5468166666666666,0.0,0.5468,209038.0,25695.0,0.0,0.12292023459849405,0.12292023459849405,0.0,0.1229,209038.0,26091.0,0.0,0.1248146270056162,0.1248146270056162,0.0,0.1248,45102,120000,0.3759,51786,418076,0.1239
8.0,60000.0,12288.0,5.0,0.2048,0.20488333333333333,0.0,0.2049,60000.0,24984.0,11921.0,0.4164,0.6150833333333333,0.0,0.6151,209038.0,25735.0,0.0,0.12311158736689023,0.12311158736689023,0.0,0.1231,209038.0,26239.0,0.0,0.12552263224868207,0.12552263224868207,0.0,0.1255,49198,120000,0.41,51974,418076,0.1243
10.0,60000.0,12288.0,5.0,0.2048,0.20488333333333333,0.0,0.2049,60000.0,24984.0,11921.0,0.4164,0.6150833333333333,0.0,0.6151,209038.0,25866.0,0.0,0.1237382676833877,0.1237382676833877,0.0,0.1237,209038.0,26319.0,0.0,0.1259053377854744,0.1259053377854744,0.0,0.1259,49198,120000,0.41,52185,418076,0.1248
12.0,60000.0,12288.0,5.0,0.2048,0.20488333333333333,0.0,0.2049,60000.0,24984.0,11921.0,0.4164,0.6150833333333333,0.0,0.6151,209038.0,26026.0,0.0,0.12450367875697242,0.12450367875697242,0.0,0.1245,209038.0,13372.0,0.0,0.06396923047484189,0.06396923047484189,0.0,0.064,49198,120000,0.41,39398,418076,0.0942
14.0,60000.0,12288.0,5.0,0.2048,0.20488333333333333,0.0,0.2049,60000.0,16932.0,24225.0,0.2822,0.68595,0.0,0.6859,209038.0,13091.0,0.0,0.06262497727685876,0.06262497727685876,0.0,0.0626,209038.0,13372.0,0.0,0.06396923047484189,0.06396923047484189,0.0,0.064,53450,120000,0.4454,26463,418076,0.0633
16.0,60000.0,9116.0,11784.0,0.15193333333333334,0.34833333333333333,0.0,0.3483,60000.0,16932.0,24225.0,0.2822,0.68595,0.0,0.6859,209038.0,13131.0,0.0,0.06281633004525493,0.06281633004525493,0.0,0.0628,209038.0,36759.0,0.0,0.17584841033687654,0.17584841033687654,0.0,0.1758,62057,120000,0.5171,49890,418076,0.1193
18.0,60000.0,29087.0,5.0,0.48478333333333334,0.48486666666666667,0.0,0.4849,60000.0,12880.0,30793.0,0.21466666666666667,0.7278833333333333,0.909797273433637,0.7279,209038.0,13131.0,0.0,0.06281633004525493,0.06281633004525493,0.0,0.0628,209038.0,36839.0,0.0,0.1762311158736689,0.1762311158736689,0.0,0.1762,72765,120000,0.6064,49970,418076,0.1195
20.0,60000.0,29087.0,5.0,0.48478333333333334,0.48486666666666667,0.0,0.4849,60000.0,12880.0,30793.0,0.21466666666666667,0.7278833333333333,0.909797273433637,0.7279,209038.0,16204.0,0.0,0.0775170064772912,0.0775170064772912,0.0,0.0775,209038.0,51092.0,0.0,0.24441489107243658,0.24441489107243658,0.0,0.2444,72765,120000,0.6064,67296,418076,0.161
22.0,60000.0,29087.0,5.0,0.48478333333333334,0.48486666666666667,0.0,0.4849,60000.0,12880.0,30793.0,0.21466666666666667,0.7278833333333333,0.909797273433637,0.7279,209038.0,16284.0,0.0,0.07789971201408356,0.07789971201408356,0.0,0.0779,209038.0,51208.0,0.0,0.2449698141007855,0.2449698141007855,0.0,0.245,72765,120000,0.6064,67492,418076,0.1614
24.0,60000.0,29087.0,5.0,0.48478333333333334,0.48486666666666667,0.0,0.4849,60000.0,12880.0,30793.0,0.21466666666666667,0.7278833333333333,0.909797273433637,0.7279,209038.0,16324.0,0.0,0.07809106478247974,0.07809106478247974,0.0,0.0781,209038.0,31711.0,0.0,0.15169969096527905,0.15169969096527905,0.0,0.1517,72765,120000,0.6064,48035,418076,0.1149
26.0,60000.0,29087.0,5.0,0.48478333333333334,0.48486666666666667,0.0,0.4849,60000.0,12880.0,30793.0,0.21466666666666667,0.7278833333333333,0.909797273433637,0.7279,209038.0,16404.0,0.0,0.0784737703192721,0.0784737703192721,0.0,0.0785,209038.0,31791.0,0.0,0.1520823965020714,0.1520823965020714,0.0,0.1521,72765,120000,0.6064,48195,418076,0.1153
28.0,60000.0,9116.0,31635.0,0.15193333333333334,0.6791833333333334,0.0,0.6792,60000.0,12880.0,30793.0,0.21466666666666667,0.7278833333333333,0.909797273433637,0.7279,209038.0,16444.0,0.0,0.07866512308766827,0.07866512308766827,0.0,0.0787,209038.0,61921.0,0.0,0.29621886929649155,0.29621886929649155,0.0,0.2962,84424,120000,0.7035,78365,418076,0.1874
30.0,60000.0,21404.0,31635.0,0.35673333333333335,0.8839833333333333,0.0,0.884,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,16444.0,0.0,0.07866512308766827,0.07866512308766827,0.0,0.0787,209038.0,64650.0,0.0,0.3092739119203207,0.3092739119203207,0.0,0.3093,102085,120000,0.8507,81094,418076,0.194
32.0,60000.0,29596.0,24570.0,0.4932666666666667,0.9027666666666667,0.0,0.9028,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,16444.0,0.0,0.07866512308766827,0.07866512308766827,0.0,0.0787,209038.0,64690.0,0.0,0.3094652646887169,0.3094652646887169,0.0,0.3095,103212,120000,0.8601,81134,418076,0.1941
34.0,60000.0,54540.0,4096.0,0.909,0.9772666666666666,0.0,0.9773,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,16444.0,0.0,0.07866512308766827,0.07866512308766827,0.0,0.0787,209038.0,50237.0,0.0,0.2403247256479683,0.2403247256479683,0.0,0.2403,107682,120000,0.8973,66681,418076,0.1595
36.0,60000.0,36274.0,20478.0,0.6045666666666667,0.9458666666666666,0.0,0.9459,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,16444.0,0.0,0.07866512308766827,0.07866512308766827,0.0,0.0787,209038.0,68693.0,0.0,0.3286148929859643,0.3286148929859643,0.0,0.3286,105798,120000,0.8817,85137,418076,0.2036
38.0,60000.0,17310.0,39442.0,0.2885,0.9458666666666666,0.0,0.9459,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,28152.0,0.0,0.13467407839722922,0.13467407839722922,0.0,0.1347,209038.0,68853.0,0.0,0.329380304059549,0.329380304059549,0.0,0.3294,105798,120000,0.8817,97005,418076,0.232
40.0,60000.0,17310.0,39442.0,0.2885,0.9458666666666666,0.0,0.9459,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,28192.0,0.0,0.13486543116562538,0.13486543116562538,0.0,0.1349,209038.0,68936.0,0.0,0.32977736105397104,0.32977736105397104,0.0,0.3298,105798,120000,0.8817,97128,418076,0.2323
42.0,60000.0,17310.0,39442.0,0.2885,0.9458666666666666,0.0,0.9459,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,28272.0,0.0,0.13524813670241775,0.13524813670241775,0.0,0.1352,209038.0,48685.0,0.0,0.23290023823419664,0.23290023823419664,0.0,0.2329,105798,120000,0.8817,76957,418076,0.1841
44.0,60000.0,17310.0,39442.0,0.2885,0.9458666666666666,0.0,0.9459,60000.0,17280.0,31766.0,0.288,0.8174333333333333,0.0,0.8174,209038.0,28352.0,0.0,0.1356308422392101,0.1356308422392101,0.0,0.1356,209038.0,18539.0,0.0,0.08868722433241803,0.08868722433241803,0.0,0.0887,105798,120000,0.8817,46891,418076,0.1122
46.0,60000.0,13212.0,42022.0,0.2202,0.9205666666666666,0.0,0.9206,60000.0,23544.0,32505.0,0.3924,0.93415,0.0,0.9342,209038.0,28352.0,0.0,0.1356308422392101,0.1356308422392101,0.0,0.1356,209038.0,40299.0,0.0,0.19278313033993819,0.19278313033993819,0.0,0.1928,111283,120000,0.9274,68651,418076,0.1642
48.0,60000.0,48560.0,8194.0,0.8093333333333333,0.9459,0.8833244203969927,0.9459,60000.0,31736.0,26965.0,0.5289333333333334,0.97835,0.0,0.9784,209038.0,28352.0,0.0,0.1356308422392101,0.1356308422392101,0.0,0.1356,209038.0,71892.0,0.0,0.3439183306384485,0.3439183306384485,0.0,0.3439,115455,120000,0.9621,100244,418076,0.2398
50.0,60000.0,48560.0,8194.0,0.8093333333333333,0.9459,0.8833244203969927,0.9459,60000.0,31736.0,26965.0,0.5289333333333334,0.97835,0.0,0.9784,209038.0,28352.0,0.0,0.1356308422392101,0.1356308422392101,0.0,0.1356,209038.0,53206.0,0.0,0.25452788488217454,0.25452788488217454,0.0,0.2545,115455,120000,0.9621,81558,418076,0.1951
52.0,60000.0,48560.0,8194.0,0.8093333333333333,0.9459,0.8833244203969927,0.9459,60000.0,18253.0,37894.0,0.3042166666666667,0.9357833333333333,0.0,0.9358,209038.0,35316.0,0.0,0.16894535921698448,0.16894535921698448,0.0,0.1689,209038.0,75822.0,0.0,0.36271874013337285,0.36271874013337285,0.0,0.3627,112901,120000,0.9408,111138,418076,0.2658
54.0,60000.0,48560.0,8194.0,0.8093333333333333,0.9459,0.8833244203969927,0.9459,60000.0,22349.0,30810.0,0.37248333333333333,0.8859833333333333,0.0,0.886,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,75902.0,0.0,0.3631014456701652,0.3631014456701652,0.0,0.3631,109913,120000,0.9159,111258,418076,0.2661
56.0,60000.0,48560.0,8194.0,0.8093333333333333,0.9459,0.8833244203969927,0.9459,60000.0,22349.0,30810.0,0.37248333333333333,0.8859833333333333,0.0,0.886,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,54137.0,0.0,0.25898162056659557,0.25898162056659557,0.0,0.259,109913,120000,0.9159,89493,418076,0.2141
58.0,60000.0,29874.0,24570.0,0.4979,0.9074,0.0,0.9074,60000.0,22349.0,30810.0,0.37248333333333333,0.8859833333333333,0.0,0.886,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,90119.0,0.0,0.43111300337737635,0.43111300337737635,0.0,0.4311,107603,120000,0.8967,125475,418076,0.3001
60.0,60000.0,17310.0,41230.0,0.2885,0.9756666666666667,0.0,0.9757,60000.0,0.0,53339.0,0.0,0.8889833333333333,0.0,0.889,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,112553.0,0.0,0.5384332035323721,0.5384332035323721,0.0,0.5384,111879,120000,0.9323,147909,418076,0.3538
62.0,60000.0,25502.0,32535.0,0.4250333333333333,0.9672833333333334,0.0,0.9673,60000.0,0.0,53339.0,0.0,0.8889833333333333,0.0,0.889,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,80913.0,0.0,0.38707316373099626,0.38707316373099626,0.0,0.3871,111376,120000,0.9281,116269,418076,0.2781
64.0,60000.0,54450.0,3172.0,0.9075,0.9603666666666667,0.8855485662936035,0.9604,60000.0,0.0,53339.0,0.0,0.8889833333333333,0.0,0.889,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,80953.0,0.0,0.3872645164993925,0.3872645164993925,0.0,0.3873,110961,120000,0.9247,116309,418076,0.2782
66.0,60000.0,39361.0,20482.0,0.6560166666666667,0.9973833333333333,0.0,0.9974,60000.0,0.0,53339.0,0.0,0.8889833333333333,0.0,0.889,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,58186.0,0.0,0.27835130454749857,0.27835130454749857,0.0,0.2784,113182,120000,0.9432,93542,418076,0.2237
68.0,60000.0,47553.0,12290.0,0.79255,0.9973833333333333,0.0,0.9974,60000.0,30721.0,26715.0,0.5120166666666667,0.9572666666666667,0.0,0.9573,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,58270.0,0.0,0.2787531453611305,0.2787531453611305,0.0,0.2788,117279,120000,0.9773,93626,418076,0.2239
70.0,60000.0,34315.0,25528.0,0.5719166666666666,0.9973833333333333,0.0,0.9974,60000.0,30721.0,26715.0,0.5120166666666667,0.9572666666666667,0.0,0.9573,209038.0,35356.0,0.0,0.16913671198538066,0.16913671198538066,0.0,0.1691,209038.0,58350.0,0.0,0.27913585089792287,0.27913585089792287,0.0,0.2791,117279,120000,0.9773,93706,418076,0.2241
72.0,60000.0,34315.0,25528.0,0.5719166666666666,0.9973833333333333,0.0,0.9974,60000.0,30721.0,26715.0,0.5120166666666667,0.9572666666666667,0.0,0.9573,209038.0,35834.0,0.0,0.17142337756771497,0.17142337756771497,0.0,0.1714,209038.0,58510.0,0.0,0.27990126197150755,0.27990126197150755,0.0,0.2799,117279,120000,0.9773,94344,418076,0.2257
74.0,60000.0,34315.0,25528.0,0.5719166666666666,0.9973833333333333,0.0,0.9974,60000.0,30721.0,26715.0,0.5120166666666667,0.9572666666666667,0.0,0.9573,209038.0,35874.0,0.0,0.17161473033611113,0.17161473033611113,0.0,0.1716,209038.0,22518.0,0.0,0.10772204096862771,0.10772204096862771,0.0,0.1077,117279,120000,0.9773,58392,418076,0.1397
