elapsed_s,prefill30000_max_total_num_tokens,prefill30000_num_used_tokens,prefill30000_evictable_tokens,prefill30000_token_usage,prefill30000_cache_occupancy,prefill30000_cache_hit_rate,prefill30000_occupancy_frac,prefill30001_max_total_num_tokens,prefill30001_num_used_tokens,prefill30001_evictable_tokens,prefill30001_token_usage,prefill30001_cache_occupancy,prefill30001_cache_hit_rate,prefill30001_occupancy_frac,decode30002_max_total_num_tokens,decode30002_num_used_tokens,decode30002_evictable_tokens,decode30002_token_usage,decode30002_cache_occupancy,decode30002_cache_hit_rate,decode30002_occupancy_frac,decode30003_max_total_num_tokens,decode30003_num_used_tokens,decode30003_evictable_tokens,decode30003_token_usage,decode30003_cache_occupancy,decode30003_cache_hit_rate,decode30003_occupancy_frac,prefill_used_tokens,prefill_max_tokens,prefill_occupancy_frac,decode_used_tokens,decode_max_tokens,decode_occupancy_frac
0.0,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,60000.0,0.0,4.0,0.0,6.666666666666667e-05,0.0,0.0001,,,,,,,,,,,,,,,9,120000,0.0001,0,0,
2.0,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,60000.0,12288.0,5.0,0.2048,0.20488333333333333,0.18406374501992032,0.2049,,,,,,,,,,,,,,,12298,120000,0.1025,0,0,
4.0,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,60000.0,16384.0,5.0,0.2730666666666667,0.27315,0.0,0.2732,,,,,,,,,,,,,,,16394,120000,0.1366,0,0,
6.0,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,60000.0,20508.0,12265.0,0.3418,0.5462166666666667,0.0,0.5462,209036.0,38838.0,0.0,0.1857957481008056,0.1857957481008056,0.0,0.1858,,,,,,,,32778,120000,0.2732,38838,209036,0.1858
8.0,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,60000.0,16790.0,24175.0,0.2798333333333333,0.68275,0.0,0.6827,209036.0,38918.0,0.0,0.1861784572992212,0.1861784572992212,0.0,0.1862,209036.0,12908.0,0.0,0.06175012916435447,0.06175012916435447,0.0,0.0618,40970,120000,0.3414,51826,418072,0.124
10.0,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,60000.0,20886.0,24175.0,0.3481,0.7510166666666667,0.0,0.751,209036.0,38983.0,0.0,0.18648940852293386,0.18648940852293386,0.0,0.1865,209036.0,12988.0,0.0,0.062132838362770046,0.062132838362770046,0.0,0.0621,45066,120000,0.3755,51971,418072,0.1243
12.0,60000.0,0.0,5.0,0.0,8.333333333333333e-05,0.0,0.0001,60000.0,20886.0,24175.0,0.3481,0.7510166666666667,0.0,0.751,209036.0,25740.0,0.0,0.12313668459021412,0.12313668459021412,0.0,0.1231,209036.0,13028.0,0.0,0.06232419296197784,0.06232419296197784,0.0,0.0623,45066,120000,0.3755,38768,418072,0.0927
14.0,60000.0,8222.0,11.0,0.13703333333333334,0.13721666666666665,0.0,0.1372,60000.0,20886.0,24175.0,0.3481,0.7510166666666667,0.0,0.751,209036.0,25900.0,0.0,0.12390210298704529,0.12390210298704529,0.0,0.1239,209036.0,13028.0,0.0,0.06232419296197784,0.06232419296197784,0.0,0.0623,53294,120000,0.4441,38928,418072,0.0931
16.0,60000.0,28088.0,11.0,0.46813333333333335,0.46831666666666666,0.758091188282542,0.4683,60000.0,20886.0,24175.0,0.3481,0.7510166666666667,0.0,0.751,209036.0,32363.0,0.0,0.15482022235404427,0.15482022235404427,0.0,0.1548,209036.0,13028.0,0.0,0.06232419296197784,0.06232419296197784,0.0,0.0623,73160,120000,0.6097,45391,418072,0.1086
18.0,60000.0,16932.0,15263.0,0.2822,0.5365833333333333,0.0,0.5366,60000.0,20886.0,24175.0,0.3481,0.7510166666666667,0.0,0.751,209036.0,32443.0,0.0,0.15520293155245987,0.15520293155245987,0.0,0.1552,209036.0,16224.0,0.0,0.07761342543868043,0.07761342543868043,0.0,0.0776,77256,120000,0.6438,48667,418072,0.1164
