elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,138108.0,25385.0,25433.0,43645.0,43645.0,84733.2,73756.2,32047.6,30851.6,0.0,61857.7,0.0,35109.2,63831.7,37399.2,102617.1,88648.2,128652.3,146590.9,148
2.0,138108.0,25385.0,25433.0,43645.0,43645.0,84813.9,73828.3,32120.2,30923.7,0.0,61880.5,0.0,35390.1,63854.5,37686.0,102926.6,88361.4,128652.3,146694.4,148
4.0,138108.0,25385.0,25433.0,43645.0,43645.0,84849.0,73863.1,32155.1,30958.4,0.0,61901.6,0.0,35423.2,63875.6,37731.9,102993.7,88315.6,128652.3,146750.7,148
6.0,138114.0,25387.0,25435.0,43645.0,43647.0,84860.8,73868.6,32161.0,30964.0,0.0,61925.4,0.0,35430.9,63899.2,37745.8,103031.2,88301.6,128652.3,146786.2,148
8.0,138134.0,25387.0,25435.0,43645.0,43667.0,84861.7,73869.5,32161.9,30964.9,0.0,61948.4,0.0,35431.8,63922.0,37869.7,103177.9,88177.7,128652.3,146810.1,148
10.0,138136.0,25387.0,25435.0,43647.0,43667.0,84862.0,73869.6,32162.0,30965.0,0.0,61971.6,0.0,35432.0,63944.9,37752.9,103084.0,88294.5,128652.3,146833.6,148
12.0,138136.0,25387.0,25435.0,43647.0,43667.0,84907.8,73908.7,32204.4,31004.1,0.0,61994.0,0.0,35471.1,63967.0,37805.2,103158.4,88242.2,128652.3,146901.8,148
14.0,138136.0,25387.0,25435.0,43647.0,43667.0,84917.3,73918.1,32213.9,31013.5,0.0,62016.5,0.0,35480.9,63989.5,37814.7,103190.4,88232.7,128652.3,146933.9,148
16.0,138136.0,25387.0,25435.0,43647.0,43667.0,84930.8,73931.5,32227.3,31026.9,0.0,62039.4,0.0,35494.1,64012.9,37816.7,103215.8,88230.7,128652.3,146970.2,148
18.0,138136.0,25387.0,25435.0,43647.0,43667.0,84933.0,73933.7,32229.5,31029.1,0.0,62061.7,0.0,35497.2,64035.1,37823.1,103244.4,88224.2,128652.3,146994.7,148
20.0,138138.0,25387.0,25435.0,43647.0,43669.0,84933.6,73934.3,32230.1,31029.7,0.0,62084.7,0.0,35494.7,64058.0,37828.4,103272.6,88219.0,128652.3,147018.3,148
22.0,138160.0,25387.0,25435.0,43667.0,43671.0,84957.2,73954.5,32250.3,31049.9,0.0,62107.6,0.0,35514.0,64080.6,37849.8,103316.6,88197.5,128652.3,147064.8,148
24.0,138160.0,25387.0,25435.0,43667.0,43671.0,84965.2,73962.6,32258.3,31057.9,0.0,62130.1,0.0,35524.1,64102.8,37860.7,103349.7,88186.7,128652.3,147095.3,148
26.0,138160.0,25387.0,25435.0,43667.0,43671.0,84967.1,73964.4,32260.2,31059.8,0.0,62153.6,0.0,35525.5,64126.2,37860.8,103373.3,88186.5,128652.3,147120.6,148
28.0,138160.0,25387.0,25435.0,43667.0,43671.0,84970.9,73968.2,32264.0,31063.6,0.0,62176.3,0.0,35529.4,64148.8,37881.9,103417.0,88165.5,128652.3,147147.2,148
30.0,138160.0,25387.0,25435.0,43667.0,43671.0,84972.8,73970.1,32265.9,31065.5,0.0,62198.4,0.0,35533.0,64170.8,37883.7,103440.7,88163.6,128652.3,147171.2,148
32.0,138160.0,25387.0,25435.0,43667.0,43671.0,85004.2,74001.6,32297.3,31096.9,0.0,62221.4,0.0,35563.9,64193.7,37912.1,103492.0,88135.3,128652.3,147225.6,148
34.0,138164.0,25387.0,25435.0,43669.0,43673.0,85004.5,74001.8,32297.6,31097.2,0.0,62244.2,0.0,35565.0,64215.9,37906.0,103508.2,88141.3,128652.3,147248.7,148
36.0,138164.0,25387.0,25435.0,43669.0,43673.0,85037.4,74031.4,32327.1,31126.8,0.0,62266.3,0.0,35586.1,64237.7,37920.7,103544.7,88126.6,128652.3,147303.7,148
38.0,138166.0,25389.0,25435.0,43669.0,43673.0,85041.0,74034.9,32330.7,31130.3,0.0,62289.3,0.0,35597.9,64262.3,37979.9,103628.5,88067.5,128652.3,147330.3,148
40.0,138168.0,25391.0,25435.0,43669.0,43673.0,85078.7,74072.7,32368.5,31168.1,0.0,62311.8,0.0,35640.4,64284.4,37982.3,103653.0,88065.0,128652.3,147390.5,148
42.0,138168.0,25391.0,25435.0,43669.0,43673.0,85081.8,74075.7,32371.5,31171.1,0.0,62334.6,0.0,35641.2,64306.4,37983.8,103676.5,88063.5,128652.3,147416.4,148
44.0,138168.0,25391.0,25435.0,43669.0,43673.0,85083.1,74077.1,32372.9,31172.5,0.0,62357.8,0.0,35645.6,64329.3,37977.7,103693.3,88069.6,128652.3,147441.0,148
46.0,138168.0,25391.0,25435.0,43669.0,43673.0,85083.9,74077.9,32373.6,31173.2,0.0,62379.5,0.0,35646.5,64350.7,37970.3,103707.3,88077.0,128652.3,147463.4,148
48.0,138170.0,25391.0,25437.0,43669.0,43673.0,85085.6,74079.6,32375.3,31175.0,0.0,62402.0,0.0,35648.3,64373.5,37982.3,103742.1,88065.0,128652.3,147487.6,148
50.0,138170.0,25391.0,25437.0,43669.0,43673.0,85099.8,74093.8,32389.5,31189.2,0.0,62425.7,0.0,35648.6,64398.3,37989.5,103774.1,88057.8,128652.3,147525.6,148
52.0,138170.0,25391.0,25437.0,43669.0,43673.0,85103.3,74097.3,32393.1,31192.7,0.0,62448.6,0.0,35666.6,64421.2,38047.0,103854.5,88000.3,128652.3,147552.0,148
54.0,138170.0,25391.0,25437.0,43669.0,43673.0,85106.0,74099.9,32395.7,31195.3,0.0,62470.9,0.0,35670.1,64442.8,38011.1,103840.2,88036.2,128652.3,147576.9,148
56.0,138170.0,25391.0,25437.0,43669.0,43673.0,85108.0,74102.0,32397.7,31197.4,0.0,62492.8,0.0,35672.0,64464.6,38009.4,103860.3,88037.9,128652.3,147600.8,148
58.0,138170.0,25391.0,25437.0,43669.0,43673.0,85108.5,74102.4,32398.2,31197.8,0.0,62515.7,0.0,35673.2,64487.4,38004.6,103878.4,88042.6,128652.3,147624.2,148
60.0,138170.0,25391.0,25437.0,43669.0,43673.0,85120.6,74114.5,32410.3,31209.9,0.0,62539.3,0.0,35686.7,64514.4,38034.1,103934.9,88013.1,128652.3,147659.9,148
62.0,138170.0,25391.0,25437.0,43669.0,43673.0,85130.0,74124.0,32419.7,31219.3,0.0,62562.2,0.0,35696.0,64535.9,38047.7,103970.0,87999.5,128652.3,147692.2,148
64.0,138170.0,25391.0,25437.0,43669.0,43673.0,85132.0,74126.0,32421.7,31221.4,0.0,62583.9,0.0,35698.4,64556.2,38047.5,103990.0,87999.8,128652.3,147715.9,148
66.0,138172.0,25391.0,25437.0,43671.0,43673.0,85132.2,74126.2,32422.0,31221.6,0.0,62607.6,0.0,35698.7,64579.9,38044.4,104010.6,88002.8,128652.3,147739.8,148
68.0,138172.0,25391.0,25437.0,43671.0,43673.0,85137.6,74131.5,32427.3,31226.9,0.0,62630.1,0.0,35703.9,64604.8,38073.6,104064.8,87973.6,128652.3,147767.6,148
70.0,138172.0,25391.0,25437.0,43671.0,43673.0,85138.3,74132.2,32428.0,31227.6,0.0,62652.7,0.0,35704.8,64624.3,38058.6,104069.2,87988.6,128652.3,147791.0,148
72.0,138172.0,25391.0,25437.0,43671.0,43673.0,85138.7,74132.7,32428.4,31228.0,0.0,62675.0,0.0,35702.8,64647.0,38050.9,104084.3,87996.3,128652.3,147813.7,148
74.0,138172.0,25391.0,25437.0,43671.0,43673.0,85141.9,74135.9,32431.6,31231.3,0.0,62698.0,0.0,35707.3,64670.4,38053.2,104109.9,87994.0,128652.3,147839.9,148
76.0,138172.0,25391.0,25437.0,43671.0,43673.0,85155.9,74149.9,32445.6,31245.3,0.0,62720.5,0.0,35713.4,64695.3,38064.4,104146.0,87982.8,128652.3,147876.4,148
78.0,138172.0,25391.0,25437.0,43671.0,43673.0,85156.6,74150.5,32446.3,31245.9,0.0,62743.1,0.0,35722.1,64718.6,38081.9,104186.8,87965.3,128652.3,147899.7,148
80.0,138172.0,25391.0,25437.0,43671.0,43673.0,85157.0,74150.9,32446.7,31246.3,0.0,62766.4,0.0,35722.4,64741.2,38165.9,104293.4,87881.3,128652.3,147923.3,148
82.0,138172.0,25391.0,25437.0,43671.0,43673.0,85160.5,74154.5,32450.3,31249.9,0.0,62788.6,0.0,35725.9,64763.9,38066.9,104217.2,87980.3,128652.3,147949.1,148
84.0,138172.0,25391.0,25437.0,43671.0,43673.0,85160.5,74154.5,32450.3,31249.9,0.0,62810.3,0.0,35726.6,64784.3,38067.3,104238.0,87979.9,128652.3,147970.9,148
86.0,138172.0,25391.0,25437.0,43671.0,43673.0,85160.6,74154.5,32450.3,31249.9,0.0,62833.5,0.0,35726.6,64811.3,38090.7,104288.4,87956.5,128652.3,147994.1,148
88.0,138172.0,25391.0,25437.0,43671.0,43673.0,85163.3,74157.3,32453.1,31252.7,0.0,62857.4,0.0,35729.5,64830.8,38076.2,104293.4,87970.9,128652.3,148020.8,148
