elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,176982.0,44398.0,44196.0,44194.0,44194.0,67689.2,55964.8,14974.6,13051.6,0.0,76757.1,0.0,16954.8,82316.8,19269.1,103702.7,105629.1,128652.3,144446.3,148
2.0,176892.0,44782.0,43722.0,44194.0,44194.0,67872.5,56036.2,15149.7,13122.9,0.0,76757.3,0.0,17229.1,82317.2,19907.9,104342.0,104990.3,128652.3,144629.8,148
4.0,176948.0,44838.0,43722.0,44194.0,44194.0,68020.4,56049.5,15291.5,13136.2,0.0,76757.6,0.0,17243.3,82317.1,19799.3,104233.2,105099.0,128652.3,144778.0,148
6.0,176950.0,44840.0,43722.0,44194.0,44194.0,68021.9,56050.7,15292.9,13137.5,0.0,76757.9,0.0,17244.8,82316.3,19804.9,104238.1,105093.3,128652.3,144779.8,148
8.0,176950.0,44840.0,43722.0,44194.0,44194.0,68022.4,56051.0,15293.2,13137.8,0.0,76758.3,0.0,17245.1,82316.5,19815.8,104249.1,105082.5,128652.3,144780.7,148
10.0,177528.0,44840.0,44300.0,44194.0,44194.0,68024.1,56052.5,15294.8,13139.3,0.0,76758.5,0.0,17244.8,82316.6,19818.6,104252.1,105079.6,128652.3,144782.5,148
12.0,177656.0,44968.0,44300.0,44194.0,44194.0,68030.3,56058.7,15301.0,13145.5,0.0,76758.5,0.0,17250.8,82316.7,19825.7,104259.2,105072.6,128652.3,144788.8,148
14.0,177812.0,44968.0,44436.0,44214.0,44194.0,68033.5,56061.7,15304.0,13148.4,0.0,76758.5,0.0,17254.2,82316.5,19905.9,104339.3,104992.3,128652.3,144792.0,148
16.0,177966.0,45122.0,44436.0,44214.0,44194.0,68043.1,56071.2,15313.6,13158.0,0.0,76758.5,0.0,17264.1,82316.3,19840.8,104273.9,105057.5,128652.3,144801.6,148
18.0,178126.0,45122.0,44596.0,44214.0,44194.0,68050.7,56078.7,15321.1,13165.5,0.0,76758.5,0.0,17266.8,82316.3,19851.1,104284.2,105047.2,128652.3,144809.2,148
20.0,178126.0,45122.0,44596.0,44214.0,44194.0,68051.1,56079.1,15321.6,13165.9,0.0,76758.5,0.0,17272.4,82316.3,19863.9,104297.1,105034.4,128652.3,144809.6,148
22.0,178126.0,45122.0,44596.0,44214.0,44194.0,68051.2,56079.2,15321.6,13166.0,0.0,76758.5,0.0,17272.5,82316.4,19868.0,104301.2,105030.2,128652.3,144809.7,148
24.0,178126.0,45122.0,44596.0,44214.0,44194.0,68051.2,56079.2,15321.6,13166.0,0.0,76758.7,0.0,17274.5,82316.5,19871.1,104304.5,105027.1,128652.3,144809.9,148
26.0,178126.0,45122.0,44596.0,44214.0,44194.0,68052.8,56080.7,15323.2,13167.5,0.0,76758.7,0.0,17276.6,82316.5,19871.5,104304.8,105026.8,128652.3,144811.4,148
28.0,178350.0,45346.0,44596.0,44214.0,44194.0,68055.7,56083.6,15326.1,13170.4,0.0,76758.7,0.0,17279.9,82316.6,19874.4,104307.9,105023.8,128652.3,144814.4,148
30.0,178592.0,45588.0,44596.0,44214.0,44194.0,68064.1,56092.0,15334.5,13178.8,0.0,76758.7,0.0,17286.0,82316.6,19876.2,104309.7,105022.0,128652.3,144822.8,148
32.0,178596.0,45592.0,44596.0,44214.0,44194.0,68097.7,56122.1,15368.0,13208.9,0.0,76758.7,0.0,17317.0,82316.7,19906.3,104339.9,104991.9,128652.3,144856.4,148
34.0,178616.0,45592.0,44596.0,44214.0,44214.0,68098.0,56122.4,15368.3,13209.1,0.0,76758.7,0.0,17317.5,82316.5,19909.8,104343.2,104988.4,128652.3,144856.7,148
36.0,178616.0,45592.0,44596.0,44214.0,44214.0,68098.1,56122.5,15368.4,13209.2,0.0,76758.8,0.0,17317.9,82316.4,19917.0,104350.3,104981.2,128652.3,144856.8,148
38.0,178620.0,45592.0,44596.0,44216.0,44216.0,68098.1,56122.5,15368.3,13209.2,0.0,76758.8,0.0,17319.7,82316.5,19920.5,104353.8,104977.7,128652.3,144856.8,148
40.0,178620.0,45592.0,44596.0,44216.0,44216.0,68098.1,56122.5,15368.4,13209.3,0.0,76758.8,0.0,17316.3,82316.5,19919.4,104352.7,104978.8,128652.3,144856.9,148
42.0,179046.0,45840.0,44774.0,44216.0,44216.0,68100.4,56124.8,15370.7,13211.6,0.0,76758.9,0.0,17316.9,82316.6,19918.2,104351.7,104980.0,128652.3,144859.3,148
44.0,179328.0,46122.0,44774.0,44216.0,44216.0,68105.3,56129.6,15375.5,13216.4,0.0,76758.9,0.0,17322.9,82315.9,19917.7,104350.5,104980.5,128652.3,144864.2,148
46.0,179328.0,46122.0,44774.0,44216.0,44216.0,68113.8,56138.1,15384.0,13224.9,0.0,76759.0,0.0,17332.1,82315.9,19927.2,104360.0,104971.0,128652.3,144872.8,148
48.0,179328.0,46122.0,44774.0,44216.0,44216.0,68113.8,56138.1,15384.0,13224.9,0.0,76759.0,0.0,17331.9,82315.9,19929.8,104362.6,104968.4,128652.3,144872.8,148
50.0,179328.0,46122.0,44774.0,44216.0,44216.0,68117.9,56142.1,15388.1,13228.9,0.0,76759.1,0.0,17336.1,82315.9,19938.6,104371.4,104959.6,128652.3,144876.9,148
52.0,179328.0,46122.0,44774.0,44216.0,44216.0,68117.9,56142.2,15388.1,13228.9,0.0,76759.1,0.0,17336.3,82315.9,19938.5,104371.4,104959.7,128652.3,144876.9,148
54.0,179528.0,46122.0,44974.0,44216.0,44216.0,68122.9,56143.8,15389.7,13230.6,0.0,76759.1,0.0,17338.2,82316.0,19942.7,104375.6,104955.5,128652.3,144882.0,148
56.0,179528.0,46122.0,44974.0,44216.0,44216.0,68144.6,56165.4,15411.3,13252.2,0.0,76759.1,0.0,17358.9,82315.8,21122.2,105554.9,103776.0,128652.3,144903.6,148
58.0,179528.0,46122.0,44974.0,44216.0,44216.0,68147.5,56168.4,15414.3,13255.1,0.0,76759.2,0.0,17363.5,82315.9,21171.7,105604.5,103726.5,128652.3,144906.7,148
60.0,179810.0,46122.0,45256.0,44216.0,44216.0,68147.5,56168.4,15414.3,13255.1,0.0,76759.2,0.0,17363.8,82315.8,19962.4,104395.1,104935.8,128652.3,144906.7,148
62.0,179810.0,46122.0,45256.0,44216.0,44216.0,68184.3,56198.1,15447.6,13284.9,0.0,76759.2,0.0,17393.9,82316.0,20000.2,104433.0,104898.0,128652.3,144943.5,148
