elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,158126.0,38448.0,40782.0,38114.0,40782.0,67731.6,55995.4,15002.9,13075.4,0.0,76401.3,0.0,16521.9,81308.9,18758.6,102238.8,106279.6,128652.3,144132.9,148
2.0,158036.0,38244.0,40782.0,38228.0,40782.0,67915.3,56067.1,15178.3,13147.0,0.0,76401.4,0.0,16792.9,81309.3,19145.9,102626.5,105892.4,128652.3,144316.7,148
4.0,158092.0,38244.0,40782.0,38284.0,40782.0,68060.6,56077.8,15317.6,13157.7,0.0,76401.5,0.0,16807.4,81309.4,19291.6,102772.4,105746.6,128652.3,144462.1,148
6.0,158172.0,38244.0,40782.0,38286.0,40860.0,68066.3,56083.4,15323.2,13163.4,0.0,76401.9,0.0,16812.0,81310.2,19300.5,102782.1,105737.7,128652.3,144468.3,148
8.0,158172.0,38244.0,40782.0,38286.0,40860.0,68067.7,56084.3,15324.2,13164.3,0.0,76401.9,0.0,16813.0,81310.2,19305.1,102786.7,105733.1,128652.3,144469.7,148
10.0,158172.0,38244.0,40782.0,38286.0,40860.0,68067.9,56084.5,15324.3,13164.4,0.0,76402.0,0.0,16813.2,81310.2,19308.4,102790.0,105729.8,128652.3,144469.9,148
12.0,158172.0,38244.0,40782.0,38286.0,40860.0,68068.0,56084.5,15324.4,13164.5,0.0,76402.0,0.0,16814.1,81310.2,19313.4,102795.0,105724.8,128652.3,144470.0,148
14.0,158402.0,38244.0,40782.0,38402.0,40974.0,68072.9,56089.3,15329.2,13169.3,0.0,76402.1,0.0,16836.2,81310.3,19365.5,102847.1,105672.7,128652.3,144475.0,148
16.0,158980.0,38822.0,40782.0,38402.0,40974.0,68073.9,56090.2,15330.2,13170.2,0.0,76402.2,0.0,16820.4,81310.6,19358.5,102840.4,105679.7,128652.3,144476.1,148
18.0,159188.0,38922.0,40882.0,38406.0,40978.0,70137.7,56105.8,17393.9,13185.7,0.0,76402.2,0.0,16836.8,81310.6,21473.7,104955.7,103564.5,128652.3,146539.9,148
20.0,159208.0,38922.0,40882.0,38406.0,40998.0,70141.0,56109.1,17397.2,13189.0,0.0,76402.2,0.0,16840.0,81310.2,21474.6,104956.2,103563.6,128652.3,146543.2,148
22.0,159208.0,38922.0,40882.0,38406.0,40998.0,70143.9,56111.9,17400.0,13191.9,0.0,76402.2,0.0,16839.5,81310.3,21474.4,104956.1,103563.8,128652.3,146546.1,148
24.0,159546.0,39092.0,41050.0,38406.0,40998.0,70147.9,56115.8,17403.9,13195.8,0.0,76402.2,0.0,16845.7,81310.3,21482.3,104964.0,103555.9,128652.3,146550.1,148
26.0,159550.0,39092.0,41050.0,38406.0,41002.0,70154.8,56119.4,17410.8,13199.4,0.0,76402.4,0.0,16849.5,81310.2,21487.2,104968.7,103551.0,128652.3,146557.2,148
28.0,159550.0,39092.0,41050.0,38406.0,41002.0,70155.4,56119.9,17411.4,13199.9,0.0,76402.4,0.0,16850.8,81310.2,21488.1,104969.6,103550.1,128652.3,146557.7,148
