elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,137378.0,25301.0,24787.0,43645.0,43645.0,66737.9,55767.1,14052.2,12859.1,0.0,78328.1,0.0,17085.2,80657.8,19044.9,101184.2,106907.1,128652.3,145066.0,148
2.0,137492.0,25415.0,24787.0,43645.0,43645.0,66750.7,55778.8,14064.3,12870.8,0.0,78328.1,0.0,17301.8,80658.1,19259.9,101399.5,106692.2,128652.3,145078.9,148
4.0,137492.0,25415.0,24787.0,43645.0,43645.0,66760.9,55788.8,14074.4,12880.8,0.0,78328.1,0.0,17312.3,80658.1,19286.6,101426.2,106665.5,128652.3,145089.0,148
6.0,137492.0,25415.0,24787.0,43645.0,43645.0,66768.0,55789.9,14075.8,12881.8,0.0,78328.3,0.0,17313.4,80658.2,19289.8,101429.6,106662.2,128652.3,145096.3,148
8.0,137494.0,25415.0,24787.0,43647.0,43645.0,66769.6,55791.3,14077.2,12883.3,0.0,78328.4,0.0,17314.8,80658.3,19290.4,101430.3,106661.6,128652.3,145097.9,148
10.0,137514.0,25415.0,24787.0,43667.0,43645.0,66769.7,55791.5,14077.4,12883.4,0.0,78328.5,0.0,17315.2,80658.2,19294.9,101434.6,106657.1,128652.3,145098.2,148
12.0,137514.0,25415.0,24787.0,43667.0,43645.0,66769.7,55791.5,14077.4,12883.5,0.0,78328.5,0.0,17315.2,80658.2,19296.3,101436.0,106655.7,128652.3,145098.3,148
14.0,137516.0,25417.0,24787.0,43667.0,43645.0,66792.7,55810.9,14100.2,12902.9,0.0,78328.6,0.0,17335.6,80658.2,19317.3,101457.1,106634.7,128652.3,145121.2,148
16.0,138028.0,25417.0,25299.0,43667.0,43645.0,66792.9,55811.2,14100.5,12903.2,0.0,78328.6,0.0,17335.7,80658.2,19311.4,101451.2,106640.0,128652.3,145121.5,148
18.0,138144.0,25417.0,25415.0,43667.0,43645.0,66837.3,55848.2,14137.4,12940.1,0.0,78328.6,0.0,17372.8,80658.3,19352.6,101492.4,106599.5,128652.3,145165.9,148
20.0,138146.0,25417.0,25415.0,43667.0,43647.0,66839.0,55849.8,14139.1,12941.7,0.0,78328.6,0.0,17374.3,80658.3,19353.3,101493.2,106598.7,128652.3,145167.5,148
22.0,138146.0,25417.0,25415.0,43667.0,43647.0,66843.6,55854.4,14143.7,12946.3,0.0,78328.6,0.0,17379.4,80658.3,19673.8,101813.7,106278.2,128652.3,145172.2,148
24.0,138146.0,25417.0,25415.0,43667.0,43647.0,66843.9,55854.7,14144.0,12946.6,0.0,78328.6,0.0,17379.3,80658.3,19368.7,101508.6,106583.3,128652.3,145172.5,148
