elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.2273,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,0,2,0
4.0,0.0,6.2915,6.2915,0.0,6.2915,0.0,0.0,0,0,0,4.4145,6.2915,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,13184,2,0
6.0,12.5829,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,6.5233,18.8744,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,38723,2,0
8.0,12.5829,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,6.5233,18.8744,0.0,1.665,0.0,0.0,0,0,0,0,9,0,0,0,51603,2,0
10.0,12.5829,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,6.5233,18.8744,0.0,1.665,0.0,0.0,0,0,0,0,9,0,0,0,51603,2,0
12.0,12.5829,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,8.67,18.8744,0.0,1.665,0.0,0.0,0,0,0,0,10,0,0,0,51603,2,0
14.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,10.6691,25.1658,0.0,3.3474,0.0,0.0,1,0,1,0,10,0,0,12260,85081,2,0
16.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,11.5358,25.1658,0.0,3.3474,0.0,0.0,1,0,1,0,11,0,0,12260,85081,2,0
18.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,12.6211,25.1658,0.0,7.1559,0.0,0.0,2,0,2,0,12,0,0,15252,118686,2,0
20.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,12.6211,25.1658,0.0,7.1559,0.0,0.0,2,0,2,0,12,0,0,15252,138873,2,0
22.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,12.6211,25.1658,0.0,7.1559,0.0,0.0,2,0,2,0,12,0,0,15252,138873,2,0
24.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,12.6211,25.1658,0.0,7.1559,0.0,0.0,2,0,2,0,12,0,0,15252,138873,2,0
26.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,12.6211,25.1658,0.0,7.1559,0.0,0.0,2,0,2,0,12,0,0,15252,138873,2,0
28.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,14.6365,25.1658,0.0,7.1559,0.0,0.0,3,0,3,0,12,0,0,19851,138873,2,0
30.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,16.0157,25.1658,0.0,9.0115,0.0,0.0,3,0,3,0,12,1,0,19851,166953,2,0
32.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,16.5687,25.1658,0.0,9.0115,0.0,0.0,3,0,3,0,13,1,0,19851,196923,2,0
34.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,17.2901,25.1658,0.0,15.1005,0.0,0.0,4,0,4,0,13,1,0,23862,236979,2,0
36.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,17.2901,25.1658,0.0,15.1005,0.0,0.0,4,0,4,0,13,1,0,23862,236979,2,0
38.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,17.2901,25.1658,0.0,15.1005,0.0,0.0,4,0,4,0,13,1,0,23862,236979,2,0
40.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,17.2901,25.1658,0.0,15.1005,0.0,0.0,4,0,4,0,13,1,0,23862,236979,2,0
42.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,17.7401,25.1658,0.0,17.9422,0.0,0.0,4,0,4,0,13,2,0,23862,268492,2,0
44.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,18.7151,25.1658,0.0,17.9422,0.0,0.0,4,0,4,0,13,4,0,23862,290846,2,0
46.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,18.7151,25.1658,0.0,17.9422,0.0,0.0,4,0,4,0,13,4,0,23862,326088,2,0
48.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,18.7151,25.1658,0.0,17.9422,0.0,0.0,4,0,4,0,13,4,0,23862,326088,2,0
50.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,19.2595,25.1658,0.0,22.0727,0.0,0.0,4,0,4,0,14,4,0,23862,348617,2,0
52.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,19.2595,25.1658,0.0,22.0727,0.0,0.0,4,0,4,0,14,4,0,23862,348617,2,0
54.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,19.6456,25.1658,0.0,22.0727,0.0,0.0,4,0,4,0,14,5,0,23862,348617,2,0
56.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,20.7954,25.1658,0.0,22.0727,0.0,0.0,4,0,4,0,14,7,0,23862,409739,2,0
58.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,21.8691,25.1658,0.0,22.0727,0.0,0.0,4,0,4,0,14,7,0,23862,409739,2,0
60.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,22.1482,25.1658,0.0,22.0727,0.0,0.0,4,0,4,0,15,7,0,23862,409739,2,0
62.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,19.3803,25.1658,0.0,25.0256,0.0,0.0,5,0,5,0,15,7,0,27482,473538,2,0
64.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,20.7216,25.1658,0.0,25.0256,0.0,0.0,5,0,5,0,16,7,0,27482,473538,2,0
66.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,20.7216,25.1658,0.0,28.6935,0.0,0.0,5,0,5,0,16,7,0,27482,506300,2,0
68.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,20.7216,25.1658,0.0,28.6935,0.0,0.0,5,0,5,0,16,7,0,27482,506300,2,0
70.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,25.3253,25.1658,0.0,32.0096,0.0,0.0,6,0,6,0,16,7,0,62380,542348,2,0
72.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,25.4214,25.1658,0.0,32.0096,0.0,0.0,6,0,6,0,16,8,0,62380,575843,2,0
74.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.026,25.1658,0.0,36.704,0.0,0.0,7,0,7,0,17,8,0,94099,605684,2,0
76.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.026,25.1658,0.0,41.3992,0.0,0.0,7,0,7,0,17,8,0,94099,647433,2,0
78.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.026,25.1658,0.0,41.3992,0.0,0.0,7,0,7,0,17,8,0,94099,647433,2,0
80.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.4741,25.1658,0.0,41.3992,0.0,0.0,7,0,7,0,17,9,0,94099,647433,2,0
82.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.4741,25.1658,0.0,41.3992,0.0,0.0,7,0,7,0,17,9,0,94099,680692,2,0
84.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.4741,25.1658,0.0,41.3992,0.0,0.0,7,0,7,0,17,9,0,94099,680692,2,0
86.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.4741,25.1658,0.0,41.3992,0.0,0.0,7,0,7,0,17,9,0,94099,680692,2,0
88.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.6,25.1658,0.0,45.7585,0.0,0.0,8,0,8,0,17,10,0,126668,716062,2,0
90.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,23.4355,25.1658,0.0,45.7585,0.0,0.0,8,0,8,0,18,10,1,126668,753529,2,0
92.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,24.6792,25.1658,0.0,50.1488,0.0,0.0,8,0,8,0,18,10,1,126668,788317,2,0
94.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,26.2898,25.1658,0.0,50.1488,0.0,0.0,8,0,8,0,18,10,1,126668,788317,2,0
96.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,27.3635,25.1658,0.0,50.1488,0.0,0.0,8,0,8,0,18,10,1,126668,788317,2,0
98.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,27.9004,25.1658,0.0,50.1488,0.0,0.0,8,0,8,0,18,10,1,126668,788317,2,0
100.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,24.4595,25.1658,0.0,50.1488,0.0,0.0,8,0,8,0,18,10,1,126668,788317,2,0
102.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,24.9446,25.1658,0.0,50.1488,0.0,0.0,8,0,8,0,18,10,1,126668,788317,2,0
104.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,25.1704,25.1658,0.0,54.7848,0.0,0.0,9,0,9,0,18,10,1,160532,833902,2,0
106.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,25.1704,25.1658,0.0,59.6957,0.0,0.0,9,0,9,0,18,10,1,160532,873090,2,0
108.0,12.5829,12.5829,25.1658,0.0,25.1658,0.0,0.0,0,0,0,27.3179,25.1658,0.0,59.6957,0.0,0.0,9,0,9,0,19,10,1,160532,873090,2,0
