elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.2273,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,0,2,0
4.0,6.2915,0.0,0.0,0.0,6.2915,0.0,6.2915,0.0,0.0,0,0,0,4.3689,6.2915,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,12836,2,0
6.0,6.2915,0.0,6.2915,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,6.5164,12.5829,6.2915,0.0,0.0,0.3333,0,0,0,0,9,0,0,0,25539,2,0
8.0,6.2915,0.0,6.2915,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,6.5236,12.5829,6.2915,1.6882,0.0,0.3333,0,0,0,0,9,0,0,0,51603,2,0
10.0,6.2915,0.0,6.2915,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,6.5236,12.5829,6.2915,1.6882,0.0,0.3333,0,0,0,0,9,0,0,0,51603,2,0
12.0,6.2915,0.0,6.2915,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,6.5236,12.5829,6.2915,1.6882,0.0,0.3333,0,0,0,0,9,0,0,0,51603,2,0
14.0,6.2915,0.0,6.2915,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,8.9513,12.5829,6.2915,3.4163,0.0,0.3333,1,0,1,0,9,0,0,11910,71051,2,0
16.0,6.2915,0.0,6.2915,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,8.9513,12.5829,6.2915,3.4163,0.0,0.3333,1,0,1,0,9,0,0,11910,71051,2,0
18.0,6.2915,0.0,6.2915,6.2915,18.8744,0.0,18.8744,0.0,0.0,0,0,0,11.7206,12.5829,6.2915,5.9653,0.0,0.3333,1,0,1,0,11,1,0,11910,71051,2,0
20.0,6.2915,6.2915,6.2915,6.2915,25.1658,1.879,27.0449,0.0695,1.879,1,0,0,11.7206,12.5829,12.5829,5.9653,0.0,0.5,1,0,1,0,11,1,0,11910,118686,2,0
22.0,6.2915,6.2915,6.2915,6.2915,25.1658,1.879,27.0449,0.0695,1.879,1,0,0,11.7206,12.5829,12.5829,5.9653,0.0,0.5,1,0,1,0,11,1,0,11910,118686,2,0
24.0,6.2915,6.2915,6.2915,6.2915,25.1658,1.879,27.0449,0.0695,1.879,1,0,0,15.28,12.5829,12.5829,5.9653,0.0,0.5,2,0,2,0,11,1,0,28288,118686,2,0
26.0,6.2915,6.2915,6.2915,6.2915,25.1658,1.879,27.0449,0.0695,1.879,1,0,0,15.28,12.5829,12.5829,8.0856,0.0,0.5,2,0,2,0,11,1,0,28288,146766,2,0
