elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,138154.0,25433.0,25431.0,43645.0,43645.0,84753.2,73743.0,32027.3,30832.3,0.0,83904.3,0.6,33872.7,86149.9,35905.3,123197.3,90386.1,128652.3,168657.5,148
1.2,138158.0,25435.0,25433.0,43645.0,43645.0,84792.7,73779.3,32064.4,30868.6,0.0,83904.7,0.6,33924.0,86150.3,35955.3,123247.7,90336.2,128652.3,168697.4,148
2.3,138160.0,25435.0,25435.0,43645.0,43645.0,84844.0,73830.4,32115.7,30919.7,0.0,83915.1,0.6,33981.8,86160.8,36029.0,123331.9,90262.5,128652.3,168759.1,148
3.6,138162.0,25435.0,25435.0,43645.0,43647.0,84862.0,73847.6,32133.1,30936.9,0.0,84072.2,0.6,34006.8,86319.1,36060.4,123521.6,90231.1,128652.3,168934.2,148
4.9,138164.0,25435.0,25435.0,43647.0,43647.0,84878.6,73864.2,32149.7,30953.5,0.0,85227.1,0.6,34022.5,87488.2,36086.8,124718.5,90203.3,128652.3,170105.7,148
6.1,138164.0,25435.0,25435.0,43647.0,43647.0,84879.1,73864.7,32150.3,30954.0,0.0,86287.8,0.6,34019.7,88561.9,36101.9,125809.3,90186.2,128652.3,171166.9,148
7.4,138166.0,25435.0,25435.0,43647.0,43649.0,84942.5,73928.0,32213.5,31017.3,0.0,87544.7,0.6,34110.2,89854.1,36191.8,127194.2,90093.5,128652.3,172487.2,148
8.6,138166.0,25435.0,25435.0,43647.0,43649.0,84988.9,73971.1,32259.9,31060.4,0.0,88170.3,0.6,34170.3,90502.2,36245.9,127897.8,90034.1,128652.3,173159.2,148
9.8,138168.0,25435.0,25435.0,43649.0,43649.0,85037.4,74012.9,32301.8,31102.2,0.0,87945.1,0.6,34241.1,90295.3,36314.2,127759.2,89969.8,128652.3,172982.5,148
11.0,138168.0,25435.0,25435.0,43649.0,43649.0,85049.2,74024.3,32312.6,31113.6,0.0,87935.1,8569.4,34263.6,90303.3,36324.0,127775.9,89961.0,128652.3,172984.2,148
