elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,147638.0,29636.0,29568.0,44240.0,44194.0,67696.0,55984.1,14948.0,13056.6,0.0,73703.8,0.0,16086.2,75725.1,18650.5,95495.1,107663.6,128652.3,141399.8,148
1.0,148108.0,30106.0,29568.0,44240.0,44194.0,67919.1,56019.4,15169.3,13091.8,0.0,73703.8,0.0,16136.2,75725.2,18985.5,95830.1,107328.7,128652.3,141622.9,148
2.1,148110.0,30108.0,29568.0,44240.0,44194.0,67997.9,56076.7,15247.9,13149.1,0.0,73703.8,0.0,16178.5,75725.0,18960.8,95805.2,107353.4,128652.3,141701.7,148
3.1,148152.0,30128.0,29570.0,44260.0,44194.0,68000.9,56078.8,15250.4,13151.2,0.0,73703.8,0.0,16199.6,75724.9,18989.9,95834.3,107324.2,128652.3,141704.8,148
4.2,148296.0,30128.0,29590.0,44260.0,44318.0,68011.4,56083.1,15260.7,13155.5,0.0,73704.7,0.0,16203.2,75725.8,19002.7,95848.0,107311.4,128652.3,141716.1,148
5.3,148296.0,30128.0,29590.0,44260.0,44318.0,68020.6,56086.1,15269.8,13158.5,0.0,73704.7,0.0,16205.9,75726.8,19025.4,95871.7,107288.7,128652.3,141725.3,148
6.3,148296.0,30128.0,29590.0,44260.0,44318.0,68022.3,56087.7,15271.4,13160.2,0.0,73704.7,0.0,16203.7,75726.7,19033.4,95879.5,107280.7,128652.3,141727.0,148
7.3,148364.0,30128.0,29590.0,44326.0,44320.0,68097.2,56159.0,15346.2,13231.5,0.0,73704.8,0.0,16325.6,75727.3,19329.6,96176.4,106984.6,128652.3,141802.0,148
8.4,148366.0,30128.0,29590.0,44328.0,44320.0,68140.2,56191.3,15384.4,13263.8,0.0,73707.8,0.0,16366.6,75730.2,19222.7,96072.5,107091.4,128652.3,141848.1,148
9.4,148366.0,30128.0,29590.0,44328.0,44320.0,68173.2,56220.8,15413.6,13293.3,0.0,73708.0,0.0,16428.4,75731.9,19295.0,96146.4,107019.1,128652.3,141881.2,148
10.5,148366.0,30128.0,29590.0,44328.0,44320.0,68192.7,56238.1,15431.2,13310.5,0.0,73708.0,0.0,16449.6,75731.9,19318.2,96169.6,106995.9,128652.3,141900.7,148
11.6,148366.0,30128.0,29590.0,44328.0,44320.0,68230.4,56272.1,15468.9,13344.6,0.0,73710.5,0.0,16487.2,75735.0,19360.9,96215.4,106953.2,128652.3,141940.9,148
12.6,148366.0,30128.0,29590.0,44328.0,44320.0,68244.4,56286.2,15483.0,13358.7,0.0,73710.5,0.0,16500.4,75735.2,19413.9,96268.5,106900.2,128652.3,141955.0,148
13.7,148366.0,30128.0,29590.0,44328.0,44320.0,68246.2,56288.0,15484.8,13360.5,0.0,73710.6,0.0,16506.4,75735.8,19383.9,96239.2,106930.2,128652.3,141956.8,148
14.7,148368.0,30130.0,29590.0,44328.0,44320.0,68280.2,56318.3,15515.0,13390.7,0.0,73710.6,0.0,16510.7,75734.9,19401.2,96255.6,106912.9,128652.3,141990.7,148
15.9,148368.0,30130.0,29590.0,44328.0,44320.0,68282.0,56320.1,15516.9,13392.5,0.0,73710.6,0.0,16541.6,75735.7,19445.4,96300.6,106868.7,128652.3,141992.6,148
17.0,148368.0,30130.0,29590.0,44328.0,44320.0,68293.9,56331.9,15528.8,13404.4,0.0,73710.6,0.0,16555.5,75735.4,19451.9,96306.8,106862.2,128652.3,142004.5,148
18.2,148368.0,30130.0,29590.0,44328.0,44320.0,68294.1,56332.1,15528.9,13404.6,0.0,73710.6,0.0,16554.9,75735.4,19505.9,96360.8,106808.2,128652.3,142004.7,148
19.3,148368.0,30130.0,29590.0,44328.0,44320.0,68298.2,56336.2,15533.0,13408.7,0.0,73710.6,0.0,16560.3,75735.9,19456.3,96311.7,106857.8,128652.3,142008.8,148
