elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,138210.0,25555.0,25365.0,43645.0,43645.0,66798.7,55772.7,14062.1,12859.5,0.0,54429.3,0.0,15927.6,56074.7,17886.5,74953.9,108554.3,128652.3,121228.0,148
1.1,138212.0,25555.0,25367.0,43645.0,43645.0,66822.6,55794.0,14084.2,12880.8,0.0,54429.3,0.0,15970.2,56075.0,17932.6,75000.3,108508.3,128652.3,121252.0,148
2.1,138214.0,25557.0,25367.0,43645.0,43645.0,66853.8,55824.6,14115.1,12911.4,0.0,54429.4,0.0,16001.4,56075.4,17972.7,75040.8,108468.2,128652.3,121283.3,148
3.1,138216.0,25557.0,25369.0,43645.0,43645.0,66864.9,55835.3,14125.9,12922.1,0.0,54429.6,0.0,16011.2,56075.2,17993.3,75061.2,108447.6,128652.3,121294.5,148
4.3,138220.0,25557.0,25369.0,43647.0,43647.0,66869.6,55839.8,14130.4,12926.6,0.0,54429.6,0.0,16017.3,56074.2,18005.3,75072.3,108435.5,128652.3,121299.2,148
5.5,138224.0,25559.0,25371.0,43647.0,43647.0,66870.0,55840.0,14130.6,12926.8,0.0,54429.6,0.0,16012.4,56073.9,18010.1,75076.7,108430.7,128652.3,121299.5,148
6.5,138224.0,25559.0,25371.0,43647.0,43647.0,66870.8,55840.8,14131.4,12927.6,0.0,54429.6,0.0,16011.3,56073.7,18013.4,75079.9,108427.4,128652.3,121300.4,148
7.6,138224.0,25559.0,25371.0,43647.0,43647.0,66877.0,55847.0,14137.6,12933.8,0.0,54429.6,0.0,16012.1,56073.6,18015.4,75081.8,108425.4,128652.3,121306.6,148
8.7,138224.0,25559.0,25371.0,43647.0,43647.0,66882.9,55852.8,14143.5,12939.6,0.0,54429.6,0.0,16024.6,56073.8,18210.7,75277.2,108230.2,128652.3,121312.5,148
9.9,138224.0,25559.0,25371.0,43647.0,43647.0,66887.7,55857.7,14148.3,12944.5,0.0,54429.8,0.0,16027.8,56074.0,18033.1,75099.8,108407.8,128652.3,121317.5,148
11.0,138224.0,25559.0,25371.0,43647.0,43647.0,66896.0,55866.0,14156.6,12952.8,0.0,54429.8,0.0,16035.1,56074.0,18048.3,75115.0,108392.5,128652.3,121325.8,148
12.3,138224.0,25559.0,25371.0,43647.0,43647.0,66896.9,55866.9,14157.5,12953.7,0.0,54429.8,0.0,16040.1,56074.5,18055.5,75122.7,108385.4,128652.3,121326.7,148
13.4,138226.0,25559.0,25371.0,43647.0,43649.0,66897.2,55867.2,14157.9,12954.0,0.0,54429.8,0.0,16039.7,56074.2,18071.5,75138.5,108369.3,128652.3,121327.0,148
14.5,138226.0,25559.0,25371.0,43647.0,43649.0,66919.3,55885.9,14179.9,12972.7,0.0,54429.8,0.0,16058.2,56074.4,18072.8,75140.0,108368.0,128652.3,121349.1,148
15.5,138228.0,25559.0,25371.0,43649.0,43649.0,66941.7,55904.9,14198.9,12991.7,0.0,54429.8,0.0,16078.1,56074.6,18099.5,75166.8,108341.4,128652.3,121371.5,148
16.6,138228.0,25559.0,25371.0,43649.0,43649.0,66948.9,55912.1,14206.1,12998.9,0.0,54429.8,0.0,16086.4,56075.7,18212.2,75280.7,108228.6,128652.3,121378.8,148
17.8,138228.0,25559.0,25371.0,43649.0,43649.0,66949.1,55912.3,14206.3,12999.2,0.0,54429.8,0.0,16086.3,56076.2,18113.0,75181.9,108327.9,128652.3,121379.0,148
18.8,138228.0,25559.0,25371.0,43649.0,43649.0,66949.3,55912.5,14206.5,12999.3,0.0,54429.8,0.0,16087.1,56075.9,18118.3,75187.0,108322.5,128652.3,121379.1,148
19.8,138228.0,25559.0,25371.0,43649.0,43649.0,66949.4,55912.6,14206.6,12999.4,0.0,54429.9,0.0,16087.7,56076.2,18259.1,75328.1,108181.7,128652.3,121379.3,148
20.9,138228.0,25559.0,25371.0,43649.0,43649.0,66949.9,55913.1,14207.1,12999.9,0.0,54429.9,0.0,16089.0,56075.7,18109.9,75178.3,108331.0,128652.3,121379.8,148
22.0,138228.0,25559.0,25371.0,43649.0,43649.0,66962.9,55926.1,14220.1,13012.9,0.0,54429.9,0.0,16099.4,56075.8,18195.8,75264.4,108245.0,128652.3,121392.8,148
23.1,138228.0,25559.0,25371.0,43649.0,43649.0,66962.9,55926.1,14220.1,13012.9,0.0,54430.0,0.0,16100.6,56075.9,18263.7,75332.3,108177.2,128652.3,121392.9,148
