elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,1.9509,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,12,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,3.0161,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,4.848,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
4.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,6.4586,1.8427,0.0,0.0,0.0,0.0,0,0,0,0,21,0,0,0,0,2,0
5.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,7.0003,3.1016,0.0,0.0,0.0,0.0,1,0,1,0,21,0,0,1,0,2,0
6.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,8.0742,3.1016,0.0,0.0,0.0,0.0,2,0,2,0,21,0,0,2,0,2,0
7.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,9.5854,3.1016,0.0,0.0,0.0,0.0,3,0,3,0,23,1,0,3248,0,2,0
8.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,10.7314,3.1016,0.0,0.0,0.0,0.0,3,0,3,0,24,1,0,3248,0,2,0
9.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,12.1543,3.1016,0.0,0.0,0.0,0.0,4,0,4,0,26,1,0,8390,0,2,0
10.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,12.5888,3.1016,0.0,0.0,0.0,0.0,4,0,4,0,28,1,0,8390,0,2,0
11.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,13.0377,3.1016,0.0,0.0,0.0,0.0,4,0,4,0,31,1,0,8390,0,2,0
12.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,12.887,3.1016,0.0,0.0,0.0,0.0,4,0,4,0,32,1,0,8390,0,2,0
13.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,12.887,3.1016,0.0,0.0,0.0,0.0,4,0,4,0,32,1,0,8390,0,2,0
14.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,13.6228,3.1016,0.0,0.0,0.0,0.0,4,0,4,0,37,2,0,8390,0,2,0
15.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,14.8765,3.1016,0.0,0.0,0.0,0.0,5,0,5,0,40,2,0,13617,0,2,0
16.0,0.0,1.1355,1.1355,0.0,1.1355,0.0,0.0,0,0,0,15.4129,3.1016,0.0,0.0,0.0,0.0,5,0,5,0,45,2,0,13617,0,2,0
17.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,14.9229,3.9322,0.0,0.0,0.0,0.0,5,0,5,0,46,2,0,13617,0,2,0
18.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,14.8716,3.9322,0.0,0.0,0.0,0.0,5,0,5,0,47,2,0,13617,0,2,0
19.0,0.0,1.9661,1.9661,0.0,1.9661,0.0,0.0,0,0,0,15.3557,3.9322,0.0,0.0,0.0,0.0,5,0,5,0,50,2,0,13617,0,2,0
20.0,0.7326,1.9661,2.6986,0.0,2.6986,0.0,0.0,0,0,0,15.6539,3.9322,0.7326,0.0,0.0,0.157,7,0,7,0,53,2,0,19266,0,2,0
21.0,0.7326,1.9661,2.6986,0.0,2.6986,0.0,0.0,0,0,0,15.6627,3.9322,0.7326,0.0,0.0,0.157,7,0,7,0,54,2,0,19266,0,2,0
22.0,0.7326,1.9661,2.6986,0.0,2.6986,0.0,0.0,0,0,0,14.7404,3.9322,0.7326,0.0,0.0,0.157,8,0,8,0,56,2,0,24444,0,2,0
23.0,1.9227,1.9661,3.8888,0.0,3.8888,0.0,0.0,0,0,0,13.6947,3.9322,1.9227,0.0,0.0,0.3284,9,0,9,0,57,2,0,24470,0,2,0
24.0,1.9227,1.9661,3.8888,0.0,3.8888,0.0,0.0,0,0,0,14.1892,3.9322,1.9227,0.0,0.0,0.3284,9,0,9,0,60,2,0,24470,0,2,0
25.0,1.9227,1.9661,3.8888,0.0,3.8888,0.0,0.0,0,0,0,14.6795,3.9322,1.9227,0.0,0.0,0.3284,12,0,12,0,63,2,0,32280,0,2,0
26.0,1.9227,1.9661,3.8888,0.0,3.8888,0.0,0.0,0,0,0,14.8733,3.9322,1.9227,0.0,0.0,0.3284,12,0,12,0,66,2,0,32280,0,2,0
27.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1526,3.9322,1.9661,0.0,0.0,0.3333,12,0,12,0,68,2,0,32280,0,2,0
28.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1653,3.9322,1.9661,0.0,0.0,0.3333,12,0,12,0,69,2,0,32280,0,2,0
29.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1076,3.9322,1.9661,0.0,0.0,0.3333,12,0,12,0,71,2,0,32280,0,2,0
30.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.4855,3.9322,2.6912,0.0,0.0,0.4063,14,0,14,0,74,3,0,32330,0,2,0
31.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.2593,3.9322,2.6912,0.0,0.0,0.4063,14,0,14,0,75,3,0,32330,0,2,0
32.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.5997,3.9322,2.6912,0.0,0.0,0.4063,14,0,14,0,80,3,0,32330,0,2,0
33.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.123,3.9322,2.6912,0.0,0.0,0.4063,15,0,15,0,81,3,0,32442,0,2,0
34.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.5131,3.9322,2.6912,0.0,0.0,0.4063,15,0,15,0,86,3,0,32442,0,2,0
35.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.628,3.9322,2.6912,0.0,0.0,0.4063,16,0,16,0,86,3,0,37988,0,2,0
36.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.6369,3.9322,2.6912,0.0,0.0,0.4063,16,0,16,0,89,3,0,37988,0,2,0
37.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1144,3.9322,2.6912,0.0,0.0,0.4063,17,0,17,0,95,3,0,38003,0,2,0
38.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.0068,3.9322,2.6912,0.0,0.0,0.4063,17,0,17,0,97,3,0,38003,0,2,0
39.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.741,3.9322,3.9322,0.0,0.0,0.5,17,0,17,0,100,3,0,38003,0,2,0
40.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.286,3.9322,3.9322,0.0,0.0,0.5,17,0,17,0,102,3,0,38003,0,2,0
41.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.9754,3.9322,3.9322,0.0,0.0,0.5,18,0,18,0,103,3,0,43548,0,2,0
42.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.828,3.9322,3.9322,0.0,0.0,0.5,20,0,20,0,105,3,0,53976,0,2,0
43.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.6473,3.9322,3.9322,0.0,0.0,0.5,20,0,20,0,109,3,0,53976,0,2,0
44.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1409,3.9322,3.9322,0.0,0.0,0.5,20,0,20,0,110,3,0,53976,0,2,0
45.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1273,3.9322,3.9322,0.0,0.0,0.5,20,0,20,0,112,3,0,53976,0,2,0
46.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.6887,3.9322,3.9322,0.0,0.0,0.5,22,0,22,0,115,3,0,59491,0,2,0
47.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.8708,3.9322,3.9322,0.0,0.0,0.5,22,0,22,0,116,3,0,59491,0,2,0
48.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1943,3.9322,3.9322,0.0,0.0,0.5,22,0,22,0,119,3,0,59491,0,2,0
49.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.5415,3.9322,3.9322,0.0,0.0,0.5,22,0,22,0,123,3,0,59491,0,2,0
50.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.6961,3.9322,3.9322,0.0,0.0,0.5,24,0,24,0,124,4,0,62777,0,2,0
51.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.0042,3.9322,3.9322,0.0,0.0,0.5,24,0,24,0,127,5,0,62777,0,2,0
52.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1068,3.9322,3.9322,0.0,0.0,0.5,24,0,24,0,130,5,0,62777,0,2,0
53.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.9263,3.9322,3.9322,0.0,0.0,0.5,24,0,24,0,132,5,0,62777,0,2,0
54.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1802,3.9322,3.9322,0.0,0.0,0.5,25,0,25,0,132,5,0,67126,0,2,0
55.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.1694,3.9322,3.9322,0.0,0.0,0.5,26,0,26,0,135,5,0,67143,0,2,0
56.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.9184,3.9322,3.9322,0.0,0.0,0.5,26,0,26,0,137,5,0,67143,0,2,0
57.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.6012,3.9322,3.9322,0.0,0.0,0.5,26,0,26,0,140,5,0,67143,0,2,0
58.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.2136,3.9322,3.9322,0.0,0.0,0.5,28,0,28,0,141,5,0,67192,0,2,0
59.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.7162,3.9322,3.9322,0.0,0.0,0.5,28,0,28,0,144,5,0,67192,0,2,0
60.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,13.5821,3.9322,3.9322,0.0,0.0,0.5,28,0,28,0,149,7,0,67192,0,2,0
61.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.8651,3.9322,3.9322,0.0,0.0,0.5,28,0,28,0,150,7,0,67192,0,2,0
62.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.7258,3.9322,3.9322,0.0,0.0,0.5,29,0,29,0,151,7,0,72833,0,2,0
63.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,13.5244,3.9322,3.9322,0.0,0.0,0.5,30,0,30,0,152,7,0,72851,0,2,0
64.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.0286,3.9322,3.9322,0.0,0.0,0.5,30,0,30,0,155,8,0,72851,0,2,0
65.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.041,3.9322,3.9322,0.0,0.0,0.5,30,0,30,0,156,8,0,72851,0,2,0
66.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.4377,3.9322,3.9322,0.0,0.0,0.5,31,0,31,0,159,8,0,77221,0,2,0
67.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.2133,3.9322,3.9322,0.0,0.0,0.5,32,0,32,0,162,8,0,77222,0,2,0
68.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.357,3.9322,3.9322,0.0,0.0,0.5,33,0,33,0,165,9,0,81601,0,2,0
69.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.8244,3.9322,3.9322,0.0,0.0,0.5,33,0,33,0,168,9,0,81601,0,2,0
70.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,13.9206,3.9322,3.9322,0.0,0.0,0.5,34,0,34,0,169,9,0,81630,0,2,0
71.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,13.7289,3.9322,3.9322,0.0,0.0,0.5,34,0,34,0,170,9,0,81630,0,2,0
72.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,13.7782,3.9322,3.9322,0.0,0.0,0.5,36,0,36,0,172,9,0,86180,0,2,0
73.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.7031,3.9322,3.9322,0.0,0.0,0.5,37,0,37,0,176,9,0,86181,0,2,0
74.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.72,3.9322,3.9322,0.0,0.0,0.5,37,0,37,0,179,9,0,86181,0,2,0
75.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.0107,3.9322,3.9322,0.0,0.0,0.5,38,0,38,0,181,9,0,86293,0,2,0
76.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.0751,3.9322,3.9322,0.0,0.0,0.5,39,0,39,0,184,9,0,89746,0,2,0
77.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.2159,3.9322,3.9322,0.0,0.0,0.5,39,0,39,0,186,9,0,89746,0,2,0
78.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.9991,3.9322,3.9322,0.0,0.0,0.5,39,0,39,0,190,9,0,89746,0,2,0
79.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.3445,3.9322,3.9322,0.0,0.0,0.5,40,0,40,0,193,10,0,95339,0,2,0
80.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.203,3.9322,3.9322,0.0,0.0,0.5,40,0,40,0,194,10,0,95339,0,2,0
81.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.0228,3.9322,3.9322,0.0,0.0,0.5,40,0,40,0,195,10,0,95339,0,2,0
82.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.8801,3.9322,3.9322,0.0,0.0,0.5,41,0,41,0,196,10,0,95386,0,2,0
83.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.2827,3.9322,3.9322,0.0,0.0,0.5,41,0,41,0,198,10,0,95386,0,2,0
84.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.2147,3.9322,3.9322,0.0,0.0,0.5,41,0,41,0,200,10,0,95386,0,2,0
85.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.9305,3.9322,3.9322,0.0,0.0,0.5,41,0,41,0,201,10,0,95386,0,2,0
86.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.9372,3.9322,3.9322,0.0,0.0,0.5,41,0,41,0,203,11,0,95386,0,2,0
87.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.6393,3.9322,3.9322,0.0,0.0,0.5,42,0,42,0,204,13,0,100725,0,2,0
88.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.366,3.9322,3.9322,0.0,0.0,0.5,42,0,42,0,208,13,0,100725,0,2,0
89.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.0855,3.9322,3.9322,0.0,0.0,0.5,42,0,42,0,210,14,0,100725,0,2,0
90.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.0277,3.9322,3.9322,0.0,0.0,0.5,43,0,43,0,212,15,0,106419,0,2,0
91.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.185,3.9322,3.9322,0.0,0.0,0.5,44,0,44,0,214,16,0,111774,0,2,0
92.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.5211,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,215,16,0,118306,0,2,0
93.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.5211,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,215,16,0,118306,0,2,0
94.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.9617,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,217,16,0,118306,0,2,0
95.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.5065,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,219,16,0,118306,0,2,0
96.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.8054,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,223,16,0,118306,0,2,0
97.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.2274,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,226,17,0,118306,0,2,0
98.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.3859,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,228,17,0,118306,0,2,0
99.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.1869,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,230,17,0,118306,0,2,0
100.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.6802,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,234,17,0,118306,0,2,0
101.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.7193,3.9322,3.9322,0.0,0.0,0.5,46,0,46,0,238,17,0,118306,0,2,0
102.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,14.6406,3.9322,3.9322,0.0,0.0,0.5,48,0,48,0,239,17,0,125315,0,2,0
103.0,1.9661,1.9661,3.9322,0.0,3.9322,0.0,0.0,0,0,0,15.2759,3.9322,3.9322,0.0,0.0,0.5,49,0,49,0,242,17,0,130152,0,2,0
