elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136902.0,24807.0,24805.0,43645.0,43645.0,84762.2,73754.4,32052.7,30853.2,0.0,38854.3,0.6,34506.0,40418.5,36636.1,78218.2,89633.9,128652.3,123616.5,148
1.1,136902.0,24807.0,24805.0,43645.0,43645.0,84762.2,73754.4,32052.7,30853.2,0.0,38854.4,0.6,35383.2,40418.8,37516.6,79099.0,88753.4,128652.3,123616.6,148
2.2,136910.0,24811.0,24809.0,43645.0,43645.0,84764.5,73756.7,32054.7,30855.5,0.0,38854.4,0.6,36017.8,40418.8,38154.4,79736.8,88115.6,128652.3,123619.0,148
3.3,136910.0,24811.0,24809.0,43645.0,43645.0,84793.7,73782.4,32081.4,30881.2,0.0,38869.6,0.6,35181.2,40433.5,37322.0,78919.1,88948.0,128652.3,123663.3,148
4.4,136910.0,24811.0,24809.0,43645.0,43645.0,84794.9,73783.5,32082.5,30882.3,0.0,38870.2,0.6,35184.3,40434.1,37322.9,78920.6,88947.1,128652.3,123665.1,148
5.5,136910.0,24811.0,24809.0,43645.0,43645.0,84795.1,73783.6,32082.7,30882.3,0.0,38870.4,0.6,35185.5,40434.3,37325.0,78922.9,88945.0,128652.3,123665.5,148
6.6,136910.0,24811.0,24809.0,43645.0,43645.0,84795.1,73783.6,32082.7,30882.4,0.0,38870.5,0.6,35185.4,40434.3,37326.3,78924.2,88943.7,128652.3,123665.6,148
7.6,136930.0,24811.0,24829.0,43645.0,43645.0,84798.3,73786.8,32085.9,30885.6,0.0,38870.5,0.6,35185.3,40434.3,37328.6,78926.6,88941.4,128652.3,123668.8,148
8.7,136930.0,24811.0,24829.0,43645.0,43645.0,84800.4,73788.9,32088.0,30887.7,0.0,38880.4,0.6,35190.8,40444.4,37334.4,78942.5,88935.6,128652.3,123680.8,148
9.8,136930.0,24811.0,24829.0,43645.0,43645.0,84800.9,73789.2,32088.3,30888.0,0.0,38880.5,0.6,35191.3,40444.5,37337.7,78945.8,88932.3,128652.3,123681.4,148
