elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,146586.0,29210.0,28942.0,44240.0,44194.0,67857.1,56052.9,15136.6,13135.3,0.0,32430.1,0.0,16732.1,33933.4,19551.6,54572.3,106794.8,128652.3,100287.2,148
1.1,146586.0,29210.0,28942.0,44240.0,44194.0,67857.2,56053.0,15136.6,13135.4,0.0,32430.1,0.0,17580.2,33933.7,20401.8,55422.7,105944.6,128652.3,100287.3,148
2.1,146896.0,29516.0,28946.0,44240.0,44194.0,67857.2,56053.0,15136.6,13135.4,0.0,32430.1,0.0,18172.6,33933.7,20995.9,56016.9,105350.5,128652.3,100287.3,148
3.1,146896.0,29516.0,28946.0,44240.0,44194.0,67991.8,56082.1,15269.6,13164.6,0.0,32430.3,0.0,17408.4,33933.8,20347.4,55368.3,105999.0,128652.3,100422.1,148
4.2,146898.0,29518.0,28946.0,44240.0,44194.0,67992.4,56082.2,15270.0,13164.7,0.0,32430.8,0.0,17410.3,33934.2,20349.3,55370.8,105997.0,128652.3,100423.2,148
5.2,146898.0,29518.0,28946.0,44240.0,44194.0,67992.8,56082.5,15270.4,13164.9,0.0,32431.1,0.0,17410.3,33934.4,20350.2,55371.9,105996.2,128652.3,100423.9,148
6.2,146898.0,29518.0,28946.0,44240.0,44194.0,67993.7,56083.4,15271.4,13165.8,0.0,32431.1,0.0,17411.3,33934.4,20351.6,55373.2,105994.8,128652.3,100424.8,148
7.2,146920.0,29518.0,28968.0,44240.0,44194.0,67993.8,56083.5,15271.4,13165.9,0.0,32431.1,0.0,17411.7,33934.4,20349.9,55371.6,105996.4,128652.3,100424.8,148
8.3,146920.0,29518.0,28968.0,44240.0,44194.0,67999.6,56089.3,15277.2,13171.7,0.0,32431.1,0.0,17416.8,33934.4,20359.2,55380.9,105987.1,128652.3,100430.7,148
9.3,146920.0,29518.0,28968.0,44240.0,44194.0,67999.6,56089.3,15277.2,13171.7,0.0,32431.1,0.0,17417.6,33934.3,20357.9,55379.4,105988.5,128652.3,100430.7,148
10.3,146968.0,29520.0,28968.0,44240.0,44240.0,67999.9,56089.6,15277.5,13172.0,0.0,32431.1,0.0,17418.0,33934.3,20357.9,55379.4,105988.5,128652.3,100431.0,148
11.3,147014.0,29520.0,28968.0,44286.0,44240.0,68006.9,56090.4,15284.4,13172.9,0.0,32431.2,0.0,17418.8,33934.5,20367.6,55389.3,105978.8,128652.3,100438.1,148
12.3,147014.0,29520.0,28968.0,44286.0,44240.0,68013.1,56090.6,15290.5,13173.0,0.0,32431.2,0.0,17418.9,33934.5,20375.2,55396.9,105971.2,128652.3,100444.3,148
13.3,147034.0,29520.0,28968.0,44306.0,44240.0,68013.2,56090.6,15290.6,13173.0,0.0,32431.2,0.0,17419.0,33934.5,20374.7,55396.4,105971.6,128652.3,100444.5,148
14.3,147054.0,29520.0,28968.0,44326.0,44240.0,68023.1,56099.7,15299.7,13182.1,0.0,32431.3,0.0,17427.6,33934.4,20384.9,55406.5,105961.5,128652.3,100454.4,148
15.3,147054.0,29520.0,28968.0,44326.0,44240.0,68023.6,56100.1,15300.1,13182.5,0.0,32431.3,0.0,17428.5,33934.4,20383.4,55405.0,105963.0,128652.3,100454.9,148
16.3,147054.0,29520.0,28968.0,44326.0,44240.0,68031.5,56107.9,15307.9,13190.4,0.0,32431.3,0.0,17429.0,33934.3,20383.2,55404.7,105963.2,128652.3,100462.8,148
17.3,147054.0,29520.0,28968.0,44326.0,44240.0,68031.5,56108.0,15308.0,13190.4,0.0,32431.3,0.0,17436.0,33934.4,20390.9,55412.5,105955.5,128652.3,100462.8,148
18.3,147054.0,29520.0,28968.0,44326.0,44240.0,68031.6,56108.0,15308.0,13190.5,0.0,32431.3,0.0,17436.9,33934.1,20395.6,55416.9,105950.8,128652.3,100462.9,148
19.3,147054.0,29520.0,28968.0,44326.0,44240.0,68031.6,56108.1,15308.0,13190.5,0.0,32431.3,0.0,17436.9,33934.1,20393.3,55414.7,105953.1,128652.3,100462.9,148
20.4,147054.0,29520.0,28968.0,44326.0,44240.0,68034.1,56110.3,15310.3,13192.8,0.0,32431.3,0.0,17443.9,33934.2,20396.3,55417.6,105950.1,128652.3,100465.4,148
21.4,147054.0,29520.0,28968.0,44326.0,44240.0,68034.1,56110.4,15310.3,13192.8,0.0,32431.3,0.0,17444.4,33934.2,20397.7,55419.1,105948.6,128652.3,100465.5,148
22.4,147054.0,29520.0,28968.0,44326.0,44240.0,68034.2,56110.4,15310.3,13192.8,0.0,32431.3,0.0,17444.2,33934.2,20397.2,55418.6,105949.1,128652.3,100465.5,148
23.4,147054.0,29520.0,28968.0,44326.0,44240.0,68034.2,56110.4,15310.4,13192.8,0.0,32431.3,0.0,17444.8,33934.1,20398.1,55419.4,105948.3,128652.3,100465.5,148
24.4,147054.0,29520.0,28968.0,44326.0,44240.0,68034.3,56110.5,15310.5,13192.9,0.0,32431.0,0.0,17442.2,33933.8,20398.7,55419.8,105947.7,128652.3,100465.3,148
25.4,147054.0,29520.0,28968.0,44326.0,44240.0,68034.4,56110.6,15310.6,13193.0,0.0,32431.0,0.0,17442.5,33933.9,20397.0,55418.1,105949.4,128652.3,100465.4,148
26.4,147074.0,29520.0,28968.0,44326.0,44260.0,68039.9,56116.1,15316.1,13198.5,0.0,32431.0,0.0,17447.3,33933.9,20407.4,55428.5,105939.0,128652.3,100470.9,148
27.4,147074.0,29520.0,28968.0,44326.0,44260.0,68040.0,56116.2,15316.2,13198.6,0.0,32431.0,0.0,17448.5,33933.9,20402.1,55423.2,105944.3,128652.3,100471.0,148
28.4,147074.0,29520.0,28968.0,44326.0,44260.0,68040.0,56116.2,15316.2,13198.6,0.0,32431.0,0.0,17448.0,33933.9,20402.0,55423.1,105944.4,128652.3,100471.0,148
29.4,147074.0,29520.0,28968.0,44326.0,44260.0,68040.0,56116.2,15316.2,13198.6,0.0,32431.2,0.0,17448.0,33934.0,20401.9,55423.2,105944.4,128652.3,100471.2,148
30.4,147074.0,29520.0,28968.0,44326.0,44260.0,68040.5,56116.5,15316.6,13198.9,0.0,32431.2,0.0,17456.4,33934.3,20406.5,55428.0,105939.9,128652.3,100471.6,148
31.4,147074.0,29520.0,28968.0,44326.0,44260.0,68040.5,56116.6,15316.6,13199.0,0.0,32431.5,0.0,17448.5,33934.6,20395.3,55417.1,105951.0,128652.3,100472.0,148
32.5,147074.0,29520.0,28968.0,44326.0,44260.0,68043.4,56119.5,15319.5,13201.9,0.0,32431.5,0.0,17451.3,33934.6,20398.3,55420.1,105948.0,128652.3,100474.9,148
33.5,147074.0,29520.0,28968.0,44326.0,44260.0,68047.8,56123.9,15324.0,13206.3,0.0,32431.5,0.0,17456.1,33934.6,20403.6,55425.4,105942.8,128652.3,100479.3,148
34.5,147074.0,29520.0,28968.0,44326.0,44260.0,68047.9,56124.0,15324.0,13206.4,0.0,32431.5,0.0,17456.1,33934.7,20401.0,55423.0,105945.3,128652.3,100479.4,148
35.5,147074.0,29520.0,28968.0,44326.0,44260.0,68048.2,56124.3,15324.3,13206.7,0.0,32431.5,0.0,17456.3,33934.5,20403.8,55425.5,105942.6,128652.3,100479.7,148
36.5,147074.0,29520.0,28968.0,44326.0,44260.0,68048.2,56124.3,15324.3,13206.7,0.0,32431.5,0.0,17456.3,33934.6,20404.9,55426.7,105941.4,128652.3,100479.7,148
37.5,147074.0,29520.0,28968.0,44326.0,44260.0,68048.2,56124.3,15324.4,13206.7,0.0,32431.5,0.0,17456.6,33934.6,20401.8,55423.6,105944.6,128652.3,100479.7,148
38.5,147074.0,29520.0,28968.0,44326.0,44260.0,68048.3,56124.3,15324.4,13206.8,0.0,32431.5,0.0,17457.2,33934.6,20399.8,55421.6,105946.6,128652.3,100479.8,148
39.5,147074.0,29520.0,28968.0,44326.0,44260.0,68048.4,56124.4,15324.5,13206.8,0.0,32431.5,0.0,17456.9,33934.6,20400.1,55422.0,105946.2,128652.3,100479.9,148
40.5,147074.0,29520.0,28968.0,44326.0,44260.0,68048.5,56124.5,15324.6,13207.0,0.0,32431.5,0.0,17456.9,33934.6,20400.2,55422.0,105946.2,128652.3,100480.0,148
41.5,147202.0,29648.0,28968.0,44326.0,44260.0,68048.5,56124.5,15324.6,13207.0,0.0,32431.6,0.0,17456.9,33934.7,20399.5,55421.4,105946.9,128652.3,100480.1,148
42.5,147202.0,29648.0,28968.0,44326.0,44260.0,68056.2,56132.1,15332.2,13214.5,0.0,32431.5,0.0,17460.8,33934.5,20405.2,55426.9,105941.2,128652.3,100487.7,148
43.5,147202.0,29648.0,28968.0,44326.0,44260.0,68056.2,56132.1,15332.2,13214.5,0.0,32431.5,0.0,17460.7,33934.1,20406.0,55427.3,105940.4,128652.3,100487.7,148
44.5,147202.0,29648.0,28968.0,44326.0,44260.0,68056.2,56132.1,15332.2,13214.5,0.0,32431.5,0.0,17461.9,33934.1,20407.8,55429.1,105938.6,128652.3,100487.8,148
45.5,147202.0,29648.0,28968.0,44326.0,44260.0,68056.4,56132.3,15332.4,13214.7,0.0,32431.7,0.0,17462.4,33934.2,20410.6,55432.1,105935.7,128652.3,100488.1,148
46.6,147202.0,29648.0,28968.0,44326.0,44260.0,68056.4,56132.3,15332.4,13214.7,0.0,32431.7,0.0,17462.8,33934.2,20411.6,55433.0,105934.8,128652.3,100488.1,148
47.6,147202.0,29648.0,28968.0,44326.0,44260.0,68062.4,56138.3,15338.4,13220.7,0.0,32431.7,0.0,17468.9,33934.3,20417.5,55439.0,105928.8,128652.3,100494.1,148
48.6,147202.0,29648.0,28968.0,44326.0,44260.0,68064.8,56140.6,15340.7,13223.0,0.0,32431.7,0.0,17471.2,33934.5,20419.7,55441.5,105926.6,128652.3,100496.4,148
49.6,147202.0,29648.0,28968.0,44326.0,44260.0,68064.8,56140.6,15340.8,13223.0,0.0,32431.7,0.0,17471.3,33934.5,20420.3,55442.1,105926.0,128652.3,100496.4,148
50.6,147202.0,29648.0,28968.0,44326.0,44260.0,68065.0,56140.8,15341.0,13223.2,0.0,32431.7,0.0,17469.3,33934.5,20418.6,55440.4,105927.7,128652.3,100496.6,148
51.6,147202.0,29648.0,28968.0,44326.0,44260.0,68065.1,56140.9,15341.1,13223.4,0.0,32431.7,0.0,17469.4,33934.5,20417.3,55439.1,105929.1,128652.3,100496.7,148
52.6,147202.0,29648.0,28968.0,44326.0,44260.0,68065.2,56141.1,15341.2,13223.5,0.0,32431.7,0.0,17469.6,33934.5,20417.7,55439.5,105928.6,128652.3,100496.9,148
53.6,147202.0,29648.0,28968.0,44326.0,44260.0,68065.2,56141.1,15341.2,13223.5,0.0,32431.7,0.0,17469.7,33934.5,20418.6,55440.3,105927.8,128652.3,100496.9,148
54.6,147202.0,29648.0,28968.0,44326.0,44260.0,68065.2,56141.1,15341.2,13223.5,0.0,32431.7,0.0,17469.7,33934.5,20418.4,55440.2,105927.9,128652.3,100496.9,148
55.7,147202.0,29648.0,28968.0,44326.0,44260.0,68065.5,56141.3,15341.5,13223.8,0.0,32431.7,0.0,17469.8,33934.5,20422.9,55444.7,105923.4,128652.3,100497.2,148
56.7,147202.0,29648.0,28968.0,44326.0,44260.0,68065.5,56141.4,15341.5,13223.8,0.0,32431.7,0.0,17470.5,33934.6,20425.1,55447.0,105921.3,128652.3,100497.2,148
57.7,147202.0,29648.0,28968.0,44326.0,44260.0,68065.5,56141.4,15341.5,13223.8,0.0,32431.7,0.0,17470.0,33934.5,20425.5,55447.2,105920.8,128652.3,100497.2,148
58.7,147202.0,29648.0,28968.0,44326.0,44260.0,68065.5,56141.4,15341.6,13223.8,0.0,32431.7,0.0,17470.8,33934.5,20425.8,55447.6,105920.5,128652.3,100497.2,148
59.7,147202.0,29648.0,28968.0,44326.0,44260.0,68065.7,56141.6,15341.7,13224.0,0.0,32431.7,0.0,17470.7,33934.5,20426.2,55448.0,105920.1,128652.3,100497.4,148
60.7,147268.0,29648.0,28968.0,44326.0,44326.0,68072.4,56142.3,15348.4,13224.8,0.0,32431.7,0.0,17471.1,33934.5,20428.9,55450.7,105917.4,128652.3,100504.1,148
61.7,147268.0,29648.0,28968.0,44326.0,44326.0,68072.4,56142.4,15348.4,13224.8,0.0,32431.7,0.0,17471.7,33934.5,20434.4,55456.1,105912.0,128652.3,100504.1,148
