elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136866.0,24789.0,24787.0,43645.0,43645.0,66744.1,55741.1,14028.1,12830.2,0.0,38821.0,0.0,16462.3,40380.1,18327.8,59869.3,107944.4,128652.3,105565.1,148
1.0,136866.0,24789.0,24787.0,43645.0,43645.0,66744.1,55741.1,14028.1,12830.2,0.0,38821.0,0.0,17312.5,40380.2,19182.5,60724.1,107089.8,128652.3,105565.1,148
2.0,136890.0,24791.0,24809.0,43645.0,43645.0,66744.1,55741.1,14028.0,12830.2,0.0,38821.0,0.0,17898.9,40380.3,19769.5,61311.1,106502.7,128652.3,105565.2,148
3.0,136890.0,24791.0,24809.0,43645.0,43645.0,66764.0,55757.7,14045.0,12846.8,0.0,38820.7,0.0,17128.3,40380.7,19009.8,60551.8,107262.4,128652.3,105584.7,148
4.0,136890.0,24791.0,24809.0,43645.0,43645.0,66764.7,55757.8,14045.6,12846.9,0.0,38821.0,0.0,17129.9,40380.8,19013.3,60555.4,107258.9,128652.3,105585.7,148
5.0,136890.0,24791.0,24809.0,43645.0,43645.0,66765.8,55758.9,14046.7,12848.0,0.0,38821.1,0.0,17129.8,40381.1,19015.3,60557.8,107256.9,128652.3,105587.0,148
6.0,136910.0,24811.0,24809.0,43645.0,43645.0,66765.9,55759.0,14046.7,12848.1,0.0,38821.2,0.0,17131.5,40381.3,19019.1,60561.8,107253.1,128652.3,105587.0,148
7.0,136910.0,24811.0,24809.0,43645.0,43645.0,66767.4,55760.4,14048.3,12849.5,0.0,38821.5,0.0,17130.7,40381.6,19027.1,60570.1,107245.1,128652.3,105588.9,148
8.0,136910.0,24811.0,24809.0,43645.0,43645.0,66767.4,55760.4,14048.3,12849.5,0.0,38821.5,0.0,17130.5,40381.6,19027.8,60570.7,107244.5,128652.3,105588.9,148
9.0,136910.0,24811.0,24809.0,43645.0,43645.0,66767.4,55760.5,14048.3,12849.6,0.0,38821.5,0.0,17130.5,40381.6,19024.7,60567.6,107247.6,128652.3,105589.0,148
10.0,136910.0,24811.0,24809.0,43645.0,43645.0,66767.7,55760.8,14048.6,12849.9,0.0,38821.5,0.0,17130.8,40381.6,19025.7,60568.7,107246.5,128652.3,105589.3,148
11.0,136910.0,24811.0,24809.0,43645.0,43645.0,66767.8,55760.8,14048.7,12849.9,0.0,38821.7,0.0,17131.2,40381.8,19025.7,60568.8,107246.5,128652.3,105589.4,148
12.0,136910.0,24811.0,24809.0,43645.0,43645.0,66767.9,55760.8,14048.7,12849.9,0.0,38821.7,0.0,17131.6,40381.8,19027.6,60570.8,107244.6,128652.3,105589.6,148
13.0,136952.0,24811.0,24851.0,43645.0,43645.0,66767.9,55760.8,14048.7,12849.9,0.0,38821.7,0.0,17131.2,40381.8,19028.2,60571.4,107244.0,128652.3,105589.6,148
14.0,136952.0,24811.0,24851.0,43645.0,43645.0,66771.9,55764.8,14052.6,12853.8,0.0,38821.7,0.0,17134.8,40381.8,19030.0,60573.1,107242.3,128652.3,105593.6,148
15.0,136978.0,24837.0,24851.0,43645.0,43645.0,66777.7,55770.5,14058.4,12859.6,0.0,38821.7,0.0,17137.7,40381.5,19099.1,60641.9,107173.2,128652.3,105599.4,148
16.0,136978.0,24837.0,24851.0,43645.0,43645.0,66779.1,55771.9,14059.8,12861.0,0.0,38821.7,0.0,17142.2,40381.7,19043.7,60586.7,107228.5,128652.3,105600.8,148
17.0,136978.0,24837.0,24851.0,43645.0,43645.0,66779.1,55771.9,14059.8,12861.0,0.0,38821.7,0.0,17142.5,40381.6,19046.6,60589.6,107225.6,128652.3,105600.9,148
18.0,137014.0,24873.0,24851.0,43645.0,43645.0,66779.1,55771.9,14059.8,12861.0,0.0,38821.7,0.0,17142.7,40381.6,19047.8,60590.8,107224.4,128652.3,105600.9,148
19.0,137014.0,24873.0,24851.0,43645.0,43645.0,66779.6,55772.4,14060.2,12861.5,0.0,38822.0,0.0,17143.0,40382.6,19049.8,60593.8,107222.4,128652.3,105601.6,148
