elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0248,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0472,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
5.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0472,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
6.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0472,0.0014,0.018,0.0,0.0,0.9257,0,0,0,0,13,0,0,0,0,2,0
7.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0472,0.0014,0.018,0.0,0.0,0.9257,0,0,0,0,13,0,0,0,0,2,0
8.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0472,0.0014,0.018,0.0,0.0,0.9257,0,0,0,0,13,0,0,0,0,2,0
9.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0792,0.0014,0.018,0.0,0.0,0.9257,1,0,1,0,13,0,0,84,0,2,0
10.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0792,0.0014,0.018,0.0,0.0,0.9257,1,0,1,0,13,0,0,84,0,2,0
11.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0792,0.0014,0.018,0.0,0.0,0.9257,1,0,1,0,13,0,0,84,0,2,0
12.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0792,0.0623,0.018,0.0,0.0,0.2239,1,0,1,0,13,0,0,84,0,2,0
13.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.0792,0.1771,0.018,0.0,0.0,0.0921,1,0,1,0,13,0,0,84,0,2,0
14.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.1244,0.2467,0.018,0.0,0.0,0.0679,2,0,2,0,13,0,0,416,0,2,0
15.0,0.018,0.0014,0.0194,0.0,0.0194,0.0,0.0,0,0,0,0.1244,0.2467,0.018,0.0,0.0,0.0679,2,0,2,0,13,0,0,416,0,2,0
16.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.1777,0.3188,0.018,0.0,0.0,0.0533,3,0,3,0,13,0,0,808,0,2,0
17.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.2983,0.3188,0.018,0.0,0.0,0.0533,5,0,5,0,13,0,0,1637,0,2,0
18.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.2983,0.403,0.018,0.0,0.0,0.0427,5,0,5,0,13,0,0,1637,0,2,0
19.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.3665,0.403,0.018,0.0,0.0,0.0427,6,0,6,0,13,0,0,2136,0,2,0
20.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.3665,0.403,0.018,0.0,0.0,0.0427,6,0,6,0,13,0,0,2136,0,2,0
21.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.447,0.403,0.018,0.0,0.0,0.0427,7,0,7,0,13,0,0,2704,0,2,0
22.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.447,0.403,0.018,0.0,0.0,0.0427,7,0,7,0,13,0,0,2704,0,2,0
23.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.447,0.403,0.018,0.0,0.0,0.0427,7,0,7,0,13,0,0,2704,0,2,0
24.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.447,0.403,0.018,0.0,0.0,0.0427,7,0,7,0,13,0,0,2704,0,2,0
25.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.447,0.5246,0.018,0.0,0.0,0.0331,7,0,7,0,13,0,0,2704,0,2,0
26.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.447,0.5246,0.018,0.0,0.0,0.0331,7,0,7,0,13,0,0,2704,0,2,0
27.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.5319,0.5246,0.018,0.0,0.0,0.0331,8,0,8,0,13,0,0,3334,0,2,0
28.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.5319,0.7872,0.018,0.0,0.0,0.0223,8,0,8,0,13,0,0,3334,0,2,0
29.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.5319,0.7872,0.018,0.0,0.0,0.0223,8,0,8,0,13,0,0,3334,0,2,0
30.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.5319,0.7872,0.018,0.0,0.0,0.0223,8,0,8,0,13,0,0,3334,0,2,0
31.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.8007,1.0664,0.018,0.0,0.0,0.0166,10,0,10,0,13,0,0,5255,0,2,0
32.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.8007,1.2259,0.018,0.0,0.0,0.0144,10,0,10,0,13,0,0,5255,0,2,0
33.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.8663,1.3732,0.018,0.0,0.0,0.0129,11,0,11,0,13,0,0,5715,0,2,0
34.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.8897,1.3732,0.018,0.0,0.0,0.0129,12,0,12,0,13,0,0,5869,0,2,0
35.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,0.9723,1.3732,0.018,0.0,0.0,0.0129,13,0,13,0,13,0,0,6478,0,2,0
36.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,1.063,1.3732,0.018,0.0,0.0,0.0129,14,0,14,0,13,0,0,7140,0,2,0
37.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,1.063,1.5448,0.018,0.0,0.0,0.0115,14,0,14,0,13,0,0,7140,0,2,0
38.0,0.018,0.0735,0.0915,0.0,0.0915,0.0,0.0,0,0,0,1.063,1.5448,0.018,0.0,0.0,0.0115,14,0,14,0,13,0,0,7140,0,2,0
