elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,159294.0,48236.0,31568.0,47970.0,31520.0,67773.0,55963.4,15038.0,13044.1,0.0,25016.8,0.0,16451.6,26581.6,18976.8,47026.6,106698.0,128652.3,92789.8,148
1.1,159294.0,48236.0,31568.0,47970.0,31520.0,67773.2,55963.6,15038.2,13044.3,0.0,25016.8,0.0,17304.6,26581.7,19834.2,47884.1,105840.6,128652.3,92790.0,148
2.1,159592.0,48366.0,31568.0,48138.0,31520.0,67773.5,55963.8,15038.5,13044.6,0.0,25016.8,0.0,17893.8,26581.7,20425.1,48474.9,105249.8,128652.3,92790.3,148
3.3,159780.0,48506.0,31614.0,48138.0,31522.0,67905.6,56010.5,15167.7,13091.2,0.0,25017.0,0.0,17118.6,26582.8,20026.2,48077.2,105648.6,128652.3,92922.6,148
4.3,159826.0,48506.0,31614.0,48138.0,31568.0,68007.7,56020.7,15269.6,13101.5,0.0,25017.2,0.0,17133.1,26581.6,20057.5,48107.4,105617.3,128652.3,93024.9,148
5.3,159826.0,48506.0,31614.0,48138.0,31568.0,68014.9,56021.8,15276.8,13102.6,0.0,25017.2,0.0,17134.6,26581.0,19873.5,47922.7,105801.4,128652.3,93032.2,148
6.3,159826.0,48506.0,31614.0,48138.0,31568.0,68015.2,56022.1,15277.0,13102.8,0.0,25017.2,0.0,17135.0,26581.0,19874.1,47923.3,105800.8,128652.3,93032.4,148
7.3,159826.0,48506.0,31614.0,48138.0,31568.0,68020.2,56027.0,15282.0,13107.8,0.0,25017.2,0.0,17140.6,26580.9,19882.9,47932.0,105792.0,128652.3,93037.5,148
8.3,159826.0,48506.0,31614.0,48138.0,31568.0,68020.6,56027.3,15282.3,13108.1,0.0,25017.2,0.0,17141.5,26580.9,19886.3,47935.4,105788.5,128652.3,93037.8,148
9.3,159830.0,48510.0,31614.0,48138.0,31568.0,68024.5,56030.8,15285.8,13111.5,0.0,25017.2,0.0,17142.6,26580.9,19888.4,47937.5,105786.4,128652.3,93041.7,148
10.4,159830.0,48510.0,31614.0,48138.0,31568.0,68024.7,56031.0,15286.0,13111.7,0.0,25017.2,0.0,17145.8,26580.7,19889.1,47938.1,105785.8,128652.3,93041.9,148
