elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,181446.0,45292.0,45564.0,45026.0,45564.0,67847.8,56030.0,15114.2,13113.8,0.0,25809.2,0.0,16052.3,27372.2,18607.8,47458.8,107056.5,128652.3,93657.0,148
1.0,181446.0,45292.0,45564.0,45026.0,45564.0,67848.0,56030.2,15114.4,13114.0,0.0,25809.2,0.0,16876.7,27372.2,19436.0,48287.1,106228.2,128652.3,93657.2,148
2.0,181664.0,45440.0,45564.0,45096.0,45564.0,67848.1,56030.4,15114.5,13114.1,0.0,25809.2,0.0,17455.6,27372.3,20016.1,48867.2,105647.7,128652.3,93657.4,148
3.1,181910.0,45686.0,45564.0,45096.0,45564.0,68005.1,56080.8,15268.7,13164.6,0.0,25809.2,0.0,16713.6,27372.0,19536.5,48387.3,106127.7,128652.3,93814.3,148
4.2,181910.0,45686.0,45564.0,45096.0,45564.0,68010.9,56081.9,15274.3,13165.7,0.0,25809.3,0.0,16722.5,27371.6,19409.8,48260.2,106254.4,128652.3,93820.2,148
5.2,181910.0,45686.0,45564.0,45096.0,45564.0,68011.2,56082.2,15274.5,13166.0,0.0,25809.5,0.0,16737.8,27371.8,19426.3,48277.0,106237.9,128652.3,93820.7,148
6.3,181912.0,45688.0,45564.0,45096.0,45564.0,68011.5,56082.4,15274.8,13166.2,0.0,25809.5,0.0,16726.8,27371.8,19421.8,48272.4,106242.5,128652.3,93821.1,148
7.3,181912.0,45688.0,45564.0,45096.0,45564.0,68014.5,56084.9,15277.3,13168.6,0.0,25809.7,0.0,16729.5,27372.0,19425.2,48276.0,106239.0,128652.3,93824.1,148
8.3,181914.0,45688.0,45564.0,45098.0,45564.0,68015.2,56085.5,15277.9,13169.3,0.0,25809.7,0.0,16732.0,27371.9,19423.9,48274.6,106240.4,128652.3,93824.9,148
9.4,181916.0,45688.0,45564.0,45100.0,45564.0,68016.4,56086.6,15279.1,13170.4,0.0,25809.7,0.0,16733.7,27371.9,19422.3,48273.0,106242.0,128652.3,93826.1,148
10.4,181916.0,45688.0,45564.0,45100.0,45564.0,68016.6,56086.8,15279.2,13170.6,0.0,25809.7,0.0,16734.1,27371.8,19428.8,48279.4,106235.5,128652.3,93826.2,148
11.5,181922.0,45694.0,45564.0,45100.0,45564.0,68021.4,56091.6,15284.1,13175.4,0.0,25809.7,0.0,16735.2,27371.8,19429.6,48280.3,106234.6,128652.3,93831.1,148
12.5,181922.0,45694.0,45564.0,45100.0,45564.0,68021.8,56092.0,15284.4,13175.8,0.0,25809.7,0.0,16741.3,27371.7,19434.7,48285.2,106229.6,128652.3,93831.5,148
13.5,181924.0,45694.0,45564.0,45102.0,45564.0,68021.9,56092.1,15284.6,13175.9,0.0,25809.7,0.0,16740.3,27371.7,19433.0,48283.5,106231.2,128652.3,93831.6,148
14.6,181924.0,45694.0,45564.0,45102.0,45564.0,68022.7,56092.8,15285.3,13176.6,0.0,25809.7,0.0,16742.5,27371.6,19431.8,48282.2,106232.4,128652.3,93832.4,148
15.7,181798.0,45566.0,45564.0,45102.0,45566.0,68022.8,56093.0,15285.4,13176.8,0.0,25809.7,0.0,16744.1,27371.8,19432.1,48282.7,106232.1,128652.3,93832.5,148
