t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,,,,,,,,,,,,
3.50,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,0.0144,1564,16,108255,0.0144,0.0000,0.0213,2307,16,108256,0.0213,0.0000
4.50,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,0.0144,1564,16,108255,0.0144,0.0000,0.0213,2307,16,108256,0.0213,0.0000
5.00,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,0.0180,1949,15,108255,0.0180,0.0000,0.0245,2656,15,108256,0.0245,0.0000
5.50,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,0.0180,1949,15,108255,0.0180,0.0000,0.0245,2656,15,108256,0.0245,0.0000
6.00,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,0.0232,2509,14,108255,0.0232,0.0000,0.0301,3256,15,108256,0.0301,0.0000
6.50,0.0047,951,0,204790,0.0046,0.3470,0.0009,165,0,204789,0.0008,0.1957,0.0232,2509,14,108255,0.0232,0.0000,0.0301,3256,15,108256,0.0301,0.0000
7.00,0.0047,951,0,204790,0.0046,0.3470,0.0059,90,0,204789,0.0004,0.7087,0.0245,2654,12,108255,0.0245,0.0000,0.0356,3856,15,108256,0.0356,0.0000
7.50,0.0047,951,0,204790,0.0046,0.3470,0.0073,278,0,204789,0.0014,0.9553,0.0245,2654,12,108255,0.0245,0.0000,0.0356,3856,15,108256,0.0356,0.0000
8.00,0.0047,951,0,204790,0.0046,0.3470,0.0077,123,0,204789,0.0006,0.8092,0.0333,3601,14,108255,0.0333,0.0000,0.0412,4456,15,108256,0.0412,0.0000
8.50,0.0047,951,0,204790,0.0046,0.3470,0.0077,123,0,204789,0.0006,0.8092,0.0333,3601,14,108255,0.0333,0.0000,0.0412,4456,15,108256,0.0412,0.0000
9.00,0.0047,951,0,204790,0.0046,0.3470,0.0077,123,0,204789,0.0006,0.8092,0.0355,3846,14,108255,0.0355,0.0000,0.0467,5056,15,108256,0.0467,0.0000
9.50,0.0041,191,0,204790,0.0009,0.8304,0.0077,123,0,204789,0.0006,0.8092,0.0355,3846,14,108255,0.0355,0.0000,0.0467,5056,15,108256,0.0467,0.0000
10.00,0.0050,187,0,204790,0.0009,0.7664,0.0077,123,0,204789,0.0006,0.8092,0.0382,4137,12,108255,0.0382,0.0000,0.0545,5905,17,108256,0.0545,0.0000
10.50,0.0050,187,0,204790,0.0009,0.7664,0.0077,123,0,204789,0.0006,0.8092,0.0382,4137,12,108255,0.0382,0.0000,0.0545,5905,17,108256,0.0545,0.0000
11.00,0.0050,187,0,204790,0.0009,0.7664,0.0077,123,0,204789,0.0006,0.8092,0.0426,4617,12,108255,0.0426,0.0000,0.0605,6545,16,108256,0.0605,0.0000
11.50,0.0050,187,0,204790,0.0009,0.7664,0.0077,123,0,204789,0.0006,0.8092,0.0426,4617,12,108255,0.0426,0.0000,0.0605,6545,16,108256,0.0605,0.0000
12.00,0.0063,294,0,204790,0.0014,0.7840,0.0082,200,0,204789,0.0010,0.8850,0.0443,4801,11,108255,0.0443,0.0000,0.0698,7560,16,108256,0.0698,0.0000
12.50,0.0063,294,0,204790,0.0014,0.7840,0.0086,197,0,204789,0.0010,0.9163,0.0443,4801,11,108255,0.0443,0.0000,0.0698,7560,16,108256,0.0698,0.0000
13.00,0.0063,294,0,204790,0.0014,0.7840,0.0097,242,0,204789,0.0012,0.8930,0.0495,5359,13,108255,0.0495,0.0000,0.0761,8236,17,108256,0.0761,0.0000
13.50,0.0063,294,0,204790,0.0014,0.7840,0.0097,242,0,204789,0.0012,0.8930,0.0495,5359,13,108255,0.0495,0.0000,0.0761,8236,17,108256,0.0761,0.0000
14.00,0.0063,294,0,204790,0.0014,0.7840,0.0097,242,0,204789,0.0012,0.8930,0.0403,4365,10,108255,0.0403,0.0000,0.0824,8916,17,108256,0.0824,0.0000
14.50,0.0063,294,0,204790,0.0014,0.7840,0.0097,242,0,204789,0.0012,0.8930,0.0403,4365,10,108255,0.0403,0.0000,0.0824,8916,17,108256,0.0824,0.0000
15.00,0.0084,512,0,204790,0.0025,0.8366,0.0097,242,0,204789,0.0012,0.8930,0.0497,5384,11,108255,0.0497,0.0000,0.0845,9147,17,108256,0.0845,0.0000
15.50,0.0089,36,0,204790,0.0002,0.2057,0.0097,242,0,204789,0.0012,0.8930,0.0497,5384,11,108255,0.0497,0.0000,0.0845,9147,17,108256,0.0845,0.0000
16.00,0.0114,419,0,204790,0.0020,0.9654,0.0097,242,0,204789,0.0012,0.8930,0.0497,5384,11,108255,0.0497,0.0000,0.0904,9787,16,108256,0.0904,0.0000
16.50,0.0160,975,0,204790,0.0048,0.9629,0.0120,481,0,204789,0.0023,0.9093,0.0513,5552,11,108255,0.0513,0.0000,0.0904,9787,16,108256,0.0904,0.0000
17.00,0.0160,975,0,204790,0.0048,0.9629,0.0120,481,0,204789,0.0023,0.9093,0.0513,5552,11,108255,0.0513,0.0000,0.0904,9787,16,108256,0.0904,0.0000
17.50,0.0160,975,0,204790,0.0048,0.9629,0.0120,481,0,204789,0.0023,0.9093,0.0565,6118,11,108255,0.0565,0.0000,0.0963,10427,16,108256,0.0963,0.0000
18.00,0.0160,975,0,204790,0.0048,0.9629,0.0142,447,0,204789,0.0022,0.9470,0.0565,6118,11,108255,0.0565,0.0000,0.0963,10427,16,108256,0.0963,0.0000
18.50,0.0160,975,0,204790,0.0048,0.9629,0.0168,528,0,204789,0.0026,0.9742,0.0580,6282,10,108255,0.0580,0.0000,0.1066,11542,17,108256,0.1066,0.0000
19.00,0.0160,975,0,204790,0.0048,0.9629,0.0168,528,0,204789,0.0026,0.9742,0.0580,6282,10,108255,0.0580,0.0000,0.1066,11542,17,108256,0.1066,0.0000
19.50,0.0160,975,0,204790,0.0048,0.9629,0.0168,528,0,204789,0.0026,0.9742,0.0617,6682,10,108255,0.0617,0.0000,0.1182,12792,18,108256,0.1182,0.0000
20.00,0.0211,837,0,204790,0.0041,0.9199,0.0168,528,0,204789,0.0026,0.9742,0.0617,6682,10,108255,0.0617,0.0000,0.1182,12792,18,108256,0.1182,0.0000
20.50,0.0211,837,0,204790,0.0041,0.9199,0.0168,528,0,204789,0.0026,0.9742,0.0600,6491,10,108255,0.0600,0.0000,0.1248,13512,18,108256,0.1248,0.0000
21.00,0.0217,252,0,204790,0.0012,0.8968,0.0168,528,0,204789,0.0026,0.9742,0.0600,6491,10,108255,0.0600,0.0000,0.1248,13512,18,108256,0.1248,0.0000
21.50,0.0217,252,0,204790,0.0012,0.8968,0.0168,528,0,204789,0.0026,0.9742,0.0637,6891,10,108255,0.0637,0.0000,0.1343,14541,19,108256,0.1343,0.0000
22.00,0.0217,252,0,204790,0.0012,0.8968,0.0168,528,0,204789,0.0026,0.9742,0.0637,6891,10,108255,0.0637,0.0000,0.1343,14541,19,108256,0.1343,0.0000
22.50,0.0249,691,0,204790,0.0034,0.9746,0.0232,686,0,204789,0.0033,0.8618,0.0674,7291,10,108255,0.0674,0.0000,0.1515,16405,20,108256,0.1515,0.0000
23.00,0.0249,691,0,204790,0.0034,0.9746,0.0232,686,0,204789,0.0033,0.8618,0.0674,7291,10,108255,0.0674,0.0000,0.1515,16405,20,108256,0.1515,0.0000
23.50,0.0249,691,0,204790,0.0034,0.9746,0.0232,686,0,204789,0.0033,0.8618,0.0646,6996,9,108255,0.0646,0.0000,0.1515,16405,20,108256,0.1515,0.0000
24.00,0.0249,691,0,204790,0.0034,0.9746,0.0232,686,0,204789,0.0033,0.8618,0.0646,6996,9,108255,0.0646,0.0000,0.1589,17205,20,108256,0.1589,0.0000
24.50,0.0249,691,0,204790,0.0034,0.9746,0.0232,686,0,204789,0.0033,0.8618,0.0680,7356,9,108255,0.0680,0.0000,0.1589,17205,20,108256,0.1589,0.0000
25.00,0.0249,691,0,204790,0.0034,0.9746,0.0232,686,0,204789,0.0033,0.8618,0.0680,7356,9,108255,0.0680,0.0000,0.1597,17290,19,108256,0.1597,0.0000
25.50,0.0253,334,0,204790,0.0016,0.9176,0.0232,686,0,204789,0.0033,0.8618,0.0713,7716,9,108255,0.0713,0.0000,0.1597,17290,19,108256,0.1597,0.0000
26.00,0.0253,334,0,204790,0.0016,0.9176,0.0232,686,0,204789,0.0033,0.8618,0.0713,7716,9,108255,0.0713,0.0000,0.1703,18438,20,108256,0.1703,0.0000
26.50,0.0253,334,0,204790,0.0016,0.9176,0.0301,1533,0,204789,0.0075,0.9401,0.0573,6206,7,108255,0.0573,0.0000,0.1703,18438,20,108256,0.1703,0.0000
27.00,0.0253,334,0,204790,0.0016,0.9176,0.0301,1533,0,204789,0.0075,0.9401,0.0573,6206,7,108255,0.0573,0.0000,0.1846,19987,21,108256,0.1846,0.0000
27.50,0.0276,689,0,204790,0.0034,0.8809,0.0301,1533,0,204789,0.0075,0.9401,0.0598,6474,6,108255,0.0598,0.0000,0.1846,19987,21,108256,0.1846,0.0000
28.00,0.0276,689,0,204790,0.0034,0.8809,0.0301,1533,0,204789,0.0075,0.9401,0.0598,6474,6,108255,0.0598,0.0000,0.1846,19987,21,108256,0.1846,0.0000
28.50,0.0276,689,0,204790,0.0034,0.8809,0.0301,1533,0,204789,0.0075,0.9401,0.0623,6749,7,108255,0.0623,0.0000,0.1927,20857,22,108256,0.1927,0.0000
29.00,0.0324,946,0,204790,0.0046,0.9773,0.0301,1533,0,204789,0.0075,0.9401,0.0623,6749,7,108255,0.0623,0.0000,0.1927,20857,22,108256,0.1927,0.0000
29.50,0.0324,946,0,204790,0.0046,0.9773,0.0321,402,0,204789,0.0020,0.9617,0.0498,5396,5,108255,0.0498,0.0000,0.2008,21737,22,108256,0.2008,0.0000
30.00,0.0324,946,0,204790,0.0046,0.9773,0.0323,610,0,204789,0.0030,0.9487,0.0498,5396,5,108255,0.0498,0.0000,0.2008,21737,22,108256,0.2008,0.0000
30.50,0.0324,946,0,204790,0.0046,0.9773,0.0323,610,0,204789,0.0030,0.9487,0.0477,5160,6,108255,0.0477,0.0000,0.0514,5561,7,108256,0.0514,0.0000
31.00,0.0324,946,0,204790,0.0046,0.9773,0.0324,36,0,204789,0.0002,0.5373,0.0477,5160,6,108255,0.0477,0.0000,0.0514,5561,7,108256,0.0514,0.0000
31.50,0.0350,936,0,204790,0.0046,0.9801,0.0324,36,0,204789,0.0002,0.5373,0.0293,3169,3,108255,0.0293,0.0000,0.0514,5561,7,108256,0.0514,0.0000
32.00,0.0350,936,0,204790,0.0046,0.9801,0.0324,36,0,204789,0.0002,0.5373,0.0293,3169,3,108255,0.0293,0.0000,0.0540,5841,7,108256,0.0540,0.0000
32.50,0.0400,1086,0,204790,0.0053,0.9891,0.0370,987,0,204789,0.0048,0.9815,0.0589,6374,5,108255,0.0589,0.0000,0.0540,5841,7,108256,0.0540,0.0000
