t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,,,,,,,,,,,,
3.50,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,0.0143,2205,14,154304,0.0143,0.0000,0.0104,1609,18,154304,0.0104,0.0000
4.50,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,0.0143,2205,14,154304,0.0143,0.0000,0.0104,1609,18,154304,0.0104,0.0000
5.00,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,0.0171,2641,13,154304,0.0171,0.0000,0.0128,1973,16,154304,0.0128,0.0000
5.50,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,0.0171,2641,13,154304,0.0171,0.0000,0.0128,1973,16,154304,0.0128,0.0000
6.00,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,0.0205,3161,13,154304,0.0205,0.0000,0.0156,2414,14,154304,0.0156,0.0000
6.50,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,0.0205,3161,13,154304,0.0205,0.0000,0.0156,2414,14,154304,0.0156,0.0000
7.00,0.0055,1121,0,204790,0.0055,0.2966,0.0004,75,0,204789,0.0004,0.3463,0.0226,3487,12,154304,0.0226,0.0000,0.0179,2767,13,154304,0.0179,0.0000
7.50,0.0074,173,0,204790,0.0008,0.8039,0.0004,75,0,204789,0.0004,0.3463,0.0226,3487,12,154304,0.0226,0.0000,0.0179,2767,13,154304,0.0179,0.0000
8.00,0.0083,123,0,204790,0.0006,0.8092,0.0004,75,0,204789,0.0004,0.3463,0.0275,4237,14,154304,0.0275,0.0000,0.0213,3287,13,154304,0.0213,0.0000
8.50,0.0083,123,0,204790,0.0006,0.8092,0.0029,136,0,204789,0.0007,0.4595,0.0275,4237,14,154304,0.0275,0.0000,0.0213,3287,13,154304,0.0213,0.0000
9.00,0.0083,123,0,204790,0.0006,0.8092,0.0029,136,0,204789,0.0007,0.4595,0.0282,4355,13,154304,0.0282,0.0000,0.0247,3819,13,154304,0.0247,0.0000
9.50,0.0083,123,0,204790,0.0006,0.8092,0.0044,181,0,204789,0.0009,0.7605,0.0282,4355,13,154304,0.0282,0.0000,0.0247,3819,13,154304,0.0247,0.0000
10.00,0.0090,190,0,204790,0.0009,0.8297,0.0044,181,0,204789,0.0009,0.7605,0.0317,4887,13,154304,0.0317,0.0000,0.0297,4590,14,154304,0.0297,0.0000
10.50,0.0090,190,0,204790,0.0009,0.8297,0.0051,134,0,204789,0.0007,0.8375,0.0317,4887,13,154304,0.0317,0.0000,0.0297,4590,14,154304,0.0297,0.0000
11.00,0.0090,190,0,204790,0.0009,0.8297,0.0051,134,0,204789,0.0007,0.8375,0.0350,5407,13,154304,0.0350,0.0000,0.0346,5332,15,154304,0.0346,0.0000
11.50,0.0090,190,0,204790,0.0009,0.8297,0.0051,134,0,204789,0.0007,0.8375,0.0350,5407,13,154304,0.0350,0.0000,0.0346,5332,15,154304,0.0346,0.0000
12.00,0.0128,780,0,204790,0.0038,0.9716,0.0059,170,0,204789,0.0008,0.7834,0.0366,5649,12,154304,0.0366,0.0000,0.0364,5621,15,154304,0.0364,0.0000
12.50,0.0128,780,0,204790,0.0038,0.9716,0.0068,198,0,204789,0.0010,0.9167,0.0366,5649,12,154304,0.0366,0.0000,0.0364,5621,15,154304,0.0364,0.0000
13.00,0.0128,780,0,204790,0.0038,0.9716,0.0068,198,0,204789,0.0010,0.9167,0.0397,6129,12,154304,0.0397,0.0000,0.0419,6467,16,154304,0.0419,0.0000
13.50,0.0128,780,0,204790,0.0038,0.9716,0.0068,198,0,204789,0.0010,0.9167,0.0397,6129,12,154304,0.0397,0.0000,0.0419,6467,16,154304,0.0419,0.0000
14.00,0.0128,780,0,204790,0.0038,0.9716,0.0068,198,0,204789,0.0010,0.9167,0.0392,6048,11,154304,0.0392,0.0000,0.0403,6222,15,154304,0.0403,0.0000
14.50,0.0137,260,0,204790,0.0013,0.9420,0.0088,419,0,204789,0.0020,0.8448,0.0392,6048,11,154304,0.0392,0.0000,0.0403,6222,15,154304,0.0403,0.0000
15.00,0.0137,260,0,204790,0.0013,0.9420,0.0108,383,0,204789,0.0019,0.9575,0.0446,6878,12,154304,0.0446,0.0000,0.0403,6222,15,154304,0.0403,0.0000
15.50,0.0137,260,0,204790,0.0013,0.9420,0.0132,512,0,204789,0.0025,0.8366,0.0446,6878,12,154304,0.0446,0.0000,0.0448,6917,13,154304,0.0448,0.0000
16.00,0.0137,260,0,204790,0.0013,0.9420,0.0137,36,0,204789,0.0002,0.2057,0.0454,7013,11,154304,0.0454,0.0000,0.0448,6917,13,154304,0.0448,0.0000
16.50,0.0157,435,0,204790,0.0021,0.9667,0.0137,36,0,204789,0.0002,0.2057,0.0454,7013,11,154304,0.0454,0.0000,0.0424,6542,13,154304,0.0424,0.0000
17.00,0.0157,435,0,204790,0.0021,0.9667,0.0169,546,0,204789,0.0027,0.9767,0.0454,7013,11,154304,0.0454,0.0000,0.0424,6542,13,154304,0.0424,0.0000
17.50,0.0157,435,0,204790,0.0021,0.9667,0.0178,410,0,204789,0.0020,0.9425,0.0514,7934,12,154304,0.0514,0.0000,0.0484,7474,14,154304,0.0484,0.0000
18.00,0.0167,431,0,204790,0.0021,0.9370,0.0211,538,0,204789,0.0026,0.9212,0.0514,7934,12,154304,0.0514,0.0000,0.0484,7474,14,154304,0.0484,0.0000
18.50,0.0167,431,0,204790,0.0021,0.9370,0.0237,525,0,204789,0.0026,0.9740,0.0638,9843,15,154304,0.0638,0.0000,0.0462,7132,12,154304,0.0462,0.0000
19.00,0.0193,551,0,204790,0.0027,0.9650,0.0237,525,0,204789,0.0026,0.9740,0.0638,9843,15,154304,0.0638,0.0000,0.0462,7132,12,154304,0.0462,0.0000
19.50,0.0220,569,0,204790,0.0028,0.8380,0.0237,525,0,204789,0.0026,0.9740,0.0665,10265,15,154304,0.0665,0.0000,0.0531,8193,13,154304,0.0531,0.0000
20.00,0.0220,569,0,204790,0.0028,0.8380,0.0237,525,0,204789,0.0026,0.9740,0.0665,10265,15,154304,0.0665,0.0000,0.0531,8193,13,154304,0.0531,0.0000
20.50,0.0253,599,0,204790,0.0029,0.9724,0.0237,525,0,204789,0.0026,0.9740,0.0704,10865,15,154304,0.0704,0.0000,0.0603,9305,13,154304,0.0603,0.0000
21.00,0.0264,253,0,204790,0.0012,0.8972,0.0237,525,0,204789,0.0026,0.9740,0.0704,10865,15,154304,0.0704,0.0000,0.0603,9305,13,154304,0.0603,0.0000
21.50,0.0264,253,0,204790,0.0012,0.8972,0.0237,525,0,204789,0.0026,0.9740,0.0730,11262,15,154304,0.0730,0.0000,0.0639,9862,14,154304,0.0639,0.0000
22.00,0.0264,253,0,204790,0.0012,0.8972,0.0262,719,0,204789,0.0035,0.9822,0.0730,11262,15,154304,0.0730,0.0000,0.0639,9862,14,154304,0.0639,0.0000
22.50,0.0297,691,0,204790,0.0034,0.9746,0.0262,719,0,204789,0.0035,0.9822,0.0818,12619,16,154304,0.0818,0.0000,0.0471,7263,10,154304,0.0471,0.0000
23.00,0.0297,691,0,204790,0.0034,0.9746,0.0262,719,0,204789,0.0035,0.9822,0.0818,12619,16,154304,0.0818,0.0000,0.0471,7263,10,154304,0.0471,0.0000
23.50,0.0297,691,0,204790,0.0034,0.9746,0.0262,719,0,204789,0.0035,0.9822,0.0792,12220,15,154304,0.0792,0.0000,0.0545,8408,11,154304,0.0545,0.0000
24.00,0.0297,691,0,204790,0.0034,0.9746,0.0269,477,0,204789,0.0023,0.9578,0.0792,12220,15,154304,0.0792,0.0000,0.0545,8408,11,154304,0.0545,0.0000
24.50,0.0297,691,0,204790,0.0034,0.9746,0.0269,477,0,204789,0.0023,0.9578,0.0746,11507,13,154304,0.0746,0.0000,0.0573,8848,11,154304,0.0573,0.0000
25.00,0.0297,691,0,204790,0.0034,0.9746,0.0294,617,0,204789,0.0030,0.9250,0.0746,11507,13,154304,0.0746,0.0000,0.0573,8848,11,154304,0.0573,0.0000
25.50,0.0339,335,0,204790,0.0016,0.9178,0.0333,784,0,204789,0.0038,0.9837,0.0746,11507,13,154304,0.0746,0.0000,0.0678,10463,12,154304,0.0678,0.0000
26.00,0.0339,335,0,204790,0.0016,0.9178,0.0333,784,0,204789,0.0038,0.9837,0.0941,14520,16,154304,0.0941,0.0000,0.0678,10463,12,154304,0.0678,0.0000
26.50,0.0351,666,0,204790,0.0033,0.9474,0.0333,784,0,204789,0.0038,0.9837,0.0941,14520,16,154304,0.0941,0.0000,0.0678,10463,12,154304,0.0678,0.0000
27.00,0.0391,1910,0,204790,0.0093,0.9636,0.0333,784,0,204789,0.0038,0.9837,0.0982,15160,16,154304,0.0982,0.0000,0.0731,11281,13,154304,0.0731,0.0000
27.50,0.0412,512,0,204790,0.0025,0.9394,0.0333,784,0,204789,0.0038,0.9837,0.0982,15160,16,154304,0.0982,0.0000,0.0731,11281,13,154304,0.0731,0.0000
28.00,0.0412,512,0,204790,0.0025,0.9394,0.0333,784,0,204789,0.0038,0.9837,0.1146,17678,18,154304,0.1146,0.0000,0.0653,10081,11,154304,0.0653,0.0000
28.50,0.0412,512,0,204790,0.0025,0.9394,0.0334,38,0,204789,0.0002,0.6786,0.1146,17678,18,154304,0.1146,0.0000,0.0653,10081,11,154304,0.0653,0.0000
29.00,0.0412,512,0,204790,0.0025,0.9394,0.0334,38,0,204789,0.0002,0.6786,0.1154,17802,17,154304,0.1154,0.0000,0.0686,10592,12,154304,0.0686,0.0000
29.50,0.0412,512,0,204790,0.0025,0.9394,0.0334,38,0,204789,0.0002,0.6786,0.1154,17802,17,154304,0.1154,0.0000,0.0686,10592,12,154304,0.0686,0.0000
30.00,0.0412,512,0,204790,0.0025,0.9394,0.0346,403,0,204789,0.0020,0.9618,0.1154,17802,17,154304,0.1154,0.0000,0.0576,8895,10,154304,0.0576,0.0000
30.50,0.0412,512,0,204790,0.0025,0.9394,0.0346,403,0,204789,0.0020,0.9618,0.0585,9034,11,154304,0.0585,0.0000,0.0576,8895,10,154304,0.0576,0.0000
31.00,0.0412,512,0,204790,0.0025,0.9394,0.0380,1664,0,204789,0.0081,0.9101,0.0585,9034,11,154304,0.0585,0.0000,0.0661,10199,10,154304,0.0661,0.0000
31.50,0.0412,512,0,204790,0.0025,0.9394,0.0380,1664,0,204789,0.0081,0.9101,0.0573,8837,8,154304,0.0573,0.0000,0.0661,10199,10,154304,0.0661,0.0000
32.00,0.0412,512,0,204790,0.0025,0.9394,0.0380,1664,0,204789,0.0081,0.9101,0.0573,8837,8,154304,0.0573,0.0000,0.0616,9508,10,154304,0.0616,0.0000
32.50,0.0412,512,0,204790,0.0025,0.9394,0.0380,1664,0,204789,0.0081,0.9101,0.0454,7009,7,154304,0.0454,0.0000,0.0616,9508,10,154304,0.0616,0.0000
