elapsed_s,gpu0_gb,gpu2_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0997,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,24,0,0,0,0,2,0
4.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.2488,0.0014,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0118,0.0014,0.0132,0.0,0.0132,0.0,0.0,0,0,0,0.2488,0.0132,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0644,0.0014,0.0658,0.0,0.0658,0.0,0.0,0,0,0,0.2488,0.0658,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0894,0.0014,0.0908,0.0,0.0908,0.0,0.0,0,0,0,0.2488,0.0908,0.0,0.0,0.0,0.0,0,0,0,0,37,0,0,0,0,2,0
8.0,0.1139,0.0014,0.1153,0.0,0.1153,0.0,0.0,0,0,0,0.2907,0.1153,0.0,0.0,0.0,0.0,2,0,2,0,37,0,0,270,0,2,0
9.0,0.1524,0.0014,0.1539,0.0,0.1539,0.0,0.0,0,0,0,0.3058,0.1539,0.0,0.0,0.0,0.0,3,0,3,0,37,0,0,356,0,2,0
10.0,0.2045,0.0014,0.2059,0.0,0.2059,0.0,0.0,0,0,0,0.3274,0.2059,0.0,0.0,0.0,0.0,4,1,3,0,37,0,0,482,0,2,0
11.0,0.2362,0.0014,0.2376,0.0,0.2376,0.0,0.0,0,0,0,0.3523,0.2376,0.0,0.0,0.0,0.0,5,2,3,0,37,0,0,615,0,2,0
12.0,0.2362,0.0014,0.2376,0.0,0.2376,0.0,0.0,0,0,0,0.3523,0.2376,0.0,0.0,0.0,0.0,5,2,3,0,37,0,0,615,0,2,0
13.0,0.3033,0.0014,0.3047,0.0,0.3047,0.0,0.0,0,0,0,0.413,0.3047,0.0,0.0,0.0,0.0,8,3,5,0,37,0,0,953,0,2,0
14.0,0.5437,0.0014,0.5451,0.0,0.5451,0.0,0.0,0,0,0,0.4438,0.5451,0.0,0.0,0.0,0.0,9,3,6,0,37,0,0,1159,0,2,0
15.0,0.5437,0.0014,0.5451,0.0,0.5451,0.0,0.0,0,0,0,0.4438,0.5451,0.0,0.0,0.0,0.0,9,3,6,0,37,0,0,1159,0,2,0
16.0,0.7142,0.0014,0.7157,0.0,0.7157,0.0,0.0,0,0,0,0.5194,0.7157,0.0,0.0,0.0,0.0,10,4,6,0,38,0,0,1497,0,2,0
17.0,0.7142,0.0843,0.7985,0.0,0.7985,0.0,0.0,0,0,0,0.7602,0.7985,0.0,0.0,0.0,0.0,14,7,7,0,38,0,0,3177,0,2,0
18.0,0.7142,0.2269,0.9411,0.0,0.9411,0.0,0.0,0,0,0,0.7602,0.9411,0.0,0.0,0.0,0.0,14,7,7,0,38,0,0,3177,0,2,0
19.0,0.7142,0.2269,0.9411,0.0,0.9411,0.0,0.0,0,0,0,0.8837,0.9411,0.0,0.0,0.0,0.0,16,7,9,0,38,0,0,4080,0,2,0
20.0,0.9866,0.2269,1.2135,0.0,1.2135,0.0,0.0,0,0,0,0.9391,1.2135,0.0,0.0,0.0,0.0,17,7,10,0,38,0,0,4490,0,2,0
21.0,0.9866,0.2269,1.2135,0.0,1.2135,0.0,0.0,0,0,0,1.0235,1.2135,0.0,0.0,0.0,0.0,19,7,12,0,38,0,0,5060,0,2,0
22.0,0.9866,0.2269,1.2135,0.0,1.2135,0.0,0.0,0,0,0,1.0374,1.2135,0.0,0.0,0.0,0.0,20,7,13,0,38,0,0,5137,0,2,0
23.0,0.9866,0.2707,1.2572,0.0,1.2572,0.0,0.0,0,0,0,1.3094,1.2572,0.0,0.0,0.0,0.0,23,8,15,0,38,0,0,7049,0,2,0
24.0,0.9866,0.4678,1.4544,0.0,1.4544,0.0,0.0,0,0,0,1.3094,1.4544,0.0,0.0,0.0,0.0,23,8,15,0,38,0,0,7049,0,2,0
25.0,0.9866,0.5581,1.5447,0.0,1.5447,0.0,0.0,0,0,0,1.3094,1.5447,0.0,0.0,0.0,0.0,23,8,15,0,38,0,0,7049,0,2,0
26.0,0.9866,0.6821,1.6687,0.0,1.6687,0.0,0.0,0,0,0,1.3203,1.6687,0.0,0.0,0.0,0.0,24,8,16,0,38,0,0,7102,0,2,0
27.0,0.9866,0.852,1.8385,0.0,1.8385,0.0,0.0,0,0,0,1.4964,1.8385,0.0,0.0,0.0,0.0,26,10,16,0,39,0,0,8344,0,2,0
28.0,1.1631,0.852,2.0151,0.0,2.0151,0.0,0.0,0,0,0,1.5676,2.0151,0.0,0.0,0.0,0.0,27,10,17,0,40,0,0,8789,0,2,0
29.0,1.1631,0.852,2.0151,0.0,2.0151,0.0,0.0,0,0,0,1.5676,2.0151,0.0,0.0,0.0,0.0,27,10,17,0,40,0,0,8789,0,2,0
30.0,1.4111,0.9943,2.4054,0.0,2.4054,0.0,0.0,0,0,0,1.7367,2.4054,0.0,0.0,0.0,0.0,29,11,18,0,40,0,0,10041,0,2,0
31.0,1.4111,1.4229,2.834,0.0,2.834,0.0,0.0,0,0,0,1.743,2.834,0.0,0.0,0.0,0.0,30,11,19,0,40,0,0,10056,0,2,0
32.0,1.4111,2.2809,3.692,0.0,3.692,0.0,0.0,0,0,0,1.7471,3.692,0.0,0.0,0.0,0.0,30,11,19,0,41,0,0,10056,0,2,0
33.0,1.4111,3.3638,4.775,0.0,4.775,0.0,0.0,0,0,0,2.0722,4.775,0.0,0.0,0.0,0.0,33,12,21,0,41,0,0,12488,0,2,0
34.0,1.4111,3.7791,5.1902,0.0,5.1902,0.0,0.0,0,0,0,3.4738,5.1902,0.0,0.0,0.0,0.0,43,22,21,0,41,0,0,22778,0,2,0
35.0,1.4111,3.7791,5.1902,0.0,5.1902,0.0,0.0,0,0,0,3.5878,5.1902,0.0,0.0,0.0,0.0,45,24,21,0,41,0,0,23389,0,2,0
36.0,1.4111,3.7791,5.1902,0.0,5.1902,0.0,0.0,0,0,0,3.65,5.1902,0.0,0.0,0.0,0.0,46,25,21,0,41,0,0,23863,0,2,0
37.0,1.4111,3.7791,5.1902,0.0,5.1902,0.0,0.0,0,0,0,3.6545,5.1902,0.0,0.0,0.0,0.0,46,25,21,0,41,0,0,23863,0,2,0
38.0,1.4111,3.7791,5.1902,0.0,5.1902,0.0,0.0,0,0,0,3.8533,5.1902,0.0,0.0,0.0,0.0,46,25,21,0,42,2,0,23863,0,2,0
