elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
0.0,0.0,0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.0013,0.0,0.0014,0.0,0.0,1.0,0,0,0,0,4,0,0,0,0,2,0
1.0,0.0,0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0,0.0014,0.0,0.0,1.0,0,0,0,0,5,0,0,0,0,2,0
2.0,0.0,0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0,0.0014,0.0,0.0,1.0,0,0,0,0,5,0,0,0,0,2,0
3.0,0.0,0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.006,0.0,0.0014,0.0,0.0,1.0,0,0,0,0,6,0,0,0,0,2,0
4.0,0.0,0.0,0.0,0.0014,0.0014,0.0,0.0014,0.0,0.0,0,0,0,0.2492,0.0,0.0014,0.0,0.0,1.0,0,0,0,0,37,0,0,0,0,2,0
5.0,0.0,0.0,0.0354,0.0014,0.0368,0.0,0.0368,0.0,0.0,0,0,0,0.2492,0.0354,0.0014,0.0,0.0,0.0391,0,0,0,0,37,0,0,0,0,2,0
6.0,0.0,0.0,0.0515,0.0014,0.053,0.0,0.053,0.0,0.0,0,0,0,0.2492,0.0515,0.0014,0.0,0.0,0.0272,0,0,0,0,37,0,0,0,0,2,0
7.0,0.0,0.0,0.0693,0.0014,0.0708,0.0,0.0708,0.0,0.0,0,0,0,0.2492,0.0693,0.0014,0.0,0.0,0.0204,0,0,0,0,37,0,0,0,0,2,0
8.0,0.0,0.0,0.1355,0.0014,0.137,0.0,0.137,0.0,0.0,0,0,0,0.2747,0.1355,0.0014,0.0,0.0,0.0105,3,0,3,0,37,0,0,107,0,2,0
9.0,0.0,0.0,0.1355,0.0014,0.137,0.0,0.137,0.0,0.0,0,0,0,0.3237,0.1355,0.0014,0.0,0.0,0.0105,5,1,4,0,37,0,0,292,0,2,0
10.0,0.0,0.0,0.2801,0.0014,0.2815,0.0,0.2815,0.0,0.0,0,0,0,0.3717,0.2801,0.0014,0.0,0.0,0.0051,7,2,5,0,37,0,0,562,0,2,0
11.0,0.0,0.0,0.2801,0.0014,0.2815,0.0,0.2815,0.0,0.0,0,0,0,0.388,0.2801,0.0014,0.0,0.0,0.0051,8,3,5,0,37,0,0,660,0,2,0
12.0,0.0,0.0,0.3691,0.0014,0.3705,0.0,0.3705,0.0,0.0,0,0,0,0.4555,0.3691,0.0014,0.0,0.0,0.0039,10,4,6,0,37,0,0,1047,0,2,0
13.0,0.0,0.0,0.4864,0.0014,0.4878,0.0,0.4878,0.0,0.0,0,0,0,0.5316,0.4864,0.0014,0.0,0.0,0.003,12,5,7,0,37,0,0,1597,0,2,0
14.0,0.0,0.0,0.615,0.0014,0.6164,0.0,0.6164,0.0,0.0,0,0,0,0.5316,0.615,0.0014,0.0,0.0,0.0023,12,5,7,0,37,0,0,1597,0,2,0
15.0,0.0,0.0,0.7107,0.0014,0.7121,0.0,0.7121,0.0,0.0,0,0,0,0.6613,0.7107,0.0014,0.0,0.0,0.002,15,7,8,0,37,0,0,2476,0,2,0
16.0,0.0,0.0,0.9497,0.0014,0.9512,0.0,0.9512,0.0,0.0,0,0,0,0.755,0.9497,0.0014,0.0,0.0,0.0015,16,8,8,0,38,0,0,2952,0,2,0
17.0,0.0722,0.0,1.0243,0.0014,1.098,0.0,1.098,0.0,0.0,0,0,0,0.8765,1.0965,0.0014,0.0,0.0,0.0013,18,9,9,0,38,0,0,3851,0,2,0
18.0,0.1507,0.0,1.0243,0.0014,1.1765,0.0,1.1765,0.0,0.0,0,0,0,0.9546,1.1751,0.0014,0.0,0.0,0.0012,21,11,10,0,38,0,0,4385,0,2,0
19.0,0.2781,0.0,1.0243,0.0014,1.3039,0.0,1.3039,0.0,0.0,0,0,0,1.0909,1.3025,0.0014,0.0,0.0,0.0011,23,13,10,0,38,0,0,5336,0,2,0
20.0,0.3687,0.0,1.0243,0.0014,1.3945,0.0,1.3945,0.0,0.0,0,0,0,1.2426,1.393,0.0014,0.0,0.0,0.001,25,14,11,0,38,0,0,6363,0,2,0
21.0,0.3687,0.0,1.0243,0.0014,1.3945,0.0,1.3945,0.0,0.0,0,0,0,1.3186,1.393,0.0014,0.0,0.0,0.001,26,15,11,0,38,0,0,6926,0,2,0
22.0,0.3687,0.0,1.0868,0.0014,1.457,0.0,1.457,0.0,0.0,0,0,0,1.4177,1.4556,0.0014,0.0,0.0,0.001,28,16,12,0,38,0,0,7640,0,2,0
23.0,0.3687,0.0,1.5359,0.0014,1.906,0.0,1.906,0.0,0.0,0,0,0,1.5058,1.9046,0.0014,0.0,0.0,0.0008,29,17,12,0,38,0,0,8294,0,2,0
24.0,0.3687,0.0,1.7861,0.0014,2.1563,0.0,2.1563,0.0,0.0,0,0,0,1.5242,2.1548,0.0014,0.0,0.0,0.0007,30,18,12,0,38,0,0,8414,0,2,0
25.0,0.3687,0.0,1.8532,0.0014,2.2234,0.0,2.2234,0.0,0.0,0,0,0,1.5895,2.2219,0.0014,0.0,0.0,0.0006,32,20,12,0,38,0,0,8849,0,2,0
26.0,0.3687,0.0,1.8532,0.0014,2.2234,0.0,2.2234,0.0,0.0,0,0,0,1.8102,2.2219,0.0014,0.0,0.0,0.0006,35,21,14,0,38,0,0,10422,0,2,0
27.0,0.3687,0.0,1.8532,0.0014,2.2234,0.0,2.2234,0.0,0.0,0,0,0,1.8421,2.2219,0.0014,0.0,0.0,0.0006,36,21,15,0,38,0,0,10628,0,2,0
28.0,0.3687,0.0,1.906,0.0014,2.2762,0.0,2.2762,0.0,0.0,0,0,0,2.0066,2.2748,0.0014,0.0,0.0,0.0006,38,21,17,0,38,0,0,11803,0,2,0
29.0,0.3687,0.0,1.906,0.2243,2.499,0.0,2.499,0.0,0.0,0,0,0,2.0066,2.2748,0.2243,0.0,0.0,0.0897,38,21,17,0,38,0,0,11803,0,2,0
