elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,171584.0,44652.0,41296.0,44386.0,41250.0,67746.4,55941.9,15014.4,13023.2,0.0,23940.7,0.0,15878.6,25509.4,18419.2,45358.2,107294.3,128652.3,91687.1,148
1.2,171584.0,44652.0,41296.0,44386.0,41250.0,67747.0,55942.5,15015.0,13023.8,0.0,23940.7,0.0,16718.8,25509.7,19267.2,46206.5,106446.3,128652.3,91687.7,148
2.2,172158.0,45088.0,41296.0,44524.0,41250.0,67749.3,55944.7,15016.9,13026.1,0.0,23940.7,0.0,17282.5,25509.7,19833.8,46773.0,105879.8,128652.3,91690.0,148
3.3,172204.0,45088.0,41296.0,44524.0,41296.0,67891.8,55980.4,15156.8,13061.8,0.0,23940.8,0.0,16428.2,25510.2,19101.7,46041.5,106611.8,128652.3,91832.6,148
4.3,172204.0,45088.0,41296.0,44524.0,41296.0,67899.9,55982.0,15164.9,13063.4,0.0,23940.9,0.0,16430.1,25510.3,19112.7,46052.5,106600.8,128652.3,91840.8,148
5.3,172204.0,45088.0,41296.0,44524.0,41296.0,67900.3,55982.3,15165.3,13063.7,0.0,23941.0,0.0,16430.3,25510.4,19114.6,46054.6,106598.9,128652.3,91841.3,148
6.3,172204.0,45088.0,41296.0,44524.0,41296.0,67900.7,55982.7,15165.6,13064.1,0.0,23941.0,0.0,16430.9,25510.6,19117.4,46057.5,106596.1,128652.3,91841.7,148
7.4,172204.0,45088.0,41296.0,44524.0,41296.0,67905.5,55987.5,15170.4,13068.9,0.0,23941.0,0.0,16436.4,25510.6,19124.5,46064.6,106589.0,128652.3,91846.5,148
8.4,172206.0,45088.0,41296.0,44526.0,41296.0,67906.2,55987.8,15170.9,13069.2,0.0,23941.0,0.0,16436.3,25510.2,19123.3,46063.0,106590.2,128652.3,91847.2,148
9.5,172206.0,45088.0,41296.0,44526.0,41296.0,67906.3,55988.0,15171.0,13069.3,0.0,23941.1,0.0,16436.6,25510.3,19123.8,46063.6,106589.7,128652.3,91847.4,148
10.5,172206.0,45088.0,41296.0,44526.0,41296.0,67906.4,55988.1,15171.1,13069.4,0.0,23941.1,0.0,16436.7,25510.3,19124.9,46064.7,106588.7,128652.3,91847.5,148
11.5,172208.0,45090.0,41296.0,44526.0,41296.0,67916.9,55998.5,15181.6,13079.8,0.0,23941.1,0.0,16441.2,25510.3,19131.8,46071.7,106581.7,128652.3,91858.0,148
12.5,172212.0,45090.0,41296.0,44530.0,41296.0,67920.0,56001.6,15184.6,13082.9,0.0,23941.2,0.0,16448.9,25510.4,19144.1,46084.1,106569.4,128652.3,91861.1,148
13.6,172212.0,45090.0,41296.0,44530.0,41296.0,67920.3,56001.8,15184.8,13083.1,0.0,23941.2,0.0,16450.7,25510.6,19144.6,46084.8,106568.9,128652.3,91861.5,148
14.6,172232.0,45090.0,41296.0,44530.0,41316.0,67920.5,56002.0,15185.0,13083.3,0.0,23941.2,0.0,16451.0,25510.6,19145.6,46085.8,106567.9,128652.3,91861.7,148
15.6,172232.0,45090.0,41296.0,44530.0,41316.0,67920.7,56002.1,15185.1,13083.4,0.0,23941.2,0.0,16451.2,25510.5,19144.8,46084.9,106568.7,128652.3,91861.9,148
