elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,171716.0,44654.0,41340.0,44384.0,41338.0,67863.1,56035.5,15113.4,13114.0,0.0,23958.9,0.0,15928.1,25528.1,18505.8,45464.2,107207.0,128652.3,91822.0,148
1.1,171716.0,44654.0,41340.0,44384.0,41338.0,67863.2,56035.7,15113.6,13114.2,0.0,23958.9,0.0,16703.8,25528.3,19284.0,46242.7,106428.8,128652.3,91822.2,148
2.1,172296.0,45116.0,41340.0,44502.0,41338.0,67863.6,56036.1,15114.0,13114.6,0.0,23958.9,0.0,17301.1,25528.4,19884.2,46843.0,105828.5,128652.3,91822.6,148
3.2,172298.0,45116.0,41340.0,44502.0,41340.0,68022.6,56088.0,15269.7,13166.4,0.0,23958.9,0.0,16506.1,25527.9,19281.8,46240.0,106430.9,128652.3,91981.6,148
4.2,172298.0,45116.0,41340.0,44502.0,41340.0,68024.1,56088.8,15271.0,13167.2,0.0,23959.2,0.0,16509.1,25526.7,19220.5,46177.6,106492.2,128652.3,91983.2,148
5.2,172298.0,45116.0,41340.0,44502.0,41340.0,68028.5,56089.1,15275.5,13167.6,0.0,23959.2,0.0,16506.7,25526.7,19219.2,46176.2,106493.5,128652.3,91987.7,148
6.2,172298.0,45116.0,41340.0,44502.0,41340.0,68029.7,56090.1,15276.4,13168.5,0.0,23959.2,0.0,16506.9,25526.7,19224.4,46181.5,106488.3,128652.3,91988.9,148
7.2,172298.0,45116.0,41340.0,44502.0,41340.0,68032.0,56092.3,15278.7,13170.8,0.0,23959.2,0.0,16509.8,25526.8,19234.6,46191.8,106478.1,128652.3,91991.2,148
8.2,172298.0,45116.0,41340.0,44502.0,41340.0,68036.1,56096.4,15282.8,13174.9,0.0,23959.4,0.0,16514.7,25527.0,19243.2,46200.5,106469.5,128652.3,91995.5,148
9.2,172300.0,45118.0,41340.0,44502.0,41340.0,68036.3,56096.6,15283.0,13175.1,0.0,23959.4,0.0,16514.9,25526.6,19237.7,46194.7,106475.0,128652.3,91995.7,148
10.3,172304.0,45118.0,41340.0,44506.0,41340.0,68036.5,56096.8,15283.1,13175.2,0.0,23959.4,0.0,16514.6,25526.2,19243.8,46200.4,106468.9,128652.3,91995.9,148
11.4,172306.0,45118.0,41340.0,44508.0,41340.0,68036.6,56096.9,15283.3,13175.4,0.0,23959.4,0.0,16515.4,25525.9,19244.2,46200.5,106468.5,128652.3,91996.0,148
12.4,172306.0,45118.0,41340.0,44508.0,41340.0,68038.4,56098.7,15285.0,13177.1,0.0,23959.4,0.0,16517.2,25525.9,19249.6,46205.9,106463.1,128652.3,91997.8,148
13.5,172176.0,44966.0,41340.0,44508.0,41362.0,68038.7,56099.0,15285.3,13177.4,0.0,23959.4,0.0,16517.6,25525.9,19249.7,46206.0,106463.0,128652.3,91998.1,148
14.5,172198.0,44966.0,41362.0,44508.0,41362.0,68115.8,56108.0,15362.3,13186.4,0.0,23959.4,0.0,16519.0,25526.1,19320.8,46277.2,106391.9,128652.3,92075.2,148
