t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,,,,,,,,,,,,
3.50,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,0.0106,1965,20,185482,0.0106,0.0000,0.0102,1892,12,185482,0.0102,0.0000
4.50,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,0.0106,1965,20,185482,0.0106,0.0000,0.0102,1892,12,185482,0.0102,0.0000
5.00,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,0.0149,2765,20,185482,0.0149,0.0000,0.0115,2130,10,185482,0.0115,0.0000
5.50,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,0.0149,2765,20,185482,0.0149,0.0000,0.0115,2130,10,185482,0.0115,0.0000
6.00,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,0.0192,3565,20,185482,0.0192,0.0000,0.0128,2367,9,185482,0.0128,0.0000
6.50,0.0066,1343,0,204790,0.0066,0.6040,0.0004,75,0,204789,0.0004,0.2410,0.0192,3565,20,185482,0.0192,0.0000,0.0128,2367,9,185482,0.0128,0.0000
7.00,0.0066,1343,0,204790,0.0066,0.6040,0.0047,90,0,204789,0.0004,0.7087,0.0235,4365,20,185482,0.0235,0.0000,0.0147,2727,9,185482,0.0147,0.0000
7.50,0.0051,82,0,204790,0.0004,0.8039,0.0047,90,0,204789,0.0004,0.7087,0.0235,4365,20,185482,0.0235,0.0000,0.0147,2727,9,185482,0.0147,0.0000
8.00,0.0055,124,0,204790,0.0006,0.8105,0.0047,90,0,204789,0.0004,0.7087,0.0287,5325,21,185482,0.0287,0.0000,0.0173,3215,10,185482,0.0173,0.0000
8.50,0.0055,124,0,204790,0.0006,0.8105,0.0047,90,0,204789,0.0004,0.7087,0.0287,5325,21,185482,0.0287,0.0000,0.0173,3215,10,185482,0.0173,0.0000
9.00,0.0055,124,0,204790,0.0006,0.8105,0.0047,90,0,204789,0.0004,0.7087,0.0322,5965,20,185482,0.0322,0.0000,0.0181,3357,9,185482,0.0181,0.0000
9.50,0.0055,124,0,204790,0.0006,0.8105,0.0047,90,0,204789,0.0004,0.7087,0.0322,5965,20,185482,0.0322,0.0000,0.0181,3357,9,185482,0.0181,0.0000
10.00,0.0055,124,0,204790,0.0006,0.8105,0.0047,90,0,204789,0.0004,0.7087,0.0365,6765,20,185482,0.0365,0.0000,0.0127,2349,5,185482,0.0127,0.0000
10.50,0.0055,124,0,204790,0.0006,0.8105,0.0047,90,0,204789,0.0004,0.7087,0.0365,6765,20,185482,0.0365,0.0000,0.0127,2349,5,185482,0.0127,0.0000
11.00,0.0055,124,0,204790,0.0006,0.8105,0.0047,90,0,204789,0.0004,0.7087,0.0408,7565,20,185482,0.0408,0.0000,0.0137,2549,5,185482,0.0137,0.0000
11.50,0.0059,149,0,204790,0.0007,0.9030,0.0060,261,0,204789,0.0013,0.9388,0.0408,7565,20,185482,0.0408,0.0000,0.0137,2549,5,185482,0.0137,0.0000
12.00,0.0080,451,0,204790,0.0022,0.9720,0.0063,190,0,204789,0.0009,0.8796,0.0463,8593,22,185482,0.0463,0.0000,0.0148,2749,5,185482,0.0148,0.0000
12.50,0.0083,198,0,204790,0.0010,0.9167,0.0063,190,0,204789,0.0009,0.8796,0.0463,8593,22,185482,0.0463,0.0000,0.0148,2749,5,185482,0.0148,0.0000
13.00,0.0084,36,0,204790,0.0002,0.2057,0.0094,311,0,204789,0.0015,0.9453,0.0463,8593,22,185482,0.0463,0.0000,0.0207,3846,6,185482,0.0207,0.0000
13.50,0.0084,36,0,204790,0.0002,0.2057,0.0094,311,0,204789,0.0015,0.9453,0.0512,9494,22,185482,0.0512,0.0000,0.0207,3846,6,185482,0.0207,0.0000
14.00,0.0084,36,0,204790,0.0002,0.2057,0.0094,311,0,204789,0.0015,0.9453,0.0512,9494,22,185482,0.0512,0.0000,0.0254,4704,9,185482,0.0254,0.0000
14.50,0.0111,456,0,204790,0.0022,0.9723,0.0094,311,0,204789,0.0015,0.9453,0.0559,10374,22,185482,0.0559,0.0000,0.0254,4704,9,185482,0.0254,0.0000
15.00,0.0111,456,0,204790,0.0022,0.9723,0.0094,311,0,204789,0.0015,0.9453,0.0559,10374,22,185482,0.0559,0.0000,0.0273,5064,9,185482,0.0273,0.0000
15.50,0.0112,38,0,204790,0.0002,0.6786,0.0094,311,0,204789,0.0015,0.9453,0.0616,11423,23,185482,0.0616,0.0000,0.0273,5064,9,185482,0.0273,0.0000
16.00,0.0112,38,0,204790,0.0002,0.6786,0.0094,311,0,204789,0.0015,0.9453,0.0616,11423,23,185482,0.0616,0.0000,0.0251,4651,8,185482,0.0251,0.0000
16.50,0.0112,38,0,204790,0.0002,0.6786,0.0094,311,0,204789,0.0015,0.9453,0.0663,12303,22,185482,0.0663,0.0000,0.0251,4651,8,185482,0.0251,0.0000
17.00,0.0112,38,0,204790,0.0002,0.6786,0.0094,311,0,204789,0.0015,0.9453,0.0663,12303,22,185482,0.0663,0.0000,0.0268,4971,8,185482,0.0268,0.0000
17.50,0.0112,38,0,204790,0.0002,0.6786,0.0094,311,0,204789,0.0015,0.9453,0.0688,12756,21,185482,0.0688,0.0000,0.0268,4971,8,185482,0.0268,0.0000
18.00,0.0136,526,0,204790,0.0026,0.9634,0.0105,253,0,204789,0.0012,0.8972,0.0688,12756,21,185482,0.0688,0.0000,0.0250,4630,7,185482,0.0250,0.0000
18.50,0.0136,526,0,204790,0.0026,0.9634,0.0105,253,0,204789,0.0012,0.8972,0.0764,14162,22,185482,0.0764,0.0000,0.0250,4630,7,185482,0.0250,0.0000
19.00,0.0136,526,0,204790,0.0026,0.9634,0.0105,253,0,204789,0.0012,0.8972,0.0764,14162,22,185482,0.0764,0.0000,0.0184,3408,6,185482,0.0184,0.0000
19.50,0.0136,526,0,204790,0.0026,0.9634,0.0105,253,0,204789,0.0012,0.8972,0.0764,14162,22,185482,0.0764,0.0000,0.0184,3408,6,185482,0.0184,0.0000
20.00,0.0136,526,0,204790,0.0026,0.9634,0.0105,253,0,204789,0.0012,0.8972,0.0811,15042,22,185482,0.0811,0.0000,0.0139,2576,4,185482,0.0139,0.0000
20.50,0.0167,640,0,204790,0.0031,0.9329,0.0116,414,0,204789,0.0020,0.9180,0.0811,15042,22,185482,0.0811,0.0000,0.0139,2576,4,185482,0.0139,0.0000
21.00,0.0167,640,0,204790,0.0031,0.9329,0.0116,414,0,204789,0.0020,0.9180,0.0922,17095,24,185482,0.0922,0.0000,0.0148,2736,4,185482,0.0148,0.0000
21.50,0.0181,718,0,204790,0.0035,0.9822,0.0168,1056,0,204789,0.0052,0.9574,0.0922,17095,24,185482,0.0922,0.0000,0.0148,2736,4,185482,0.0148,0.0000
22.00,0.0181,718,0,204790,0.0035,0.9822,0.0201,691,0,204789,0.0034,0.9746,0.1014,18799,25,185482,0.1014,0.0000,0.0216,4012,5,185482,0.0216,0.0000
22.50,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1014,18799,25,185482,0.1014,0.0000,0.0216,4012,5,185482,0.0216,0.0000
23.00,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1088,20182,26,185482,0.1088,0.0000,0.0267,4944,6,185482,0.0267,0.0000
23.50,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1088,20182,26,185482,0.1088,0.0000,0.0267,4944,6,185482,0.0267,0.0000
24.00,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1088,20182,26,185482,0.1088,0.0000,0.0279,5184,6,185482,0.0279,0.0000
24.50,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1121,20799,25,185482,0.1121,0.0000,0.0279,5184,6,185482,0.0279,0.0000
25.00,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1121,20799,25,185482,0.1121,0.0000,0.0249,4619,6,185482,0.0249,0.0000
25.50,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1125,20866,25,185482,0.1125,0.0000,0.0249,4619,6,185482,0.0249,0.0000
26.00,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1125,20866,25,185482,0.1125,0.0000,0.0190,3533,4,185482,0.0190,0.0000
26.50,0.0181,718,0,204790,0.0035,0.9822,0.0205,335,0,204789,0.0016,0.9178,0.1177,21826,24,185482,0.1177,0.0000,0.0199,3693,4,185482,0.0199,0.0000
27.00,0.0181,718,0,204790,0.0035,0.9822,0.0208,403,0,204789,0.0020,0.9618,0.1177,21826,24,185482,0.1177,0.0000,0.0199,3693,4,185482,0.0199,0.0000
27.50,0.0181,718,0,204790,0.0035,0.9822,0.0208,403,0,204789,0.0020,0.9618,0.1177,21826,24,185482,0.1177,0.0000,0.0208,3853,4,185482,0.0208,0.0000
28.00,0.0220,803,0,204790,0.0039,0.9769,0.0252,1257,0,204789,0.0061,0.9859,0.1253,23235,25,185482,0.1253,0.0000,0.0208,3853,4,185482,0.0208,0.0000
28.50,0.0220,803,0,204790,0.0039,0.9769,0.0296,932,0,204789,0.0046,0.9237,0.1253,23235,25,185482,0.1253,0.0000,0.0317,5881,6,185482,0.0317,0.0000
29.00,0.0220,803,0,204790,0.0039,0.9769,0.0296,932,0,204789,0.0046,0.9237,0.1350,25044,25,185482,0.1350,0.0000,0.0317,5881,6,185482,0.0317,0.0000
29.50,0.0220,803,0,204790,0.0039,0.9769,0.0296,932,0,204789,0.0046,0.9237,0.1350,25044,25,185482,0.1350,0.0000,0.0330,6121,6,185482,0.0330,0.0000
30.00,0.0220,803,0,204790,0.0039,0.9769,0.0296,932,0,204789,0.0046,0.9237,0.1404,26044,25,185482,0.1404,0.0000,0.0330,6121,6,185482,0.0330,0.0000
30.50,0.0220,803,0,204790,0.0039,0.9769,0.0296,932,0,204789,0.0046,0.9237,0.1404,26044,25,185482,0.1404,0.0000,0.0263,4885,5,185482,0.0263,0.0000
31.00,0.0220,36,0,204790,0.0002,0.4286,0.0296,932,0,204789,0.0046,0.9237,0.1404,26044,25,185482,0.1404,0.0000,0.0263,4885,5,185482,0.0263,0.0000
31.50,0.0237,510,0,204790,0.0025,0.9565,0.0296,932,0,204789,0.0046,0.9237,0.0215,3985,4,185482,0.0215,0.0000,0.0274,5085,5,185482,0.0274,0.0000
32.00,0.0237,510,0,204790,0.0025,0.9565,0.0296,932,0,204789,0.0046,0.9237,0.0215,3985,4,185482,0.0215,0.0000,0.0274,5085,5,185482,0.0274,0.0000
32.50,0.0237,510,0,204790,0.0025,0.9565,0.0296,932,0,204789,0.0046,0.9237,0.0223,4145,4,185482,0.0223,0.0000,0.0244,4531,5,185482,0.0244,0.0000
