t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0000,0,0,204790,0.0000,0.0000,0.0000,0,0,204789,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0003,45,0,204790,0.0002,0.2242,0.0050,1015,0,204789,0.0050,0.6154,,,,,,,,,,,,
3.50,0.0003,45,0,204790,0.0002,0.2242,0.0050,1015,0,204789,0.0050,0.6154,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0003,45,0,204790,0.0002,0.2242,0.0050,1015,0,204789,0.0050,0.6154,0.0136,2241,21,165101,0.0136,0.0000,0.0083,1373,10,165101,0.0083,0.0000
4.50,0.0003,45,0,204790,0.0002,0.2242,0.0050,1015,0,204789,0.0050,0.6154,0.0136,2241,21,165101,0.0136,0.0000,0.0083,1373,10,165101,0.0083,0.0000
5.00,0.0003,45,0,204790,0.0002,0.2242,0.0050,1015,0,204789,0.0050,0.6154,0.0173,2851,19,165101,0.0173,0.0000,0.0107,1773,10,165101,0.0107,0.0000
5.50,0.0003,45,0,204790,0.0002,0.2242,0.0050,1015,0,204789,0.0050,0.6154,0.0173,2851,19,165101,0.0173,0.0000,0.0107,1773,10,165101,0.0107,0.0000
6.00,0.0003,45,0,204790,0.0002,0.2242,0.0050,1015,0,204789,0.0050,0.6154,0.0199,3289,17,165101,0.0199,0.0000,0.0122,2015,9,165101,0.0122,0.0000
6.50,0.0062,54,0,204790,0.0003,0.6353,0.0050,1015,0,204789,0.0050,0.6154,0.0199,3289,17,165101,0.0199,0.0000,0.0122,2015,9,165101,0.0122,0.0000
7.00,0.0062,54,0,204790,0.0003,0.6353,0.0032,90,0,204789,0.0004,0.7087,0.0240,3969,17,165101,0.0240,0.0000,0.0137,2270,9,165101,0.0137,0.0000
7.50,0.0065,82,0,204790,0.0004,0.8039,0.0032,90,0,204789,0.0004,0.7087,0.0240,3969,17,165101,0.0240,0.0000,0.0137,2270,9,165101,0.0137,0.0000
8.00,0.0065,82,0,204790,0.0004,0.8039,0.0039,128,0,204789,0.0006,0.8153,0.0299,4936,19,165101,0.0299,0.0000,0.0151,2492,8,165101,0.0151,0.0000
8.50,0.0065,82,0,204790,0.0004,0.8039,0.0058,153,0,204789,0.0007,0.7969,0.0299,4936,19,165101,0.0299,0.0000,0.0151,2492,8,165101,0.0151,0.0000
9.00,0.0065,82,0,204790,0.0004,0.8039,0.0058,153,0,204789,0.0007,0.7969,0.0352,5812,19,165101,0.0352,0.0000,0.0175,2897,9,165101,0.0175,0.0000
9.50,0.0065,82,0,204790,0.0004,0.8039,0.0058,153,0,204789,0.0007,0.7969,0.0352,5812,19,165101,0.0352,0.0000,0.0175,2897,9,165101,0.0175,0.0000
10.00,0.0073,194,0,204790,0.0009,0.7729,0.0058,153,0,204789,0.0007,0.7969,0.0385,6361,18,165101,0.0385,0.0000,0.0199,3290,9,165101,0.0199,0.0000
10.50,0.0073,194,0,204790,0.0009,0.7729,0.0058,153,0,204789,0.0007,0.7969,0.0385,6361,18,165101,0.0385,0.0000,0.0199,3290,9,165101,0.0199,0.0000
11.00,0.0073,194,0,204790,0.0009,0.7729,0.0064,123,0,204789,0.0006,0.7235,0.0376,6210,16,165101,0.0376,0.0000,0.0231,3820,9,165101,0.0231,0.0000
11.50,0.0082,173,0,204790,0.0008,0.8693,0.0064,123,0,204789,0.0006,0.7235,0.0376,6210,16,165101,0.0376,0.0000,0.0231,3820,9,165101,0.0231,0.0000
12.00,0.0082,173,0,204790,0.0008,0.8693,0.0077,290,0,204789,0.0014,0.7817,0.0414,6828,16,165101,0.0414,0.0000,0.0218,3597,9,165101,0.0218,0.0000
12.50,0.0082,173,0,204790,0.0008,0.8693,0.0083,208,0,204789,0.0010,0.9204,0.0414,6828,16,165101,0.0414,0.0000,0.0218,3597,9,165101,0.0218,0.0000
13.00,0.0088,196,0,204790,0.0010,0.9245,0.0083,208,0,204789,0.0010,0.9204,0.0414,6828,16,165101,0.0414,0.0000,0.0254,4193,10,165101,0.0254,0.0000
13.50,0.0088,196,0,204790,0.0010,0.9245,0.0121,803,0,204789,0.0039,0.9483,0.0440,7268,17,165101,0.0440,0.0000,0.0254,4193,10,165101,0.0254,0.0000
14.00,0.0088,196,0,204790,0.0010,0.9245,0.0121,803,0,204789,0.0039,0.9483,0.0440,7268,17,165101,0.0440,0.0000,0.0227,3741,9,165101,0.0227,0.0000
14.50,0.0116,622,0,204790,0.0030,0.6438,0.0122,36,0,204789,0.0002,0.2057,0.0534,8809,18,165101,0.0534,0.0000,0.0227,3741,9,165101,0.0227,0.0000
15.00,0.0116,622,0,204790,0.0030,0.6438,0.0145,512,0,204789,0.0025,0.8366,0.0534,8809,18,165101,0.0534,0.0000,0.0205,3391,6,165101,0.0205,0.0000
15.50,0.0116,622,0,204790,0.0030,0.6438,0.0145,512,0,204789,0.0025,0.8366,0.0620,10243,19,165101,0.0620,0.0000,0.0205,3391,6,165101,0.0205,0.0000
16.00,0.0116,622,0,204790,0.0030,0.6438,0.0145,512,0,204789,0.0025,0.8366,0.0620,10243,19,165101,0.0620,0.0000,0.0222,3669,7,165101,0.0222,0.0000
16.50,0.0153,424,0,204790,0.0021,0.9528,0.0145,512,0,204789,0.0025,0.8366,0.0595,9821,17,165101,0.0595,0.0000,0.0222,3669,7,165101,0.0222,0.0000
17.00,0.0158,290,0,204790,0.0014,0.8869,0.0171,558,0,204789,0.0027,0.9772,0.0595,9821,17,165101,0.0595,0.0000,0.0271,4468,7,165101,0.0271,0.0000
17.50,0.0182,494,0,204790,0.0024,0.9611,0.0193,487,0,204789,0.0024,0.9663,0.0665,10981,18,165101,0.0665,0.0000,0.0271,4468,7,165101,0.0271,0.0000
18.00,0.0193,443,0,204790,0.0022,0.9141,0.0193,487,0,204789,0.0024,0.9663,0.0665,10981,18,165101,0.0665,0.0000,0.0225,3719,6,165101,0.0225,0.0000
18.50,0.0193,443,0,204790,0.0022,0.9141,0.0193,487,0,204789,0.0024,0.9663,0.0648,10704,17,165101,0.0648,0.0000,0.0225,3719,6,165101,0.0225,0.0000
19.00,0.0221,576,0,204790,0.0028,0.8821,0.0220,563,0,204789,0.0027,0.9214,0.0648,10704,17,165101,0.0648,0.0000,0.0241,3983,7,165101,0.0241,0.0000
19.50,0.0235,253,0,204790,0.0012,0.8972,0.0220,563,0,204789,0.0027,0.9214,0.0731,12067,18,165101,0.0731,0.0000,0.0241,3983,7,165101,0.0241,0.0000
20.00,0.0235,253,0,204790,0.0012,0.8972,0.0248,600,0,204789,0.0029,0.9288,0.0731,12067,18,165101,0.0731,0.0000,0.0315,5208,9,165101,0.0315,0.0000
20.50,0.0235,253,0,204790,0.0012,0.8972,0.0353,2178,0,204789,0.0106,0.9708,0.0731,12067,18,165101,0.0731,0.0000,0.0315,5208,9,165101,0.0315,0.0000
21.00,0.0235,253,0,204790,0.0012,0.8972,0.0366,1010,0,204789,0.0049,0.9206,0.0838,13829,18,165101,0.0838,0.0000,0.0387,6396,9,165101,0.0387,0.0000
21.50,0.0235,253,0,204790,0.0012,0.8972,0.0366,1010,0,204789,0.0049,0.9206,0.0838,13829,18,165101,0.0838,0.0000,0.0387,6396,9,165101,0.0387,0.0000
22.00,0.0235,253,0,204790,0.0012,0.8972,0.0366,1010,0,204789,0.0049,0.9206,0.0842,13896,19,165101,0.0842,0.0000,0.0409,6756,9,165101,0.0409,0.0000
22.50,0.0235,253,0,204790,0.0012,0.8972,0.0366,1010,0,204789,0.0049,0.9206,0.0842,13896,19,165101,0.0842,0.0000,0.0409,6756,9,165101,0.0409,0.0000
23.00,0.0235,253,0,204790,0.0012,0.8972,0.0383,447,0,204789,0.0022,0.9551,0.0694,11456,16,165101,0.0694,0.0000,0.0374,6182,8,165101,0.0374,0.0000
23.50,0.0235,253,0,204790,0.0012,0.8972,0.0416,696,0,204789,0.0034,0.9803,0.0694,11456,16,165101,0.0694,0.0000,0.0374,6182,8,165101,0.0374,0.0000
24.00,0.0269,712,0,204790,0.0035,0.8662,0.0425,335,0,204789,0.0016,0.9178,0.0849,14017,19,165101,0.0849,0.0000,0.0394,6502,8,165101,0.0394,0.0000
24.50,0.0269,712,0,204790,0.0035,0.8662,0.0425,335,0,204789,0.0016,0.9178,0.0849,14017,19,165101,0.0849,0.0000,0.0394,6502,8,165101,0.0394,0.0000
25.00,0.0304,820,0,204790,0.0040,0.9844,0.0425,335,0,204789,0.0016,0.9178,0.0920,15197,18,165101,0.0920,0.0000,0.0369,6090,7,165101,0.0369,0.0000
25.50,0.0304,820,0,204790,0.0040,0.9844,0.0482,1179,0,204789,0.0058,0.9617,0.0920,15197,18,165101,0.0920,0.0000,0.0369,6090,7,165101,0.0369,0.0000
26.00,0.0427,2553,0,204790,0.0125,0.9788,0.0482,1179,0,204789,0.0058,0.9617,0.0920,15197,18,165101,0.0920,0.0000,0.0521,8595,8,165101,0.0521,0.0000
26.50,0.0427,2553,0,204790,0.0125,0.9788,0.0482,1179,0,204789,0.0058,0.9617,0.0931,15368,18,165101,0.0931,0.0000,0.0521,8595,8,165101,0.0521,0.0000
27.00,0.0427,2553,0,204790,0.0125,0.9788,0.0482,1179,0,204789,0.0058,0.9617,0.0931,15368,18,165101,0.0931,0.0000,0.0597,9860,10,165101,0.0597,0.0000
27.50,0.0427,2553,0,204790,0.0125,0.9788,0.0517,701,0,204789,0.0034,0.9334,0.0852,14070,16,165101,0.0852,0.0000,0.0597,9860,10,165101,0.0597,0.0000
28.00,0.0436,403,0,204790,0.0020,0.9618,0.0517,701,0,204789,0.0034,0.9334,0.0852,14070,16,165101,0.0852,0.0000,0.0599,9887,10,165101,0.0599,0.0000
28.50,0.0436,403,0,204790,0.0020,0.9618,0.0517,701,0,204789,0.0034,0.9334,0.0846,13965,15,165101,0.0846,0.0000,0.0599,9887,10,165101,0.0599,0.0000
29.00,0.0449,565,0,204790,0.0028,0.9448,0.0517,701,0,204789,0.0034,0.9334,0.0846,13965,15,165101,0.0846,0.0000,0.0537,8873,11,165101,0.0537,0.0000
29.50,0.0488,821,0,204790,0.0040,0.9774,0.0517,701,0,204789,0.0034,0.9334,0.0882,14565,15,165101,0.0882,0.0000,0.0537,8873,11,165101,0.0537,0.0000
30.00,0.0524,1602,0,204790,0.0078,0.8544,0.0647,1784,0,204789,0.0087,0.9886,0.0882,14565,15,165101,0.0882,0.0000,0.0694,11458,10,165101,0.0694,0.0000
30.50,0.0524,1602,0,204790,0.0078,0.8544,0.0647,1784,0,204789,0.0087,0.9886,0.0845,13948,14,165101,0.0845,0.0000,0.0694,11458,10,165101,0.0694,0.0000
31.00,0.0530,36,0,204790,0.0002,0.5373,0.0647,1784,0,204789,0.0087,0.9886,0.0845,13948,14,165101,0.0845,0.0000,0.0694,11458,10,165101,0.0694,0.0000
31.50,0.0530,36,0,204790,0.0002,0.5373,0.0691,939,0,204789,0.0046,0.9781,0.0845,13948,14,165101,0.0845,0.0000,0.0555,9170,9,165101,0.0555,0.0000
32.00,0.0584,1097,0,204790,0.0054,0.9682,0.0691,939,0,204789,0.0046,0.9781,0.0877,14487,15,165101,0.0877,0.0000,0.0555,9170,9,165101,0.0555,0.0000
32.50,0.0584,1097,0,204790,0.0054,0.9682,0.0697,462,0,204789,0.0023,0.9565,0.0877,14487,15,165101,0.0877,0.0000,0.0646,10665,10,165101,0.0646,0.0000
